38 Provinsi,,,
,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2024,2024,2024
ACEH,70.57,61.41,64.64
SUMATERA UTARA,72.84,62.42,68.43
SUMATERA BARAT,73.51,63.13,68.45
RIAU,78.39,72.28,74.74
JAMBI,75.83,67.37,70.2
SUMATERA SELATAN,75.1,62.55,67.34
BENGKULU,76.89,62.12,67.1
LAMPUNG,70.48,61.45,64.52
KEP. BANGKA BELITUNG,74.61,66.83,71.38
KEP. RIAU,85.4,70.99,83.9
DKI JAKARTA,83.43,-,83.43
JAWA BARAT,72.81,61.6,70.58
JAWA TENGAH,68.96,61.47,65.47
DI YOGYAKARTA,76.3,59.54,72.17
JAWA TIMUR,71.27,59.63,66.23
BANTEN,75.5,54.81,71.32
BALI,79.05,65.12,75.27
NUSA TENGGARA BARAT,67.61,58.75,63.38
NUSA TENGGARA TIMUR,72.62,47.08,53.96
KALIMANTAN BARAT,77.9,60.21,66.97
KALIMANTAN TENGAH,82.85,70.17,75.71
KALIMANTAN SELATAN,77.72,64.09,70.93
KALIMANTAN TIMUR,84.82,79.21,83.1
KALIMANTAN UTARA,81.01,71.07,77.5
SULAWESI UTARA,77.62,64.31,71.7
SULAWESI TENGAH,75.44,58.79,64.32
SULAWESI SELATAN,77.12,64.28,70.36
SULAWESI TENGGARA,79.04,67.4,71.95
GORONTALO,75.24,61.97,68.06
SULAWESI BARAT,68.87,60.75,62.39
MALUKU,75.45,54.08,63.44
MALUKU UTARA,80.59,57.3,64.14
PAPUA BARAT,80.17,63,68.29
PAPUA BARAT DAYA,77.01,57.87,67.48
PAPUA,80.78,48.79,67.97
PAPUA SELATAN,74.67,35.84,50.08
PAPUA TENGAH,81.07,19.28,33.7
PAPUA PEGUNUNGAN,47.78,13.37,15.76
INDONESIA,74.15,60.78,68.65
