38 Provinsi,,,
,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2012,2012,2012
ACEH,57.69,36.16,42.23
SUMATERA UTARA,53.23,35.74,44.43
SUMATERA BARAT,61.76,39.62,48.28
RIAU,66.1,46.5,54.21
JAMBI,61.94,44.5,49.79
SUMATERA SELATAN,59.2,37.29,45.15
BENGKULU,67.09,42.17,49.96
LAMPUNG,58.31,40.37,45.07
KEP. BANGKA BELITUNG,64.1,49.14,56.51
KEP. RIAU,72.71,49.33,68.67
DKI JAKARTA,70.6,-,70.6
JAWA BARAT,55.15,38.9,49.62
JAWA TENGAH,52.5,40.96,46.25
DI YOGYAKARTA,62.85,45.85,57.14
JAWA TIMUR,55.31,37.03,45.74
BANTEN,60.6,34.56,52.23
BALI,63.94,43.6,55.91
NUSA TENGGARA BARAT,42.69,28.52,34.46
NUSA TENGGARA TIMUR,55.85,21.59,28.46
KALIMANTAN BARAT,62.33,36.96,44.64
KALIMANTAN TENGAH,70.37,42.02,51.48
KALIMANTAN SELATAN,69.38,47.72,56.84
KALIMANTAN TIMUR,71.99,52.47,64.49
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,61.25,38.79,48.88
SULAWESI TENGAH,62.09,32.93,40.11
SULAWESI SELATAN,57.71,37.48,44.94
SULAWESI TENGGARA,64.73,37.25,44.91
GORONTALO,55.51,35.07,42.09
SULAWESI BARAT,48.04,32.27,35.86
MALUKU,57.16,24.86,37.22
MALUKU UTARA,62.58,26.85,36.78
PAPUA BARAT,62.83,33.51,44.88
PAPUA BARAT DAYA,-,-,-
PAPUA,64.1,10.24,23.97
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,58.3,37.64,47.99
