38 Provinsi,,,
,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2015,2015,2015
ACEH,64.64,46.28,51.5
SUMATERA UTARA,61.59,44.2,52.87
SUMATERA BARAT,68.42,49.42,57.04
RIAU,71.86,55.9,62.1
JAMBI,71.67,53.05,58.68
SUMATERA SELATAN,65.96,46.81,53.66
BENGKULU,72.98,48.12,55.86
LAMPUNG,64.62,48.48,52.73
KEP. BANGKA BELITUNG,68.21,55.57,61.81
KEP. RIAU,77.14,59.17,74.17
DKI JAKARTA,76.93,-,76.93
JAWA BARAT,64.26,49.69,59.5
JAWA TENGAH,61.17,49.68,54.97
DI YOGYAKARTA,69.95,54.58,64.79
JAWA TIMUR,63.74,47.51,55.29
BANTEN,68.13,43.98,60.49
BALI,70.4,53.2,63.77
NUSA TENGGARA BARAT,52.07,40.26,45.26
NUSA TENGGARA TIMUR,61.49,30.32,36.65
KALIMANTAN BARAT,70.17,43.85,51.89
KALIMANTAN TENGAH,74.79,57.31,63.29
KALIMANTAN SELATAN,73.37,54.92,62.74
KALIMANTAN TIMUR,79.52,65.86,74.43
KALIMANTAN UTARA,71.88,61.95,67.48
SULAWESI UTARA,69.17,51.27,59.45
SULAWESI TENGAH,70.05,44.19,50.64
SULAWESI SELATAN,68.66,48.78,56.21
SULAWESI TENGGARA,68.69,49.19,54.84
GORONTALO,61.78,45.78,51.34
SULAWESI BARAT,56.59,38.99,42.56
MALUKU,66.44,36.08,47.98
MALUKU UTARA,66.14,37.13,45.08
PAPUA BARAT,71.84,45.4,55.44
PAPUA BARAT DAYA,-,-,-
PAPUA,71.26,18.17,32.04
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,66.26,47.38,56.92
