38 Provinsi,,,
,Persentase Penduduk yang Memiliki/Menguasai Telepon Seluler Menurut Provinsi dan Klasifikasi Daerah,,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2022,2022,2022
ACEH,70.22,58.77,62.65
SUMATERA UTARA,72.21,61.93,67.71
SUMATERA BARAT,74.28,62.43,68.24
RIAU,77.37,70.86,73.47
JAMBI,76.95,66.05,69.64
SUMATERA SELATAN,74.52,61.25,66.25
BENGKULU,76.33,62.05,66.81
LAMPUNG,72.91,62.78,66.08
KEP. BANGKA BELITUNG,77.55,67.32,73.16
KEP. RIAU,81.29,68.74,79.88
DKI JAKARTA,82.27,0,82.27
JAWA BARAT,72.6,62.1,70.37
JAWA TENGAH,68.84,61.11,65.15
DI YOGYAKARTA,73.78,60.41,70.37
JAWA TIMUR,70.47,58.7,65.22
BANTEN,74.79,56.67,70.25
BALI,76.28,64.19,72.82
NUSA TENGGARA BARAT,65.59,56.55,61.11
NUSA TENGGARA TIMUR,74.08,45.35,52.73
KALIMANTAN BARAT,75.96,58.15,64.69
KALIMANTAN TENGAH,80.95,66.92,72.83
KALIMANTAN SELATAN,76.78,64.49,70.51
KALIMANTAN TIMUR,84.83,76.94,82.37
KALIMANTAN UTARA,81.88,72.81,78.62
SULAWESI UTARA,77.65,63.47,71.12
SULAWESI TENGAH,73.34,57.28,62.39
SULAWESI SELATAN,77.1,66.05,71.1
SULAWESI TENGGARA,77.53,65.7,70
GORONTALO,73.81,62.95,67.73
SULAWESI BARAT,71.86,58.33,61.07
MALUKU,75.25,55.3,63.85
MALUKU UTARA,75.05,56.17,61.58
PAPUA BARAT,80.06,59.49,68.01
PAPUA BARAT DAYA,-,-,-
PAPUA,72.92,20.47,35.33
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,73.58,60.18,67.88
