Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
,2011
ACEH,8.32
Simeulue,8.26
Aceh Singkil,6.86
Aceh Selatan,7.53
Aceh Tenggara,8.45
Aceh Timur,7.09
Aceh Tengah,9.13
Aceh Barat,7.71
Aceh Besar,9.44
Pidie,7.96
Bireuen,8.45
Aceh Utara,7.39
Aceh Barat Daya,7.49
Gayo Lues,6.24
Aceh Tamiang,7.64
Nagan Raya,7.32
Aceh Jaya,7.34
Bener Meriah,8.22
Pidie Jaya,7.9
Kota Banda Aceh,12
Kota Sabang,10.12
Kota Langsa,10.38
Kota Lhokseumawe,10.08
Kota Subulussalam,6.41
SUMATERA UTARA,8.61
Nias,4.63
Mandailing Natal,7.39
Tapanuli Selatan,7.92
Tapanuli Tengah,7.41
Tapanuli Utara,8.6
Toba Samosir / Toba,9.71
Labuhan Batu,8.32
Asahan,7.71
Simalungun,8.33
Dairi,8.41
Karo,9.03
Deli Serdang,9.2
Langkat,7.59
Nias Selatan,3.75
Humbang Hasundutan,8.65
Pakpak Bharat,7.77
Samosir,8.41
Serdang Bedagai,7.74
Batu Bara,7.47
Padang Lawas Utara,8.39
Padang Lawas,7.97
Labuhan Batu Selatan,7.73
Labuhan Batu Utara,7.75
Nias Utara,5.36
Nias Barat,4.78
Kota Sibolga,9.53
Kota Tanjung Balai,8.66
Kota Pematang Siantar,10.43
Kota Tebing Tinggi,9.69
Kota Medan,10.63
Kota Binjai,9.61
Kota Padangsidimpuan,10.04
Kota Gunungsitoli,7.2
SUMATERA BARAT,8.2
Kepulauan Mentawai,6.15
Pesisir Selatan,7.57
Solok,7.3
Sijunjung,7.1
Tanah Datar,7.58
Padang Pariaman,6.68
Agam,7.68
Lima Puluh Kota,7.4
Pasaman,7.37
Solok Selatan,7.4
Dharmasraya,7.83
Pasaman Barat,7.24
Kota Padang,10.52
Kota Solok,10.3
Kota Sawah Lunto,9.05
Kota Padang Panjang,10.19
Kota Bukittinggi,10.56
Kota Payakumbuh,9.68
Kota Pariaman,9.27
RIAU,8.29
Kuantan Singingi,7.46
Indragiri Hulu,7.31
Indragiri Hilir,6.66
Pelalawan,7.2
Siak,8.72
Kampar,8.56
Rokan Hulu,7.24
Bengkalis,8.34
Rokan Hilir,7.3
Kepulauan Meranti,6.27
Kota Pekanbaru,10.84
Kota Dumai,9.42
JAMBI,7.48
Kerinci,7.05
Merangin,6.71
Sarolangun,6.64
Batang Hari,7.35
Muaro Jambi,7.44
Tanjung Jabung Timur,5.11
Tanjung Jabung Barat,6.86
Tebo,6.87
Bungo,7.79
Kota Jambi,9.86
Kota Sungai Penuh,8.84
SUMATERA SELATAN,7.42
Ogan Komering Ulu,7.42
Ogan Komering Ilir,5.89
Muara Enim,6.97
Lahat,7.42
Musi Rawas,6.07
Musi Banyuasin,7.08
Banyu Asin,6.21
Ogan Komering Ulu Selatan,6.88
Ogan Komering Ulu Timur,6.5
Ogan Ilir,6.72
Empat Lawang,6.92
Penukal Abab Lematang Ilir,-
Musi Rawas Utara,-
Kota Palembang,9.82
Kota Prabumulih,8.89
Kota Pagar Alam,8.4
Kota Lubuklinggau,9.11
BENGKULU,7.93
Bengkulu Selatan,8.24
Rejang Lebong,7.54
Bengkulu Utara,7.13
Kaur,7.71
Seluma,7.09
Mukomuko,7.06
Lebong,7.35
Kepahiang,7.14
Bengkulu Tengah,6.48
Kota Bengkulu,11.04
LAMPUNG,7.28
Lampung Barat,6.85
Tanggamus,6.19
Lampung Selatan,6.55
Lampung Timur,6.87
Lampung Tengah,6.92
Lampung Utara,7.41
Way Kanan,6.4
Tulangbawang,6.58
Pesawaran,6.75
Pringsewu,7.39
Mesuji,5.62
Tulang Bawang Barat,6.35
Pesisir Barat,-
Kota Bandar Lampung,9.95
Kota Metro,9.74
KEP. BANGKA BELITUNG,7.19
Bangka,7.54
Belitung,7.33
Bangka Barat,6.16
Bangka Tengah,6.35
Bangka Selatan,5.39
Belitung Timur,7.24
Kota Pangkal Pinang,9.51
KEPULAUAN RIAU,9.46
Karimun,6.89
Bintan,8.13
Natuna,7.33
Lingga,5.3
Kepulauan Anambas,6.11
Kota Batam,10.74
Kota Tanjung Pinang,9.47
DKI JAKARTA,10.4
Kep. Seribu,7.58
Kota Jakarta Selatan,10.81
Kota Jakarta Timur,10.93
Kota Jakarta Pusat,10.67
Kota Jakarta Barat,9.82
Kota Jakarta Utara,9.78
JAWA BARAT,7.46
Bogor,6.92
Sukabumi,6.07
Cianjur,6.28
Bandung,8.14
Garut,6.71
