Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
,2025
ACEH,9.95
Simeulue,10.09
Aceh Singkil,9.05
Aceh Selatan,9.25
Aceh Tenggara,10.39
Aceh Timur,8.8
Aceh Tengah,10.35
Aceh Barat,10.27
Aceh Besar,10.69
Pidie,9.37
Bireuen,9.92
Aceh Utara,9.38
Aceh Barat Daya,9.11
Gayo Lues,8.75
Aceh Tamiang,9.42
Nagan Raya,9.57
Aceh Jaya,9.34
Bener Meriah,10.41
Pidie Jaya,9.8
Kota Banda Aceh,13.37
Kota Sabang,11.23
Kota Langsa,11.6
Kota Lhokseumawe,11.64
Kota Subulussalam,8.75
SUMATERA UTARA,10.08
Nias,6.41
Mandailing Natal,9.17
Tapanuli Selatan,9.6
Tapanuli Tengah,8.93
Tapanuli Utara,10.5
Toba Samosir / Toba,10.78
Labuhan Batu,9.53
Asahan,9.06
Simalungun,9.74
Dairi,10.09
Karo,10.3
Deli Serdang,10.5
Langkat,8.95
Nias Selatan,6.61
Humbang Hasundutan,10.26
Pakpak Bharat,9.94
Samosir,9.81
Serdang Bedagai,9.13
Batu Bara,8.71
Padang Lawas Utara,10.05
Padang Lawas,9.64
Labuhan Batu Selatan,9.29
Labuhan Batu Utara,9.15
Nias Utara,7.25
Nias Barat,7.43
Kota Sibolga,10.46
Kota Tanjung Balai,9.9
Kota Pematang Siantar,11.83
Kota Tebing Tinggi,10.88
Kota Medan,11.8
Kota Binjai,11.21
Kota Padangsidimpuan,11.22
Kota Gunungsitoli,8.95
SUMATERA BARAT,9.77
Kepulauan Mentawai,8.21
Pesisir Selatan,9.06
Solok,8.25
Sijunjung,8.66
Tanah Datar,9.46
Padang Pariaman,8.78
Agam,9.57
Lima Puluh Kota,8.49
Pasaman,8.49
Solok Selatan,9.2
Dharmasraya,9.31
Pasaman Barat,9.28
Kota Padang,11.64
Kota Solok,11.38
Kota Sawah Lunto,10.54
Kota Padang Panjang,12.01
Kota Bukittinggi,11.66
Kota Payakumbuh,11.08
Kota Pariaman,11.32
RIAU,9.55
Kuantan Singingi,9.33
Indragiri Hulu,8.62
Indragiri Hilir,7.49
Pelalawan,8.97
Siak,9.93
Kampar,9.78
Rokan Hulu,9.11
Bengkalis,9.93
Rokan Hilir,8.55
Kepulauan Meranti,8.13
Kota Pekanbaru,12.08
Kota Dumai,10.3
JAMBI,8.95
Kerinci,8.76
Merangin,8.41
Sarolangun,8.6
Batang Hari,8.41
Muaro Jambi,8.72
Tanjung Jabung Timur,7.71
Tanjung Jabung Barat,8.54
Tebo,8.05
Bungo,8.61
Kota Jambi,11.59
Kota Sungai Penuh,10.75
SUMATERA SELATAN,8.91
Ogan Komering Ulu,9.07
Ogan Komering Ilir,7.49
Muara Enim,8.45
Lahat,9.03
Musi Rawas,7.61
Musi Banyuasin,8.29
Banyu Asin,7.65
Ogan Komering Ulu Selatan,8.48
Ogan Komering Ulu Timur,8.13
Ogan Ilir,8.16
Empat Lawang,8.02
Penukal Abab Lematang Ilir,7.42
Musi Rawas Utara,7.8
Kota Palembang,11.25
Kota Prabumulih,10.37
Kota Pagar Alam,9.78
Kota Lubuklinggau,10.15
BENGKULU,9.23
Bengkulu Selatan,9.6
Rejang Lebong,9.05
Bengkulu Utara,8.35
Kaur,8.71
Seluma,8.34
Mukomuko,8.65
Lebong,8.48
Kepahiang,8.61
Bengkulu Tengah,7.94
Kota Bengkulu,11.95
LAMPUNG,8.61
Lampung Barat,8.57
Tanggamus,7.63
Lampung Selatan,7.98
Lampung Timur,8.46
Lampung Tengah,8.17
Lampung Utara,8.63
Way Kanan,7.91
Tulangbawang,7.9
Pesawaran,8.01
Pringsewu,8.72
Mesuji,7.3
Tulang Bawang Barat,7.81
Pesisir Barat,8.76
Kota Bandar Lampung,11.11
Kota Metro,11.19
KEP. BANGKA BELITUNG,8.65
Bangka,8.77
Belitung,9.11
Bangka Barat,7.8
Bangka Tengah,7.33
Bangka Selatan,7.25
Belitung Timur,9.03
Kota Pangkal Pinang,10.9
KEPULAUAN RIAU,10.72
Karimun,9.06
Bintan,9.45
Natuna,9.25
Lingga,7.87
Kepulauan Anambas,7.79
Kota Batam,11.34
Kota Tanjung Pinang,10.8
DKI JAKARTA,11.59
Kep. Seribu,9.27
Kota Jakarta Selatan,12.06
Kota Jakarta Timur,12.01
Kota Jakarta Pusat,11.62
Kota Jakarta Barat,11.25
Kota Jakarta Utara,11.08
JAWA BARAT,9.14
Bogor,8.72
Sukabumi,7.63
Cianjur,7.62
Bandung,9.4
Garut,7.86
