Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
,2016
ACEH,8.86
Simeulue,8.91
Aceh Singkil,7.69
Aceh Selatan,8.02
Aceh Tenggara,9.33
Aceh Timur,7.6
Aceh Tengah,9.66
Aceh Barat,8.7
Aceh Besar,9.92
Pidie,8.75
Bireuen,9.15
Aceh Utara,8.09
Aceh Barat Daya,7.93
Gayo Lues,7.1
Aceh Tamiang,8.21
Nagan Raya,8.24
Aceh Jaya,7.95
Bener Meriah,9.43
Pidie Jaya,8.46
Kota Banda Aceh,12.57
Kota Sabang,10.51
Kota Langsa,10.71
Kota Lhokseumawe,10.53
Kota Subulussalam,6.88
SUMATERA UTARA,9.12
Nias,4.92
Mandailing Natal,7.89
Tapanuli Selatan,8.35
Tapanuli Tengah,8.03
Tapanuli Utara,9.32
Toba Samosir / Toba,10.09
Labuhan Batu,8.78
Asahan,8.33
Simalungun,8.86
Dairi,8.7
Karo,9.51
Deli Serdang,9.68
Langkat,8.18
Nias Selatan,4.65
Humbang Hasundutan,8.91
Pakpak Bharat,8.46
Samosir,8.94
Serdang Bedagai,8.34
Batu Bara,7.75
Padang Lawas Utara,8.92
Padang Lawas,8.41
Labuhan Batu Selatan,8.69
Labuhan Batu Utara,8.33
Nias Utara,6.07
Nias Barat,5.77
Kota Sibolga,9.86
Kota Tanjung Balai,9.13
Kota Pematang Siantar,10.75
Kota Tebing Tinggi,10.07
Kota Medan,11.18
Kota Binjai,10.28
Kota Padangsidimpuan,10.48
Kota Gunungsitoli,8.2
SUMATERA BARAT,8.59
Kepulauan Mentawai,6.52
Pesisir Selatan,8.12
Solok,7.58
Sijunjung,7.5
Tanah Datar,8.12
Padang Pariaman,7
Agam,8.18
Lima Puluh Kota,7.92
Pasaman,7.64
Solok Selatan,7.99
Dharmasraya,8.23
Pasaman Barat,7.84
Kota Padang,11.24
Kota Solok,10.79
Kota Sawah Lunto,9.92
Kota Padang Panjang,11.42
Kota Bukittinggi,10.98
Kota Payakumbuh,10.3
Kota Pariaman,10.09
RIAU,8.59
Kuantan Singingi,8.19
Indragiri Hulu,7.83
Indragiri Hilir,6.94
Pelalawan,8.18
Siak,9.21
Kampar,8.85
Rokan Hulu,7.97
Bengkalis,8.83
Rokan Hilir,7.88
Kepulauan Meranti,7.46
Kota Pekanbaru,11.2
Kota Dumai,9.58
JAMBI,8.07
Kerinci,8.06
Merangin,7.44
Sarolangun,7.34
Batang Hari,7.69
Muaro Jambi,8.02
Tanjung Jabung Timur,6.32
Tanjung Jabung Barat,7.43
Tebo,7.54
Bungo,7.99
Kota Jambi,10.65
Kota Sungai Penuh,9.33
SUMATERA SELATAN,7.83
Ogan Komering Ulu,8.33
Ogan Komering Ilir,6.74
Muara Enim,7.41
Lahat,8.1
Musi Rawas,6.85
Musi Banyuasin,7.55
Banyu Asin,6.89
Ogan Komering Ulu Selatan,7.47
Ogan Komering Ulu Timur,7.06
Ogan Ilir,7.36
Empat Lawang,7.3
Penukal Abab Lematang Ilir,6.54
Musi Rawas Utara,6.43
Kota Palembang,10.35
Kota Prabumulih,9.67
Kota Pagar Alam,8.64
Kota Lubuklinggau,9.49
BENGKULU,8.37
Bengkulu Selatan,8.77
Rejang Lebong,8.03
Bengkulu Utara,7.82
Kaur,7.8
Seluma,7.55
Mukomuko,7.85
Lebong,7.86
Kepahiang,7.83
Bengkulu Tengah,6.89
Kota Bengkulu,11.46
LAMPUNG,7.63
Lampung Barat,7.28
Tanggamus,6.87
Lampung Selatan,7.53
Lampung Timur,7.55
Lampung Tengah,7.37
Lampung Utara,7.71
Way Kanan,7.33
Tulangbawang,7.12
Pesawaran,7.24
Pringsewu,7.84
Mesuji,6.13
Tulang Bawang Barat,6.83
Pesisir Barat,7.48
Kota Bandar Lampung,10.88
Kota Metro,10.56
KEP. BANGKA BELITUNG,7.62
Bangka,7.96
Belitung,8.1
Bangka Barat,6.89
Bangka Tengah,6.71
Bangka Selatan,5.96
Belitung Timur,7.95
Kota Pangkal Pinang,9.76
KEPULAUAN RIAU,9.67
Karimun,7.75
Bintan,8.33
Natuna,8.46
Lingga,5.85
Kepulauan Anambas,6.63
Kota Batam,11.1
Kota Tanjung Pinang,9.96
DKI JAKARTA,10.88
Kep. Seribu,8.24
Kota Jakarta Selatan,11.42
Kota Jakarta Timur,11.52
Kota Jakarta Pusat,11.01
Kota Jakarta Barat,10.36
Kota Jakarta Utara,10.23
JAWA BARAT,7.95
Bogor,7.83
Sukabumi,6.74
Cianjur,6.61
Bandung,8.5
Garut,6.88
