Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
,2012
ACEH,8.36
Simeulue,8.34
Aceh Singkil,7.16
Aceh Selatan,7.56
Aceh Tenggara,8.57
Aceh Timur,7.13
Aceh Tengah,9.19
Aceh Barat,7.77
Aceh Besar,9.45
Pidie,8.08
Bireuen,8.5
Aceh Utara,7.69
Aceh Barat Daya,7.53
Gayo Lues,6.88
Aceh Tamiang,7.66
Nagan Raya,7.73
Aceh Jaya,7.64
Bener Meriah,8.63
Pidie Jaya,7.93
Kota Banda Aceh,12.07
Kota Sabang,10.16
Kota Langsa,10.43
Kota Lhokseumawe,10.16
Kota Subulussalam,6.53
SUMATERA UTARA,8.72
Nias,4.67
Mandailing Natal,7.47
Tapanuli Selatan,7.96
Tapanuli Tengah,7.45
Tapanuli Utara,8.79
Toba Samosir / Toba,9.75
Labuhan Batu,8.46
Asahan,7.8
Simalungun,8.35
Dairi,8.54
Karo,9.17
Deli Serdang,9.21
Langkat,7.69
Nias Selatan,3.8
Humbang Hasundutan,8.76
Pakpak Bharat,8.08
Samosir,8.46
Serdang Bedagai,7.78
Batu Bara,7.53
Padang Lawas Utara,8.4
Padang Lawas,8.13
Labuhan Batu Selatan,7.95
Labuhan Batu Utara,7.92
Nias Utara,5.46
Nias Barat,5.18
Kota Sibolga,9.53
Kota Tanjung Balai,8.88
Kota Pematang Siantar,10.62
Kota Tebing Tinggi,9.86
Kota Medan,10.72
Kota Binjai,9.74
Kota Padangsidimpuan,10.05
Kota Gunungsitoli,7.55
SUMATERA BARAT,8.27
Kepulauan Mentawai,6.16
Pesisir Selatan,7.79
Solok,7.44
Sijunjung,7.2
Tanah Datar,7.63
Padang Pariaman,6.77
Agam,7.91
Lima Puluh Kota,7.52
Pasaman,7.48
Solok Selatan,7.44
Dharmasraya,7.88
Pasaman Barat,7.39
Kota Padang,10.75
Kota Solok,10.35
Kota Sawah Lunto,9.32
Kota Padang Panjang,10.36
Kota Bukittinggi,10.62
Kota Payakumbuh,9.83
Kota Pariaman,9.32
RIAU,8.34
Kuantan Singingi,7.68
Indragiri Hulu,7.38
Indragiri Hilir,6.7
Pelalawan,7.41
Siak,8.77
Kampar,8.59
Rokan Hulu,7.31
Bengkalis,8.64
Rokan Hilir,7.36
Kepulauan Meranti,6.8
Kota Pekanbaru,10.88
Kota Dumai,9.48
JAMBI,7.69
Kerinci,7.36
Merangin,6.89
Sarolangun,6.93
Batang Hari,7.38
Muaro Jambi,7.5
Tanjung Jabung Timur,5.57
Tanjung Jabung Barat,7
Tebo,6.98
Bungo,7.82
Kota Jambi,10.3
Kota Sungai Penuh,8.9
SUMATERA SELATAN,7.5
Ogan Komering Ulu,7.57
Ogan Komering Ilir,5.93
Muara Enim,6.97
Lahat,7.74
Musi Rawas,6.11
Musi Banyuasin,7.12
Banyu Asin,6.49
Ogan Komering Ulu Selatan,6.92
Ogan Komering Ulu Timur,6.66
Ogan Ilir,6.87
Empat Lawang,6.97
Penukal Abab Lematang Ilir,-
Musi Rawas Utara,-
Kota Palembang,10
Kota Prabumulih,9.13
Kota Pagar Alam,8.42
Kota Lubuklinggau,9.2
BENGKULU,8.01
Bengkulu Selatan,8.36
Rejang Lebong,7.57
Bengkulu Utara,7.27
Kaur,7.73
Seluma,7.11
Mukomuko,7.19
Lebong,7.35
Kepahiang,7.18
Bengkulu Tengah,6.65
Kota Bengkulu,11.17
LAMPUNG,7.3
Lampung Barat,7.03
Tanggamus,6.27
Lampung Selatan,6.72
Lampung Timur,7.01
Lampung Tengah,7.03
Lampung Utara,7.42
Way Kanan,6.41
Tulangbawang,6.71
Pesawaran,6.77
Pringsewu,7.45
Mesuji,5.63
Tulang Bawang Barat,6.42
Pesisir Barat,-
Kota Bandar Lampung,10.16
Kota Metro,9.75
KEP. BANGKA BELITUNG,7.25
Bangka,7.76
Belitung,7.42
Bangka Barat,6.3
Bangka Tengah,6.5
Bangka Selatan,5.44
Belitung Timur,7.51
Kota Pangkal Pinang,9.56
KEPULAUAN RIAU,9.58
Karimun,7.25
Bintan,8.18
Natuna,7.75
Lingga,5.35
Kepulauan Anambas,6.13
Kota Batam,10.77
Kota Tanjung Pinang,9.8
DKI JAKARTA,10.43
Kep. Seribu,7.79
Kota Jakarta Selatan,10.86
Kota Jakarta Timur,11.08
Kota Jakarta Pusat,10.77
Kota Jakarta Barat,9.93
Kota Jakarta Utara,9.78
JAWA BARAT,7.52
Bogor,7.27
Sukabumi,6.32
Cianjur,6.39
Bandung,8.16
Garut,6.75
