Provinsi/Kabupaten/Kota/Indonesia,
,[Metode Baru] Rata-rata Lama Sekolah (Tahun)
Kendal,7.71
Batang,6.9
Pekalongan,7.46
Pemalang,6.5
Tegal,7.25
Brebes,6.35
Kota Magelang,10.94
Kota Surakarta,10.92
Kota Salatiga,10.95
Kota Semarang,10.8
Kota Pekalongan,9.2
Kota Tegal,9
D I YOGYAKARTA,9.75
Kulon Progo,9.17
Bantul,9.59
Gunung Kidul,7.31
Sleman,10.94
Kota Yogyakarta,11.89
JAWA TIMUR,8.03
Pacitan,7.82
Ponorogo,7.77
Trenggalek,7.89
Tulungagung,8.65
Blitar,7.82
Kediri,8.23
Malang,7.68
Lumajang,6.87
Jember,6.5
Banyuwangi,7.66
Bondowoso,6.22
Situbondo,6.63
Probolinggo,6.13
Pasuruan,7.42
Sidoarjo,10.77
Mojokerto,8.97
Jombang,8.76
Nganjuk,8.12
Madiun,7.94
Magetan,8.66
Ngawi,7.59
Bojonegoro,7.43
Tuban,7.37
Lamongan,8.33
Gresik,9.75
Bangkalan,5.97
Sampang,5.06
Pamekasan,6.88
Sumenep,5.93
Kota Kediri,10.45
Kota Blitar,10.65
Kota Malang,10.69
Kota Probolinggo,9.29
Kota Pasuruan,9.67
Kota Mojokerto,10.8
Kota Madiun,11.67
Kota Surabaya,10.51
Kota Batu,9.63
BANTEN,9.13
Pandeglang,7.13
Lebak,6.59
Tangerang,8.92
Serang,7.78
Kota Tangerang,10.84
Kota Cilegon,10.34
Kota Serang,8.9
Kota Tangerang Selatan,11.84
BALI,9.39
Jembrana,8.64
Tabanan,9.15
Badung,10.64
Gianyar,9.55
Klungkung,8.46
Bangli,7.47
Karangasem,6.67
Buleleng,7.56
Kota Denpasar,11.5
NUSA TENGGARA BARAT,7.61
Lombok Barat,6.6
Lombok Tengah,6.44
Lombok Timur,7.04
Sumbawa,8.21
Dompu,8.73
Bima,8.17
Sumbawa Barat,8.9
Lombok Utara,6.3
Kota Mataram,9.55
Kota Bima,10.94
NUSA TENGGARA TIMUR,7.7
Sumba Barat,6.85
Sumba Timur,7.33
Kupang,7.41
Timor Tengah Selatan,6.76
Timor Tengah Utara,7.97
Belu,7.38
Alor,8.43
Lembata,8.25
Flores Timur,7.79
Sikka,6.96
Ende,8.09
Ngada,8.54
Manggarai,7.62
Rote Ndao,7.76
Manggarai Barat,7.8
Sumba Tengah,6.73
Sumba Barat Daya,6.37
Nagekeo,7.91
Manggarai Timur,7.42
Sabu Raijua,6.77
Malaka,7.12
Kota Kupang,11.61
KALIMANTAN BARAT,7.59
Sambas,6.74
Bengkayang,7
Landak,7.15
Mempawah,7.17
Sanggau,7.41
Ketapang,7.48
Sintang,7.36
Kapuas Hulu,7.59
Sekadau,7.12
Melawi,7.18
Kayong Utara,6.21
Kubu Raya,7.02
Kota Pontianak,10.44
Kota Singkawang,8.19
KALIMANTAN TENGAH,8.65
Kotawaringin Barat,8.54
Kotawaringin Timur,8.16
Kapuas,7.64
Barito Selatan,9.01
Barito Utara,8.9
Sukamara,8.1
Lamandau,8.53
Seruyan,7.99
Katingan,8.78
Pulang Pisau,8.26
Gunung Mas,9.24
Barito Timur,9.32
Murung Raya,7.66
Kota Palangka Raya,11.55
KALIMANTAN SELATAN,8.46
Tanah Laut,7.9
Kotabaru,7.47
Banjar,7.71
Barito Kuala,7.63
Tapin,7.95
Hulu Sungai Selatan,7.79
Hulu Sungai Tengah,8.28
Hulu Sungai Utara,7.76
Tabalong,9.12
Tanah Bumbu,8.25
Balangan,7.85
Kota Banjarmasin,10.21
Kota Banjar Baru,10.98
KALIMANTAN TIMUR,9.92
Paser,8.8
Kutai Barat,8.78
Kutai Kartanegara,9.24
Kutai Timur,9.44
Berau,9.54
Penajam Paser Utara,8.51
Mahakam Ulu,8.36
Kota Balikpapan,10.92
Kota Samarinda,10.71
Kota Bontang,10.81
KALIMANTAN UTARA,9.27
Malinau,9.41
Bulungan,9.2
Tana Tidung,8.97
Nunukan,8.24
Kota Tarakan,10.08
SULAWESI UTARA,9.68
Bolaang Mongondow,8.17
Minahasa,9.82
Kepulauan Sangihe,8.49
Kepulauan Talaud,9.73
Minahasa Selatan,9.19
Minahasa Utara,10.18
Bolaang Mongondow Utara,8.57
Siau Tagulandang Biaro,9.21
Minahasa Tenggara,9.12
Bolaang Mongondow Selatan,8.16
Bolaang Mongondow Timur,8.09
Kota Manado,11.43
Kota Bitung,9.91
Kota Tomohon,10.75
Kota Kotamobagu,10.32
SULAWESI TENGAH,8.89
Banggai Kepulauan,8.46
Banggai,8.54
Morowali,9.35
Poso,9.52
Donggala,7.98
Toli-Toli,8.76
Buol,9.08
Parigi Moutong,7.77
Tojo Una-Una,8.41
Sigi,8.84
Banggai Laut,8.63
Morowali Utara,8.75
Kota Palu,11.73
SULAWESI SELATAN,8.63
Kepulauan Selayar,8.09
Bulukumba,8.01
Bantaeng,6.81
