38 Provinsi,
,Realisasi Investasi Penanaman Modal Dalam Negeri Menurut Lokasi - Jumlah Investasi (Milyar Rupiah)
,2018
ACEH,970
SUMATERA UTARA,8371.8
SUMATERA BARAT,2309.4
RIAU,9056.4
JAMBI,2876.5
SUMATERA SELATAN,9519.8
BENGKULU,4902.8
LAMPUNG,12314.7
KEP. BANGKA BELITUNG,3112.9
KEP. RIAU,4386
DKI JAKARTA,49097.4
JAWA BARAT,42278.2
JAWA TENGAH,27474.9
DI YOGYAKARTA,6131.7
JAWA TIMUR,33333.1
BANTEN,18637.6
BALI,1548.8
NUSA TENGGARA BARAT,4135.1
NUSA TENGGARA TIMUR,4246.1
KALIMANTAN BARAT,6591.4
KALIMANTAN TENGAH,13091.6
KALIMANTAN SELATAN,9975.2
KALIMANTAN TIMUR,25942
KALIMANTAN UTARA,1356.8
SULAWESI UTARA,4320.1
SULAWESI TENGAH,8488.9
SULAWESI SELATAN,3275.9
SULAWESI TENGGARA,1603.4
GORONTALO,2666.8
SULAWESI BARAT,3144.2
MALUKU,1013.5
MALUKU UTARA,2276.3
PAPUA BARAT,50.9
PAPUA BARAT DAYA,-
PAPUA,104.6
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,328604.9
