38 Provinsi,
,Realisasi Investasi Penanaman Modal Dalam Negeri Menurut Lokasi - Jumlah Investasi (Milyar Rupiah)
,2019
ACEH,3606.9
SUMATERA UTARA,19749
SUMATERA BARAT,3026.6
RIAU,26292.2
JAMBI,4437.4
SUMATERA SELATAN,16921.1
BENGKULU,5458.1
LAMPUNG,2428.9
KEP. BANGKA BELITUNG,2915.2
KEP. RIAU,5656.4
DKI JAKARTA,62094.8
JAWA BARAT,49284.2
JAWA TENGAH,18654.7
DI YOGYAKARTA,6298.8
JAWA TIMUR,45452.7
BANTEN,20708.4
BALI,7393.2
NUSA TENGGARA BARAT,3519
NUSA TENGGARA TIMUR,3752.6
KALIMANTAN BARAT,7699.1
KALIMANTAN TENGAH,8591.9
KALIMANTAN SELATAN,10061
KALIMANTAN TIMUR,21952
KALIMANTAN UTARA,4400.9
SULAWESI UTARA,8259.6
SULAWESI TENGAH,4438.8
SULAWESI SELATAN,5672.6
SULAWESI TENGGARA,3827.1
GORONTALO,844.4
SULAWESI BARAT,1187.2
MALUKU,283.2
MALUKU UTARA,682.7
PAPUA BARAT,380.2
PAPUA BARAT DAYA,-
PAPUA,567.7
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,386498.4
