38 Provinsi,
,Persentase Tenaga Kerja Formal Menurut Provinsi (Persen)
,2017
ACEH,40.42
SUMATERA UTARA,42
SUMATERA BARAT,35.61
RIAU,47.3
JAMBI,41.47
SUMATERA SELATAN,37.6
BENGKULU,33.61
LAMPUNG,29.71
KEP. BANGKA BELITUNG,51.62
KEP. RIAU,68.51
DKI JAKARTA,71.55
JAWA BARAT,50.22
JAWA TENGAH,39.71
DI YOGYAKARTA,43.45
JAWA TIMUR,38.65
BANTEN,58.07
BALI,50.2
NUSA TENGGARA BARAT,26.38
NUSA TENGGARA TIMUR,24.14
KALIMANTAN BARAT,38.57
KALIMANTAN TENGAH,45.67
KALIMANTAN SELATAN,38.98
KALIMANTAN TIMUR,59.96
KALIMANTAN UTARA,57.76
SULAWESI UTARA,44.54
SULAWESI TENGAH,31.94
SULAWESI SELATAN,37.63
SULAWESI TENGGARA,36.29
GORONTALO,39.49
SULAWESI BARAT,31.58
MALUKU,37.18
MALUKU UTARA,38.05
PAPUA BARAT,40.9
PAPUA BARAT DAYA,-
PAPUA,21.81
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,42.97
