Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,143455 (r),735 (r),60549 (r),1703629 (r),1908368 (r)
Sumatera Utara,569698 (r),5055 (r),238914 (r),5182720 (r),5996387 (r)
Sumatera Barat,239318 (r),3692 (r),120291 (r),1780673 (r),2143974 (r)
Riau,286307 (r),4683 (r),168886 (r),2835771 (r),3295647 (r)
Jambi,140540 (r),34811 (r),120378 (r),1723581 (r),2019310 (r)
Sumatera Selatan,317427 (r),6049 (r),291049 (r),2676008 (r),3290533 (r)
Bengkulu,94704 (r),761 (r),42760 (r),785637 (r),923862 (r)
Lampung,242459 (r),2790 (r),155444 (r),2927606 (r),3328299 (r)
Kepulauan Bangka Belitung,68424 (r),1090 (r),40967 (r),823873 (r),934354 (r)
Kepulauan Riau,117057 (r),1819 (r),24302 (r),725805 (r),868983 (r)
DKI Jakarta,2827399 (r),31593 (r),587860 (r),14137126 (r),17583978 (r)
Jawa Barat,3427572 (r),18145 (r),332801 (r),9993078 (r),13771596 (r)
Jawa Tengah,1222846 (r),31460 (r),521922 (r),14214761 (r),15990989 (r)
DI Yogyakarta,328935 (r),3181 (r),53308 (r),2206320 (r),2591744 (r)
Jawa Timur,1652861 (r),31640 (r),669526 (r),17069698 (r),19423725 (r)
Banten,189542 (r),3098 (r),64188 (r),1815775 (r),2072603 (r)
Bali,413746 (r),8777 (r),140876 (r),3352428 (r),3915827 (r)
Nusa Tenggara Barat,88356 (r),2441 (r),64305 (r),1407834 (r),1562936 (r)
Nusa Tenggara Timur,53338 (r),3561 (r),40230 (r),675932 (r),773061 (r)
Kalimantan Barat,119115 (r),1445 (r),82855 (r),2026981 (r),2230396 (r)
Kalimantan Tengah,74130 (r),1284 (r),54392 (r),1031927 (r),1161733 (r)
Kalimantan Selatan,191724 (r),2430 (r),120255 (r),1965148 (r),2279557 (r)
Kalimantan Timur,230936 (r),5178 (r),160847 (r),2309716 (r),2706677 (r)
Kalimantan Utara,9749 (r),88 (r),5934 (r),85786 (r),101557 (r)
Sulawesi Utara,96982 (r),1247 (r),56924 (r),635055 (r),790208 (r)
Sulawesi Tengah,75853 (r),890 (r),43527 (r),926923 (r),1047193 (r)
Sulawesi Selatan,437612 (r),3318 (r),160819 (r),3011511 (r),3613260 (r)
Sulawesi Tenggara,165228 (r),202 (r),28588 (r),563324 (r),757342 (r)
Gorontalo,27956 (r),284 (r),20815 (r),309667 (r),358722 (r)
Sulawesi Barat,15755 (r),20 (r),8848 (r),265313 (r),289936 (r)
Maluku,20372 (r),416 (r),11334 (r),220521 (r),252643 (r)
Maluku Utara,16395 (r),89 (r),9751 (r),200380 (r),226615 (r)
Papua Barat,31585 (r),268 (r),14358 (r),244521 (r),290732 (r)
Papua,30826 (r),819 (r),23099 (r),365217 (r),419961 (r)
Indonesia,13968202 (r),213359 (r),4540902 (r),100200245 (r),118922708 (r)
