Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,202765,2665,77880,2342010,2625320
Sumatera Utara,812499,9321,317860,6616681,7756361
Sumatera Barat,360373,4506,127657,2384746,2877282
Riau,431667,5644,237836,3868487,4543634
Jambi,201812,24133,132151,2331002,2689098
Sumatera Selatan,439359,7066,343386,3444660,4234471
Bengkulu,126355,932,55369,1022110,1204766
Lampung,338003,3436,195309,3589408,4126156
Kepulauan Bangka Belitung,94813,1249,51360,1069148,1216570
Kepulauan Riau,221401,2474,39002,1235563,1498440
DKI Jakarta,2272301,34877,500146,8889450,11696774
Jawa Barat,2819163,33038,747328,22355333,25954862
Jawa Tengah,1627049,36626,673839,18499683,20837197
DI Yogyakarta,374670,4307,72848,2770490,3222315
Jawa Timur,5439502,43261,781907,18885567,25150237
Banten,1005073,11941,240476,6877719,8135209
Bali,522639,15327,182920,4291982,5012868
Nusa Tenggara Barat,119552,2951,91265,1988623,2202391
Nusa Tenggara Timur,69960,3046,64023,912748,1049777
Kalimantan Barat,183665,1794,120195,2827741,3133395
Kalimantan Tengah,123296,1778,86381,1453791,1665246
Kalimantan Selatan,260934,3736,158302,2653889,3076861
Kalimantan Timur,331652,7201,216361,2883046,3438260
Kalimantan Utara,22197,233,15321,245007,282758
Sulawesi Utara,160618,1647,76796,901053,1140114
Sulawesi Tengah,98223,679,51236,976940,1127078
Sulawesi Selatan,604468,5447,230922,4292112,5132949
Sulawesi Tenggara,192491,364,51446,929726,1174027
Gorontalo,39307,328,29968,431203,500806
Sulawesi Barat,25081,81,16270,376690,418122
Maluku,30428,515,16361,345008,392312
Maluku Utara,23855,169,14843,306174,345041
Papua Barat,39189,430,20107,344392,404118
Papua Barat Daya,...,...,...,...,...
Papua,96074,1591,50228,709128,857021
Papua Selatan,...,...,...,...,...
Papua Tengah,...,...,...,...,...
Papua Pegunungan,...,...,...,...,...
Indonesia,19710434,272793,6087299,133051310,159121836
,,,,,
Keterangan,,,,,
" 1 Data Provinsi Papua Barat Daya masih tergabung dengan Provinsi Papua Barat2 Data Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih tergabung dengan Provinsi Papua",,,,,
