Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,166601,1129,67996,2086604 (r),2322330 (r)
Sumatera Utara,691252 (r),5926,272215 (r),6076695 (r),7046088 (r)
Sumatera Barat,274513,4092,134620,2127503 (r),2540728 (r)
Riau,354651,5204,202038,3431857 (r),3993750 (r)
Jambi,171178,35048,135609,2099801,2441636
Sumatera Selatan,387151,6469,320677,3137227,3851524
Bengkulu,107540,842,49347,925394,1083123
Lampung,286139,3019,178707,3330518,3798383
Kepulauan Bangka Belitung,81599,1186,45495,971047,1099327
Kepulauan Riau,148135,2140,27404,891953,1069632
DKI Jakarta,3544492 (r),36339,713059,16711638,21005528 (r)
Jawa Barat,3724612 (r),21405,412894 (r),12689634 (r),16848545 (r)
Jawa Tengah,1405334,34208,589100,16800333 (r),18828975 (r)
DI Yogyakarta,368188,3802,62329,2572811 (r),3007130 (r)
Jawa Timur,1950975,35920,755847,20031820 (r),22774562 (r)
Banten,247020,3573,82260,2371748,2704601
Bali,466300,9405,154803 (r),3862635 (r),4493143 (r)
Nusa Tenggara Barat,99787,2628,75070,1740049,1917534
Nusa Tenggara Timur,59532,3715,49167,841384,953798
Kalimantan Barat,152238,1586,100871,2480296 (r),2734991 (r)
Kalimantan Tengah,97136,1521,70320,1299078,1468055
Kalimantan Selatan,229544 (r),3102,139611 (r),2379834,2752091 (r)
Kalimantan Timur,280670,6371,190662,2714323,3192026
Kalimantan Utara,13601,116,8596,143955,166268
Sulawesi Utara,127406,1358,68111,795264,992139
Sulawesi Tengah,89833,941,50220,1090209,1231203
Sulawesi Selatan,530350,3856,196633,3702188,4433027
Sulawesi Tenggara,187061,529,38972,754731 (r),981293 (r)
Gorontalo,35981,340,26639,396839,459799
Sulawesi Barat,21082,37 (r),12734,333988,367841 (r)
Maluku,24674,460,13749,286360,325243
Maluku Utara,19906,135,12363,268416,300820
Papua Barat,35601,359,17458,303320,356738
Papua,34016 (r),846,24305 (r),400660 (r),459827 (r)
Indonesia,16414098 (r),237607 (r),5299881 (r),120050112 (r),142001698 (r)
