Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,223567 (*),3021 (*),81937 (*),2590309 (*),2898834
Sumatera Utara,872015 (*),10541 (*),333530 (*),7169777 (*),8385863
Sumatera Barat,386835 (*),4959 (*),134595 (*),2584223 (*),3110612
Riau,472776 (*),6225 (*),256187 (*),4288370 (*),5023558
Jambi,227145 (*),33720 (*),152952 (*),2582655 (*),2996472
Sumatera Selatan,478605 (*),7457 (*),356840 (*),3763804 (*),4606706
Bengkulu,134151 (*),995 (*),57412 (*),1128153 (*),1320711
Lampung,370097 (*),3734 (*),203540 (*),3852887 (*),4430258
Kepulauan Bangka Belitung,101724 (*),1316 (*),54248 (*),1123495 (*),1280783
Kepulauan Riau,244363 (*),2787 (*),42196 (*),1397762 (*),1687108
DKI Jakarta,2336960 (*),37981 (*),527841 (*),9376276 (*),12279058
Jawa Barat,2980773 (*),36679 (*),779518 (*),24260590 (*),28057560
Jawa Tengah,1741611 (*),39734 (*),700639 (*),19838639 (*),22320623
DI Yogyakarta,403714 (*),4842 (*),78057 (*),2948478 (*),3435091
Jawa Timur,5588804 (*),48012 (*),816582 (*),20246077 (*),26699475
Banten,1066756 (*),13883 (*),252329 (*),7499678 (*),8832646
Bali,569311 (*),16611 (*),195797 (*),4756197 (*),5537916
Nusa Tenggara Barat,132806 (*),3297 (*),99754 (*),2244140 (*),2479997
Nusa Tenggara Timur,80827 (*),3381 (*),74550 (*),1061305 (*),1220063
Kalimantan Barat,208654 (*),1940 (*),131759 (*),3181143 (*),3523496
Kalimantan Tengah,145990 (*),2027 (*),96453 (*),1644478 (*),1888948
Kalimantan Selatan,290821 (*),4223 (*),168410 (*),2896477 (*),3359931
Kalimantan Timur,365121 (*),7828 (*),235359 (*),3209385 (*),3817693
Kalimantan Utara,28488 (*),334 (*),20685 (*),362141 (*),411648
Sulawesi Utara,174059 (*),1704 (*),81259 (*),1005472 (*),1262494
Sulawesi Tengah,127088 (*),1214 (*),67817 (*),1470064 (*),1666183
Sulawesi Selatan,660750 (*),6123 (*),249085 (*),4719350 (*),5635308
Sulawesi Tenggara,205394 (*),496 (*),57324 (*),1073231 (*),1336445
Gorontalo,44716 (*),390 (*),33928 (*),522293 (*),601327
Sulawesi Barat,30776 (*),103 (*),20050 (*),446477 (*),497406
Maluku,33022 (*),530 (*),17328 (*),395008 (*),445888
Maluku Utara,26931 (*),194 (*),16931 (*),370868 (*),414924
Papua Barat,16392 (*),187 (*),10302 (*),176279 (*),203160
Papua Barat Daya,25293 (*),301 (*),11179 (*),199916 (*),236689
Papua,66130 (*),957 (*),25494 (*),420812 (*),513393
Papua Selatan,15580 (*),182 (*),11891 (*),164074 (*),191727
Papua Tengah,26021 (*),533 (*),14268 (*),242364 (*),283186
Papua Pegunungan,3906 (*),172 (*),6062 (*),34773 (*),44913
Indonesia,20907972 (*),308613 (*),6474088 (*),145247420 (*),172938093
,,,,,
Keterangan,,,,,
<sup>,,,,,
" 1 </sup>Data Provinsi Papua Barat Daya masih tergabung dengan Provinsi Papua Barat/<i>Data of Papua Barat Province included Papua Barat Daya Province</i><sup>2</sup>Data Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih tergabung dengan Provinsi Papua/<i>Data of Papua Province included Papua </i><i>Selatan, Papua Tengah, and Papua Pegunungan Province</i>",,,,,
