Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,137559 (r),691 (r),58165 (r),1604137 (r),1800552 (r)
Sumatera Utara,527409 (r),4801 (r),229301 (r),4945245 (r),5706756 (r)
Sumatera Barat,227434 (r),3568 (r),115095 (r),1675730 (r),2021827 (r)
Riau,266525 (r),4427 (r),159064 (r),2667398 (r),3097414 (r)
Jambi,131850 (r),34771 (r),116833 (r),1616754 (r),1900208 (r)
Sumatera Selatan,294623 (r),5970 (r),282242 (r),2532010 (r),3114845 (r)
Bengkulu,89699 (r),737 (r),40348 (r),740531 (r),871315 (r)
Lampung,228880 (r),2712 (r),148095 (r),2811899 (r),3191586 (r)
Kepulauan Bangka Belitung,64284 (r),1045 (r),39837 (r),770361 (r),875527 (r)
Kepulauan Riau,109336 (r),1705 (r),23508 (r),687556 (r),822105 (r)
DKI Jakarta,2570433 (r),29336 (r),553320 (r),13338593 (r),16491682 (r)
Jawa Barat,3324971 (r),16747 (r),309422 (r),9193057 (r),12844197 (r)
Jawa Tengah,1161897 (r),30600 (r),500697 (r),13414092 (r),15107286 (r)
DI Yogyakarta,312746 (r),2908 (r),50445 (r),2105008 (r),2471107 (r)
Jawa Timur,1542941 (r),30285 (r),644795 (r),16190169 (r),18408190 (r)
Banten,171565 (r),2883 (r),59260 (r),1663873 (r),1897581 (r)
Bali,392269 (r),8440 (r),136197 (r),3204097 (r),3741003 (r)
Nusa Tenggara Barat,84880 (r),2383 (r),62393 (r),1356174 (r),1505830 (r)
Nusa Tenggara Timur,51014 (r),3502 (r),37808 (r),626225 (r),718549 (r)
Kalimantan Barat,110756 (r),1409 (r),77949 (r),1912060 (r),2102174 (r)
Kalimantan Tengah,68509 (r),1205 (r),50179 (r),967011 (r),1086904 (r)
Kalimantan Selatan,181292 (r),2214 (r),115342 (r),1859070 (r),2157918 (r)
Kalimantan Timur,220037 (r),4872 (r),153692 (r),2219814 (r),2598415 (r)
Kalimantan Utara,9072 (r),72 (r),5288 (r),73303 (r),87735 (r)
Sulawesi Utara,86484 (r),1185 (r),53702 (r),595256 (r),736627 (r)
Sulawesi Tengah,71129 (r),876 (r),41040 (r),874284 (r),987329 (r)
Sulawesi Selatan,408640 (r),3203 (r),152437 (r),2838976 (r),3403256 (r)
Sulawesi Tenggara,160611 (r),127 (r),26535 (r),521079 (r),708352 (r)
Gorontalo,14309 (r),17 (r),7839 (r),249910 (r),272075 (r)
Sulawesi Barat,26321 (r),276 (r),19705 (r),294898 (r),341200 (r)
Maluku,19019 (r),403 (r),10652 (r),204418 (r),234492 (r)
Maluku Utara,15506 (r),81 (r),9060 (r),186287 (r),210934 (r)
Papua Barat,30132 (r),242 (r),13387 (r),227018 (r),270779 (r)
Papua,30826 (r),819 (r),23099 (r),365217 (r),419961 (r)
Indonesia,13142958 (r),204512 (r),4326731 (r),94531510 (r),112205711 (r)
