Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,130667 (r),640 (r),55531 (r),1490853 (r),1677691 (r)
Sumatera Utara,494493 (r),4583 (r),221163 (r),4710627 (r),5430866 (r)
Sumatera Barat,215376 (r),3429 (r),111430 (r),1577617 (r),1907852 (r)
Riau,248485 (r),4198 (r),153129 (r),2534053 (r),2939865 (r)
Jambi,124329 (r),34725 (r),114668 (r),1544027 (r),1817749 (r)
Sumatera Selatan,275188 (r),5863 (r),277964 (r),2430833 (r),2989848 (r)
Bengkulu,84218 (r),705 (r),38686 (r),701264 (r),824873 (r)
Lampung,215223 (r),2612 (r),142483 (r),2692887 (r),3053205 (r)
Kepulauan Bangka Belitung,60347 (r),995 (r),39062 (r),738989 (r),839393 (r)
Kepulauan Riau,100496 (r),1598 (r),22349 (r),637877 (r),762320 (r)
DKI Jakarta,2295254 (r),27216 (r),526284 (r),12494331 (r),15343085 (r)
Jawa Barat,3219116 (r),15308 (r),287752 (r),8347954 (r),11870130 (r)
Jawa Tengah,1102287 (r),29816 (r),482135 (r),12563430 (r),14177668 (r)
DI Yogyakarta,298223 (r),2679 (r),47759 (r),1989874 (r),2338535 (r)
Jawa Timur,1439863 (r),29254 (r),622252 (r),15163259 (r),17254628 (r)
Banten,154808 (r),2663 (r),55401 (r),1515309 (r),1728181 (r)
Bali,369985 (r),8089 (r),130957 (r),3034179 (r),3543210 (r)
Nusa Tenggara Barat,80253 (r),2315 (r),59242 (r),1259646 (r),1401456 (r)
Nusa Tenggara Timur,48129 (r),3440 (r),35353 (r),570038 (r),656960 (r)
Kalimantan Barat,102641 (r),1379 (r),75226 (r),1829791 (r),2009037 (r)
Kalimantan Tengah,62863 (r),1149 (r),47503 (r),917902 (r),1029417 (r)
Kalimantan Selatan,169559 (r),2080 (r),111718 (r),1772310 (r),2055667 (r)
Kalimantan Timur,207809 (r),4634 (r),147741 (r),2145698 (r),2505882 (r)
Kalimantan Utara,8865 (r),59 (r),5204 (r),71470 (r),85598 (r)
Sulawesi Utara,78123 (r),1126 (r),50011 (r),555832 (r),685092 (r)
Sulawesi Tengah,65104 (r),827 (r),38517 (r),808573 (r),913021 (r)
Sulawesi Selatan,375813 (r),3074 (r),142450 (r),2638923 (r),3160260 (r)
Sulawesi Tenggara,149019 (r),95 (r),24515 (r),479780 (r),653409 (r)
Gorontalo,23885 (r),262 (r),18529 (r),275476 (r),318152 (r)
Sulawesi Barat,12606 (r),14 (r),6955 (r),232537 (r),252112 (r)
Maluku,17301 (r),379 (r),9959 (r),186071 (r),213710 (r)
Maluku Utara,14587 (r),76 (r),8513 (r),172855 (r),196031 (r)
Papua Barat,28480 (r),208 (r),12317 (r),207502 (r),248507 (r)
Papua,30826 (r),819 (r),23099 (r),365164 (r),419908 (r)
Indonesia,12304221 (r),196309 (r),4145857 (r),88656931 (r),105303318 (r)
