Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,158406,1034,65359,1933053,2157852
Sumatera Utara,647775,5686,259046,5724881,6637388
Sumatera Barat,261992,4016,128992,1979526,2374526
Riau,327669,5096,188744,3185951,3707460
Jambi,159007,34998,129763,1949188,2272956
Sumatera Selatan,360474,6348,310153,2954630,3631605
Bengkulu,103400,825,47066,867559,1018850
Lampung,271216,2974,171030,3187035,3632255
Kepulauan Bangka Belitung,77559,1169,43946,917129,1039803
Kepulauan Riau,138167,2109,26063,826662,993001
DKI Jakarta,3310426,34905,669724,15868191,19883246
Jawa Barat,3628502,20712,384828,11737547,15771589
Jawa Tengah,1348353,33535,564902,15846499,17793289
DI Yogyakarta,356506,3678,59361,2441874,2861419
Jawa Timur,1858782,34958,724185,18977474,21595399
Banten,227547,3466,75374,2161809,2468196
Bali,455993,9345,150787,3742000,4358125
Nusa Tenggara Barat,96118,2591,71319,1615817,1785845
Nusa Tenggara Timur,57654,3658,46217,780734,888263
Kalimantan Barat,138484,1550,93779,2294387,2528200
Kalimantan Tengah,87814,1449,64734,1195196,1349193
Kalimantan Selatan,215641,2924,132502,2228765,2579832
Kalimantan Timur,261006,5975,179608,2563074,3009663
Kalimantan Utara,11959 (r),107 (r),7676 (r),123120 (r),142862 (r)
Sulawesi Utara,117122,1329,63537,730409,912397
Sulawesi Tengah,82901,912,46745,1011019,1141577
Sulawesi Selatan,494698,3650,182157,3438236,4118741
Sulawesi Tenggara,178253,470,34952,678658,892333
Gorontalo,33282,333,24675,360575,418865
Sulawesi Barat,18726,36,11121,304369,334252
Maluku,23383,451,12845,260557,297236
Maluku Utara,18449,120,11153,237618,267340
Papua Barat,34329,341,16446,282377,333493
Papua,30826,819,23099,365217,419961
Indonesia,15592419 (r),231569 (r),5021888 (r),112771136 (r),133617012 (r)
