Provinsi,Jumlah Kendaraan Bermotor - Mobil Penumpang,Jumlah Kendaraan Bermotor - Bus,Jumlah Kendaraan Bermotor - Truk,Jumlah Kendaraan Bermotor - Sepeda Motor,Jumlah Kendaraan Bermotor - Jumlah
Aceh,160334,1048,65785,1978138,2205305
Sumatera Utara,658330,5744,261748,5821157,6746979
Sumatera Barat,265241,4034,130326,2022227,2421828
Riau,334144,5136,191490,3253261,3784031
Jambi,162107,35001,130604,1991271,2318983
Sumatera Selatan,366969,6366,312038,3006479,3691852
Bengkulu,104579,836,47481,884151,1037047
Lampung,274765,2984,172688,3229304,3679741
Kepulauan Bangka Belitung,78504,1173,44189,924322,1048188
Kepulauan Riau,141044,2117,26368,847289,1016818
DKI Jakarta,3365467,35266,679708,16141380,20221821
Jawa Barat,3652233,20839,391265,12043160,16107497
Jawa Tengah,1363756,33787,570347,16131478,18099368
DI Yogyakarta,359776,3759,60129,2487138,2910802
Jawa Timur,1883822,35295,732670,19349741,22001528
Banten,232939,3519,76905,2234539,2547902
Bali,459369,9390,151884,3798850,4419493
Nusa Tenggara Barat,97186,2591,72402,1659389,1831568
Nusa Tenggara Timur,58062,3660,46649,795011,903382
Kalimantan Barat,141397,1560,94785,2343626,2581368
Kalimantan Tengah,90135,1472,65645,1224863,1382115
Kalimantan Selatan,219216,2969,134013,2274317,2630515
Kalimantan Timur,266296,6047,181981,2607262,3061586
Kalimantan Utara,12385,113,7922,128750,149170
Sulawesi Utara,119266,1333,64441,744342,929382
Sulawesi Tengah,83966,917,47260,1024025,1156168
Sulawesi Selatan,503113,3677,185605,3513739,4206134
Sulawesi Tenggara,180130,509,35733,698407,914779
Gorontalo,33978,333,25140,368600,428051
Sulawesi Barat,19221,320 (r),11353,311452,342346 (r)
Maluku,23700,451,13062,267263,304476
Maluku Utara,18747,120,11345,244970,275182
Papua Barat,34585,341,16614,287292,338832
Papua,32984,838,23830,385846,443498
Indonesia,15797746,233545 (r),5083405,115023039,136137735 (r)
