Provinsi,Tahun,Pengeluaran_Makanan,Pengeluaran_Bukan_Makanan,Total_Pengeluaran,UMP,TPT,TPAK,PDRB_HargaBerlaku,PDRB_HargaKonstan,Pct_Penduduk_Miskin,Inflasi_Rata_Tahunan
Kepulauan Riau,2022,846221.75,985478.65,1831700.4,3050172.0,8.125,67.71,145530.48,89612.57,6.24,0.45
Lampung,2022,575672.68,499314.76,1074987.43,2440486.0,4.415,71.285,44982.4,27973.81,11.57,0.45
Maluku,2022,589485.16,580343.17,1169828.33,2619313.0,6.66,64.27,28536.54,17717.1,15.97,0.45
Maluku Utara,2022,585162.43,543423.92,1128586.35,2862231.0,4.48,65.795,53776.27,30526.49,6.23,0.45
Nusa Tenggara Barat,2022,666966.05,493696.03,1160662.07,2207212.0,3.405,70.59,28670.72,18647.1,13.68,0.45
Nusa Tenggara Timur,2022,480749.17,403352.91,884102.08,1975000.0,3.42,74.445,21657.61,13264.15,20.05,0.45
Papua,2022,858106.47,596214.24,1454320.71,3561932.0,3.215,78.99,59383.62,39112.71,26.56,0.45
Papua Barat,2022,723854.71,724650.68,1448505.39,3200000.0,5.575,69.07,78141.31,53517.07,21.33,0.45
Riau,2022,730825.57,694345.29,1425170.86,2938564.0,4.385,64.92,151258.97,80773.87,6.78,0.45
Sulawesi Barat,2022,491876.25,464029.03,955905.28,2678863.0,2.725,70.95,37033.82,23060.66,11.75,0.45
Sulawesi Selatan,2022,566223.75,576387.95,1142611.7,3165876.0,5.13,66.015,65353.29,38975.18,8.63,0.45
Sulawesi Tengah,2022,561738.97,521939.99,1083678.96,2390739.0,3.335,70.425,106068.47,56577.06,12.33,0.45
Sulawesi Tenggara,2022,535048.46,576546.85,1111595.3,2576017.0,3.61,67.565,58714.73,37956.13,11.17,0.45
Sulawesi Utara,2022,674114.08,562591.43,1236705.51,3310723.0,6.56,62.525,59020.57,36368.64,7.28,0.45
Sumatera Barat,2022,716261.97,626723.54,1342985.51,2512539.0,6.225,68.65,50263.83,32166.76,5.92,0.45
Sumatera Selatan,2022,620732.28,528080.19,1148812.47,3144446.0,4.685,69.32,68238.87,39723.97,11.9,0.45
Sumatera Utara,2022,663926.75,552569.9,1216496.65,2522610.0,5.815,69.99,62922.26,37780.55,8.42,0.45
Aceh,2023,702547.0,523429.0,1225976.0,3413666.0,5.89,64.945,41407.6,26800.14,14.45,0.215
Bali,2023,729755.0,1011768.0,1741523.0,2713672.0,3.21,77.135,62299.21,36206.81,4.25,0.215
Banten,2023,847452.0,896235.0,1743687.0,2661280.0,7.745,65.19,66147.2,41228.21,6.17,0.215
Bengkulu,2023,679166.0,653392.0,1332558.0,2418280.0,3.315,71.815,46300.51,24952.76,14.04,0.215
DI Yogyakarta,2023,722132.0,1009428.0,1731560.0,1981782.0,3.635,73.755,48373.32,31747.86,11.04,0.215
DKI Jakarta,2023,1055896.0,1735820.0,2791716.0,4901798.0,7.05,64.14,322650.58,192134.11,4.44,0.215
Gorontalo,2023,590966.0,637927.0,1228893.0,2989350.0,3.065,70.69,42340.5,26083.3,15.15,0.215
Jambi,2023,720949.0,703176.0,1424125.0,2943033.0,4.515,68.315,79873.36,46004.69,7.58,0.215
Jawa Barat,2023,761832.0,805834.0,1567666.0,1986670.0,7.665,66.62,52651.05,33481.65,7.62,0.215
Jawa Tengah,2023,601528.0,608378.0,1209906.0,1958170.0,5.185,72.025,45162.08,29366.26,10.77,0.215
Jawa Timur,2023,657408.0,666078.0,1323486.0,2040244.0,4.605,72.03,71121.93,44423.32,10.35,0.215
Kalimantan Barat,2023,695043.0,650509.0,1345552.0,2608602.0,4.785,68.935,48808.92,27560.34,6.71,0.215
Kalimantan Selatan,2023,747955.0,709390.0,1457344.0,3149978.0,4.13,69.645,63754.33,35342.1,4.29,0.215
Kalimantan Tengah,2023,787550.0,738235.0,1525785.0,3181013.0,3.97,67.97,75271.23,40959.59,5.11,0.215
Kalimantan Timur,2023,885069.0,1095206.0,1980275.0,3201396.0,5.84,65.615,215804.04,137510.39,6.11,0.215
Kalimantan Utara,2023,801219.0,892358.0,1693577.0,3251703.0,4.055,68.69,201788.63,95658.26,6.45,0.215
Kepulauan Bangka Belitung,2023,879797.0,847753.0,1727550.0,3498479.0,4.225,69.335,67812.94,39907.63,4.52,0.215
Kepulauan Riau,2023,863530.0,1126172.0,1989703.0,3279194.0,7.205,67.985,154065.16,92869.32,5.69,0.215
Lampung,2023,627879.0,575138.0,1203017.0,2633285.0,4.205,71.055,48187.64,28907.12,11.11,0.215
Maluku,2023,595310.0,642860.0,1238170.0,2812828.0,6.195,63.71,30455.06,18392.92,16.42,0.215
Maluku Utara,2023,660687.0,656472.0,1317159.0,2976720.0,4.455,67.145,64269.75,36592.38,6.46,0.215
Nusa Tenggara Barat,2023,711180.0,549640.0,1260820.0,2371407.0,3.265,72.235,29925.69,18687.2,13.85,0.215
Nusa Tenggara Timur,2023,516672.0,444700.0,961372.0,2123994.0,3.12,75.115,23078.51,13511.53,19.96,0.215
Papua,2023,866059.0,643934.0,1509992.0,3864696.0,3.08,76.995,78055.48,47321.1,26.03,0.215
Papua Barat,2023,773831.0,824423.0,1598254.0,3282000.0,5.455,68.3,108110.28,71924.23,20.49,0.215
Riau,2023,776145.0,751405.0,1527549.0,3191663.0,4.24,64.815,154522.28,83070.74,6.68,0.215
Sulawesi Barat,2023,530104.0,506416.0,1036520.0,2871795.0,2.655,69.335,39546.78,23903.2,11.49,0.215
Sulawesi Selatan,2023,597180.0,655371.0,1252551.0,3385145.0,4.795,65.015,69710.31,40290.12,8.7,0.215
Sulawesi Tengah,2023,602468.0,571212.0,1173679.0,2599546.0,3.22,70.02,112461.01,62584.06,12.41,0.215
Sulawesi Tenggara,2023,561452.0,611288.0,1172739.0,2758985.0,3.405,68.81,64088.4,39342.46,11.43,0.215
Sulawesi Utara,2023,670957.0,644219.0,1315176.0,3485000.0,6.145,63.7,64130.96,38064.2,7.38,0.215
Sumatera Barat,2023,747469.0,664354.0,1411823.0,2742476.0,5.92,69.785,54333.83,33187.86,5.95,0.215
Sumatera Selatan,2023,647779.0,562206.0,1209986.0,3404177.0,4.32,70.225,71958.27,41283.99,11.78,0.215
Sumatera Utara,2023,707588.0,597752.0,1305339.0,2710494.0,5.565,70.83,68305.71,39140.19,8.15,0.215
Aceh,2024,722434.0,542299.0,1264733.0,3460672.0,5.654999999999999,,43782.22,27684.18,14.23,0.13
Bali,2024,804982.0,1067778.0,1872760.0,2813672.0,1.83,,67318.28,37940.16,4.0,0.13
Banten,2024,873268.0,898894.0,1772162.0,2727812.0,6.85,,70275.82,42773.59,5.84,0.13
Bengkulu,2024,724415.0,691561.0,1415976.0,2507079.0,3.1399999999999997,,49233.12,25780.58,13.56,0.13
DI Yogyakarta,2024,748182.0,1010683.0,1758865.0,2125898.0,3.3600000000000003,,51486.05,33140.14,10.83,0.13
DKI Jakarta,2024,1108228.0,1686257.0,2794485.0,5067381.0,6.12,,344382.53,201329.87,4.3,0.13
Gorontalo,2024,620823.0,641446.0,1262268.0,3025100.0,3.09,,44437.14,26838.33,14.57,0.13
Jambi,2024,773667.0,698833.0,1472501.0,3037121.0,4.465,,86774.89,47490.59,7.1,0.13
Jawa Barat,2024,803842.0,829190.0,1633032.0,2057495.0,6.83,,56081.86,34802.22,7.46,0.13
Jawa Tengah,2024,647311.0,624368.0,1271678.0,2036947.0,4.585,,47970.48,30533.89,10.47,0.13
Jawa Timur,2024,689148.0,667796.0,1356943.0,2165244.0,3.9650000000000003,,75770.26,46295.19,9.79,0.13
Kalimantan Barat,2024,735785.0,652292.0,1388077.0,2702616.0,4.53,,52702.7,28544.5,6.32,0.13
Kalimantan Selatan,2024,799948.0,734092.0,1534039.0,3282812.0,4.045,,67122.21,36685.06,4.11,0.13
Kalimantan Tengah,2024,835243.0,755448.0,1590691.0,3261616.0,3.84,,79319.73,42240.24,5.17,0.13
Kalimantan Timur,2024,925954.0,1116838.0,2042791.0,3360858.0,5.445,,212116.62,141088.49,5.78,0.13
Kalimantan Utara,2024,833209.0,824833.0,1658042.0,3361653.0,3.955,,198676.76,98859.94,6.32,0.13
Kepulauan Bangka Belitung,2024,929142.0,863932.0,1793074.0,3640000.0,4.24,,70193.32,39700.09,4.55,0.13
Kepulauan Riau,2024,938634.0,1170437.0,2109071.0,3402492.0,6.665,,161424.32,96157.12,5.37,0.13
Lampung,2024,656937.0,544537.0,1201473.0,2716497.0,4.155,,51386.84,29890.63,10.69,0.13
Maluku,2024,640897.0,636672.0,1277569.0,2949953.0,6.035,,32198.79,19124.76,16.05,0.13
Maluku Utara,2024,726547.0,720763.0,1447310.0,3200000.0,4.095000000000001,,71516.58,41118.36,6.32,0.13
Nusa Tenggara Barat,2024,730071.0,547068.0,1277139.0,2444067.0,3.0149999999999997,,32282.17,19379.2,12.91,0.13
Nusa Tenggara Timur,2024,541265.0,434589.0,975854.0,2186826.0,3.0949999999999998,,24302.96,13819.14,19.48,0.13
Papua,2024,765393.0,813501.0,1578894.0,4024270.0,6.145,,81009.15,48641.84,17.26,0.13
Papua Barat,2024,836642.0,806846.0,1643488.0,3393000.0,4.22,,131636.45,85513.35,21.66,0.13
Papua Barat Daya,2024,810863.0,831867.0,1642730.0,4024270.0,6.25,,59063.54,39662.97,18.13,0.13
Papua Pegunungan,2024,1157571.0,570904.0,1728475.0,4024270.0,1.25,,18105.38,9405.8,32.97,0.13
