38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2012,2012
ACEH,24294.69,23099.13
SUMATERA UTARA,31109.35,28036.88
SUMATERA BARAT,26286.16,23744.01
RIAU,94996.15,72396.34
JAMBI,35657.57,32417.72
SUMATERA SELATAN,32830.49,28577.89
BENGKULU,20298.91,18143.51
LAMPUNG,23910.84,21794.83
KEP. BANGKA BELITUNG,35288.32,31172.42
KEP. RIAU,80240.25,70930
DKI JAKARTA,138858.29,123962.38
JAWA BARAT,25272.29,23036
JAWA TENGAH,22865.43,20950.62
DI YOGYAKARTA,21744.88,20183.88
JAWA TIMUR,32770.38,29508.4
BANTEN,30202.44,27716.47
BALI,29443.59,26689.58
NUSA TENGGARA BARAT,14853.74,14276.69
NUSA TENGGARA TIMUR,11268.85,10030.98
KALIMANTAN BARAT,23427.05,21062.22
KALIMANTAN TENGAH,31515.97,27749.01
KALIMANTAN SELATAN,28197.08,25547.77
KALIMANTAN TIMUR,145998.48,124501.88
KALIMANTAN UTARA,-,-
SULAWESI UTARA,27373.41,25145.96
SULAWESI TENGAH,25421.64,22724.47
SULAWESI SELATAN,27670.91,24507.17
SULAWESI TENGGARA,27582.58,25489.79
GORONTALO,18207.86,16650.27
SULAWESI BARAT,18688.25,17169.06
MALUKU,15418.36,13129.11
MALUKU UTARA,17726.06,15691.01
PAPUA BARAT,58762.56,55047.84
PAPUA BARAT DAYA,-,-
PAPUA,37935.01,36280.03
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,35338.48,31519.93
