38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2024,2024
ACEH,43782.22,27684.18
SUMATERA UTARA,73574.62,40576.95
SUMATERA BARAT,57083.09,34169.75
RIAU,165349.71,84903.25
JAMBI,86774.89,47490.59
SUMATERA SELATAN,75131.73,42899.93
BENGKULU,49233.12,25780.58
LAMPUNG,51386.84,29890.63
KEP. BANGKA BELITUNG,70193.32,39700.09
KEP. RIAU,161424.32,96157.12
DKI JAKARTA,344382.53,201329.87
JAWA BARAT,56081.86,34802.22
JAWA TENGAH,47970.48,30533.89
DI YOGYAKARTA,51486.05,33140.14
JAWA TIMUR,75770.26,46295.19
BANTEN,70275.82,42773.59
BALI,67318.28,37940.16
NUSA TENGGARA BARAT,32282.17,19379.2
NUSA TENGGARA TIMUR,24302.96,13819.14
KALIMANTAN BARAT,52702.7,28544.5
KALIMANTAN TENGAH,79319.73,42240.24
KALIMANTAN SELATAN,67122.21,36685.06
KALIMANTAN TIMUR,212116.62,141088.49
KALIMANTAN UTARA,198676.76,98859.94
SULAWESI UTARA,69352.24,39816.39
SULAWESI TENGAH,120749.57,68000.75
SULAWESI SELATAN,73573.33,41860.47
SULAWESI TENGGARA,67839.91,40811.51
GORONTALO,44437.14,26838.33
SULAWESI BARAT,42717.73,24671.79
MALUKU,32198.79,19124.76
MALUKU UTARA,71516.58,41118.36
PAPUA BARAT,131636.45,85513.35
PAPUA BARAT DAYA,59063.54,39662.97
PAPUA,81009.15,48641.84
PAPUA SELATAN,61621.8,35163.97
PAPUA TENGAH,118773.53,71608.13
PAPUA PEGUNUNGAN,18105.38,9405.8
INDONESIA,78617.51,45881.95
