Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA BEKASI,-0.17,-0.06,-0.37,0.1,0.4,0.43,0.81,0.82,-0.38,-0.32,0.03,0.91,2.22
KOTA DEPOK,-0.71,-0.54,0.26,-0.2,0.65,0.36,0.95,0.49,-0.27,-0.2,0.23,0.84,1.87
KOTA TASIKMALAYA,-0.3,-0.2,0.3,0.29,0.21,0.72,0.52,0.37,-0.08,0.59,0.41,0.65,3.53
CILACAP,-0.26,-0.12,0.01,0.02,0.47,0.43,0.99,0.24,0.06,-0.23,0.2,0.8,2.63
PURWOKERTO,-0.13,-0.67,0.05,0.15,0.47,0.57,0.84,0.13,-0.02,0.02,0.16,0.93,2.52
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-0.36,-0.39,-0.02,0.21,0.45,0.56,0.88,0.6,0.28,-0.11,0.21,0.93,3.28
KOTA SURAKARTA,-0.2,-0.91,0.12,0.35,0.37,0.53,0.96,0.19,-0.45,0.26,0.32,0.99,2.56
KOTA SEMARANG,-0.48,-0.67,0.25,0.17,0.54,0.64,0.91,0.28,-0.18,-0.16,0.21,1.04,2.56
KOTA TEGAL,-0.1,-0.35,0.18,-0.1,0.74,0.89,0.93,0.38,-0.14,0.29,0.24,0.94,3.95
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.13,-0.4,0.15,0.38,0.36,0.35,0.63,0.33,0.04,0.01,0.13,0.96,3.09
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,-0.24,-0.54,0.15,0.17,0.39,0.2,0.94,0.31,0.29,-0.05,0.26,0.39,2.31
BANYUWANGI,0.08,-1.02,0.09,0.36,0.55,0.26,0.62,0.35,0.21,-0.25,0.08,0.8,2.15
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,-0.27,-0.56,0.34,0.05,0.43,0.38,0.86,0.02,0.13,0.15,0.3,0.77,2.62
KOTA KEDIRI,-0.19,-0.83,0.28,0.31,0.21,0.26,0.52,0.02,0.26,-0.04,0.11,0.79,1.71
KOTA MALANG,0.04,-0.57,0.34,0.49,0.45,0.38,0.57,0.28,0.21,0.03,0.16,0.89,3.32
KOTA PROBOLINGGO,-0.2,-0.42,0.02,0.36,0.46,0.44,0.7,0.02,0.23,0.02,0.05,0.41,2.11
KOTA MADIUN,-0.05,-0.51,0.27,0.39,0.34,0.32,0.83,0.08,0.15,0.1,0.21,0.59,2.75
KOTA SURABAYA,0.41,-0.42,0.36,0.41,0.39,0.54,0.38,0.48,0.26,-0.34,-0.02,0.94,3.43
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,-0.46,-0.43,0.3,0.73,0.69,0.62,0.95,0.67,-0.16,0.02,0.31,0.96,4.28
KOTA CILEGON,0.18,-1,0.58,0.33,0.78,0.4,0.69,0.74,0.3,-0.04,-0.07,0.99,3.94
KOTA SERANG,-0.24,-0.94,0.44,0.94,0.82,0.71,0.34,0.92,-0.02,-0.3,0.79,1.13,4.67
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-0.61,0.42,0.34,0.64,0.21,-0.18,0.87,0.2,0.27,-1.05,0.32,1.54,2.97
KOTA DENPASAR,-0.08,-0.14,0.14,0.4,0.39,0.14,0.93,0.34,-0.22,-0.56,0.4,0.95,2.7
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,0.45,-0.54,0.43,-0.2,0.34,0.15,0.47,0.45,0.55,0.13,0.05,0.94,3.25
KOTA BIMA,0.58,-0.8,-0.22,1.09,0.06,-0.79,1.52,0.16,0.02,0.92,0.66,0.87,4.11
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,0.51,-0.76,-0.09,0.43,0.06,0.05,1.33,0.53,0.2,-0.04,0.59,1.03,3.89
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.62,-1.36,0.25,0.18,0.5,0.67,1.02,-0.92,0.27,0.37,0.72,2.67,5.07
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,1.19,0.43,0.19,0.55,0.59,0.64,2.56,-1,0.16,-0.07,-0.14,0.96,6.17
KOTA SINGKAWANG,0.9,0.19,0.17,0.08,0.03,0.06,1.29,-0.01,0.41,-0.44,-0.03,1.32,4
SAMPIT,0.61,-0.7,0.27,0.52,0.44,0.91,0.89,0.42,0.04,0.34,0.51,1.34,5.72
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.79,-0.7,-0.25,0.08,1.05,0.96,0.94,-0.67,-0.34,0.55,0.85,0.88,4.2
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.45,-0.83,0.38,0.4,0.83,0.35,0.88,0.8,0.94,0.7,0.71,0.89,6.69
KOTA BANJARMASIN,0.16,0.06,-0.34,0.38,0.31,0.8,1.14,0.06,0.53,0.16,0.41,1.27,5.03
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.69,0.72,-0.71,-0.32,0.75,1.23,2.04,-0.23,-0.13,0.87,-0.54,0.76,6.26
KOTA SAMARINDA,0.59,-0.17,-0.24,0.24,0.13,0.8,1.03,0.11,-0.06,0.18,0.26,1.3,4.24
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.35,-0.5,-0.01,0.21,0.44,0.57,1.4,-0.15,-0.29,0.33,0.05,0.97,3.42
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,-0.71,-0.2,0.5,0.06,0.95,0.49,1.03,-0.53,0.62,1.49,-0.01,1.74,5.56
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.12,-1.84,-0.68,0.37,2.24,0.03,1.32,-0.75,0.12,0.78,0.47,1.96,4.17
BULUKUMBA,-0.11,-0.98,0.2,-0.06,0.28,0.63,0.92,0.42,0.57,-1.03,0.05,1.3,2.17
WATAMPONE,-1.27,-0.68,0.83,-0.39,0.14,0.54,0.49,0.11,0.56,-0.02,0.21,0.47,0.97
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,-0.06,-0.19,0.63,0.38,0.35,0.75,1.29,0.44,0.57,-0.03,0.26,0.7,5.18
KOTA PARE-PARE,-0.39,-0.61,-1.01,0.45,0.25,0.68,1.21,0.08,0.17,-0.28,0.3,0.74,1.58
KOTA PALOPO,-0.31,-0.17,0.36,0.43,0.07,0.77,0.75,0.03,0.47,-0.05,0.44,0.55,3.38
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,-0.96,-0.91,0.57,-0.03,0.64,0.28,0.75,0.64,0.61,-0.36,-0.1,0.51,1.64
KOTA BAU-BAU,0.32,-0.34,-0.39,0.72,0.19,1.13,1.21,-0.49,0.08,-1.02,1.27,1.22,3.95
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,-1.27,-0.61,0.75,0.15,0.9,0.71,0.74,0.58,0.17,0.05,0.18,1.89,4.3
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,0.14,-1.13,0.44,0.09,1.05,0.95,0.99,-0.2,0.22,0.13,0.62,1.7,5.07
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,2.37,1.03,0.44,0.33,1.06,-0.25,1.03,-1.77,0.38,1.02,-0.44,0.62,5.92
KOTA TUAL,0.99,3.2,0.15,1.31,1.59,-0.8,0.31,1.16,-1.41,-1.53,1.03,2.37,8.58
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,-0.55,-0.83,0.35,0.62,0.65,0.89,0.9,1.56,-1.58,0.91,0.02,1.53,4.52
MANOKWARI,-0.11,0.04,0.84,-0.69,0.04,1.14,1.03,-1.68,0.38,-0.43,0.22,2.02,2.77
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,0.17,0.26,0.27,0.33,0.19,1.9,2.01,0.78,0.21,-0.21,-0.74,0.88,6.17
KOTA JAYAPURA,-0.42,-0.04,0.71,-0.09,0.07,0.8,0.51,-0.61,0.35,-0.05,0.11,1.45,2.79
MERAUKE,1.73,-0.93,-1.03,0.11,0.18,-0.57,-0.65,-0.7,1.33,1.01,2.35,2.87,5.76
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,-0.24,-0.36,0.17,0.36,0.5,0.54,0.93,0.39,-0.05,-0.08,0.21,0.96,3.35
