Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2015,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-0.12,-0.97,-0.64,0.08,0.67,0.57,0.84,-0.63,-0.02,0.05,0.28,0.49,0.58
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.1,-0.9,-0.61,0.08,0.51,1.2,0.61,-0.22,-0.36,0.1,0.23,0.54,1.27
KOTA LHOKSEUMAWE,0.44,-2.07,-0.5,0.79,0.37,1.03,0.3,-0.15,0.22,0.36,0.34,1.31,2.44
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,0.61,-2.04,-0.32,0.58,1.57,1.36,1.52,-0.73,-1.85,-0.21,0.78,2.12,3.34
KOTA PEMATANG SIANTAR,-0.61,-1.38,0.17,0.56,1.11,1.44,0.06,-0.2,-0.28,0.43,0.28,1.78,3.36
KOTA MEDAN,-0.35,-1.36,-0.01,0.96,1.01,0.77,0.82,0.59,-0.7,-0.33,0.53,1.37,3.32
KOTA PADANGSIDIMPUAN,-0.3,-1.4,-0.01,0.5,0.62,0.48,1.1,-0.33,-0.82,-0.01,0.41,1.43,1.66
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,-1.98,-2.07,0.01,0.56,0.65,0.83,1.21,0.38,-0.49,-0.44,0.47,1.79,0.85
KOTA BUKITTINGGI,-0.39,-2.35,-0.17,0.77,0.82,0.45,1.66,0.55,-0.73,-0.4,0.83,1.8,2.79
TEMBILAHAN,-0.19,-0.95,-0.06,0.62,0.87,0.43,0.79,0.25,-0.38,-0.25,0.15,0.77,2.06
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,-0.69,-0.6,-0.03,0.81,0.41,0.75,0.57,0.45,-0.4,-0.19,0.41,1.24,2.71
KOTA DUMAI,-0.37,-0.68,0.13,0.38,0.98,0.59,0.78,0.55,-0.23,0.11,-0.02,0.39,2.63
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-0.53,-1.33,-0.68,0.09,0.34,0.62,1.6,0.23,-0.21,-0.32,0.07,1.43,1.29
KOTA JAMBI,-0.89,-1.5,-0.2,0.3,1.18,0.54,1.54,0.25,-1.26,0.07,0.47,0.91,1.37
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,-1.15,-0.48,0.31,0.48,0.56,0.39,1.05,0.27,-0.38,0.19,0.68,1.12,3.05
KOTA LUBUKLINGGAU,-1.12,-1.12,0.03,0.99,0.5,0.86,1.9,0.49,-0.16,-0.55,0.23,1.41,3.47
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,-0.82,-1.46,0.19,0.55,0.38,0.89,1.38,1.99,-0.22,-0.52,0.09,0.79,3.25
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,-0.63,-0.29,0.48,0.76,0.66,0.7,1.08,0.41,0.02,0.09,0.11,1.17,4.65
KOTA METRO,-0.17,-0.96,0.25,0.11,0.82,0.84,1.32,-0.33,0.15,0.03,-0.25,0.87,2.67
TANJUNG PANDAN,1.39,-1.94,-1.97,0.32,0.85,0.69,-0.48,2.29,1.2,-1.95,-0.63,1.23,0.88
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,0.95,-0.89,-0.46,0.87,-0.61,-0.14,3.18,0.58,0.84,-0.21,-1.02,1.56,4.66
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,-0.41,-0.51,0.25,0.46,0.77,0.87,1.8,0.7,-0.12,-0.67,0.52,0.99,4.73
KOTA TANJUNG PINANG,0.19,-0.43,-0.21,0.63,0.44,0.6,0.87,-0.34,0.68,-1.01,0.18,0.86,2.46
DKI JAKARTA,-0.41,0.24,0.19,0.27,0.34,0.35,0.97,0.51,0.01,-0.05,0.12,0.72,3.3
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,-1.22,0.14,0.75,0.71,0.38,0.49,0.49,0.58,0.04,-0.7,0.27,0.76,2.7
KOTA SUKABUMI,-0.41,0.09,0.11,-0.03,0.47,0.14,0.53,0.64,-0.21,0.05,0.28,0.51,2.2
KOTA BANDUNG,-0.05,-0.37,0.61,0.43,0.28,0.72,0.85,0.49,-0.01,-0.06,0.19,0.78,3.93
KOTA CIREBON,-0.13,-0.44,-0.39,0.4,0.68,0.31,0.92,-0.06,-0.27,0.1,0.17,0.27,1.56
