Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2019,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,0.15,-0.16,-0.06,0.45,0.64,-0.16,0.24,0.33,-0.29,0.05,0.28,0.54,2.04
BANYUWANGI,0.39,-0.08,0.17,0.15,0.46,0.36,0.39,0.08,-0.05,-0.09,0.22,0.29,2.32
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.32,-0.37,-0.07,0.37,0.69,0.1,-0.08,0.1,-0.13,0.3,0.41,0.38,2.04
KOTA KEDIRI,0.15,-0.08,0.16,0.36,0.05,0.08,0.44,-0.23,-0.27,0.32,0.38,0.47,1.83
KOTA MALANG,0.53,-0.42,0.36,0.44,0.35,-0.17,0.2,0.19,-0.03,-0.04,0.01,0.5,1.93
KOTA PROBOLINGGO,0.12,-0.14,-0.12,0.19,0.64,0.48,-0.05,0.27,-0.14,0.12,0.31,0.28,1.99
KOTA MADIUN,0.33,-0.1,0.14,0.41,0.61,0.22,0.17,0.04,-0.19,0.07,0.16,0.33,2.2
KOTA SURABAYA,0.33,-0.13,0.15,0.44,0.18,0.21,0.11,0.11,-0.02,-0.08,0.28,0.6,2.21
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.29,0.04,0.01,0.43,0.45,0.59,0.27,0.53,-0.03,0.18,0.37,0.13,3.31
KOTA CILEGON,0.52,-0.21,0.37,0.4,0.59,0.37,0.64,0.3,-0.38,-0.1,0.52,0.45,3.54
KOTA SERANG,0.5,-0.02,0.15,0.66,0.56,0.49,0.42,-0.03,-0.33,0.05,0.17,0.41,3.06
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,0.58,-0.34,0.35,0.39,0.28,0.02,1.03,0.62,-0.87,-0.14,0.22,0.27,2.42
KOTA DENPASAR,0.62,-0.43,0.24,0.26,0.22,0.04,0.6,0.4,-0.52,0.15,-0.01,0.81,2.37
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,0.44,-0.24,-0.17,0.33,0.73,0.63,-0.03,-0.35,-0.44,0.49,0.15,0.21,1.76
KOTA BIMA,0.76,-0.69,-0.4,0.67,1.18,0.16,-0.52,-0.56,-0.16,0.24,0.62,0.95,2.27
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,-0.16,0.48,-0.58,-0.04,0.42,0.61,-0.19,-0.04,-0.24,0.31,0.62,0.63,1.84
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.28,-0.66,-0.26,0.58,0.29,-0.31,0.26,-0.33,-0.53,0.08,0.27,0.83,0.5
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.55,0.53,-0.19,0.21,0.56,0.66,-0.1,-0.35,0.28,0.15,-0.07,0.4,2.64
KOTA SINGKAWANG,1.19,0.49,-0.6,0.23,0.91,0.07,0.13,-0.27,-0.13,-0.48,-0.43,-0.01,1.08
SAMPIT,0.34,-0.65,-0.01,0.66,1.01,0.16,-0.26,-0.15,-0.26,0.21,0.26,0.7,2.02
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.46,0.09,-0.03,0.32,0.55,0.12,-0.24,-0.37,0.05,0.64,0.46,0.63,2.7
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.75,-0.67,0.07,0.47,0.98,-0.1,0.18,-0.74,-0.61,0.78,0.97,0.05,2.15
