Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2009,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,-0.3,-0.04,0.7,-0.47,0.63,-0.02,0.8,1.45,1.82,-1.3,0.45,-0.23,3.5
KOTA LHOKSEUMAWE,-0.93,0.88,-0.5,-0.03,0.09,-0.43,0.97,1.06,2.28,-0.86,0.08,1.31,3.96
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,-0.19,0.75,-1.07,-0.47,0.35,0.11,0.97,0.49,1.96,-0.21,-0.36,-0.71,1.87
KOTA PEMATANG SIANTAR,0.28,0.52,-1,-0.15,0.55,-0.3,1.04,1.38,0.8,0.57,-0.44,-0.53,2.69
KOTA MEDAN,-0.21,-0.4,-0.24,-0.43,0.25,0.01,1.2,0.91,1.2,0.21,-0.57,0.74,1.59
KOTA PADANGSIDIMPUAN,0.1,0.22,-0.35,-1.24,-0.18,0.35,0.61,0.57,1.45,0.36,0.14,-0.17,2.72
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,-0.08,0.68,-0.56,-0.76,-0.39,-0.19,0.75,0.45,1.56,1.78,-0.53,-0.65,2.05
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.81,0.12,-0.45,-0.54,0.04,-0.04,0.31,0.57,0.81,0.43,-0.03,-0.1,1.94
KOTA DUMAI,0.21,-0.51,-0.44,-0.75,0.19,-0.21,1.39,0.24,1.86,-0.75,-0.23,-0.16,0.8
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,0.42,0.66,-0.81,-1.27,0.97,-0.41,1.06,0.35,0.95,1.23,-0.34,-0.31,1.85
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,-0.28,0.37,-0.15,-0.28,0.17,0.19,0.41,-0.14,1.29,0.15,0.07,0.03,2.88
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,-0.02,0.41,-0.31,-0.74,-0.16,0.16,1.61,0.54,1.87,0.59,-0.83,-0.23,4.18
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
