Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2007,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,2.19,1.58,0.78,0.13,-2.07,0.28,3.83,0.85,1.09,-1.57,-0.18,3.76,11
KOTA LHOKSEUMAWE,0.5,0.01,1.64,-0.87,-0.9,-0.41,0.62,1.36,3.28,-0.29,-0.98,0.23,4.18
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,1.48,0.01,1.91,-1.93,-0.17,1.85,0.6,0.05,0.49,0.84,0.58,1.26,7.13
KOTA PEMATANG SIANTAR,1.98,0.32,0.66,-0.98,-0.81,1.25,1.44,1.09,1.21,-0.15,1,1.12,8.37
KOTA MEDAN,1.01,0.52,0.09,-1.07,-0.19,0.75,0.82,0.22,0.91,0.67,0.86,1.67,6.42
KOTA PADANGSIDIMPUAN,1.31,0.06,0.54,-1.35,-1.49,0.49,1.16,0.65,1.91,0.56,0.87,1.07,5.87
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,1.27,1.14,1.22,-0.87,-1.32,0.22,0.71,0.36,0.98,0.62,0.87,1.53,6.9
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,2.72,0.79,0.13,-0.91,-0.58,-0.01,0.47,0.35,1.09,0.81,0.85,1.61,7.53
KOTA DUMAI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,1.49,0.97,0.68,-1.87,-0.01,0.68,0.9,0.55,1.1,-0.17,1.06,1.84,7.42
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.19,0.64,-0.2,-0.65,0.74,0.76,1.08,1.1,1.01,1.41,0.24,1.61,8.21
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.11,-0.02,1.26,-2,-0.54,1.7,1.53,0.13,1.42,1.41,-1.08,1.04,5
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.77,-0.3,0.24,-0.24,-0.19,0.56,1.45,0.94,0.98,1.46,0.05,0.7,6.58
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
