Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2005,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,7.02,-1.29,3.97,4.45,-0.29,-0.59,1.03,3.24,0.12,12.45,2.35,3.23,41.11
KOTA LHOKSEUMAWE,2.66,-0.15,2.33,-0.44,0.59,0.64,-2.76,2.25,1.08,8.58,2.38,-0.45,17.57
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,4.81,-3.01,1.68,-0.18,-0.2,0.96,2.36,1.13,1.57,9.21,3.02,-0.46,22.39
KOTA PEMATANG SIANTAR,4.26,-2.07,1.5,-0.07,-0.53,1.15,1.51,0.73,0.45,10.61,1.64,-0.54,19.67
KOTA MEDAN,2.6,-1.26,1.63,1.19,0.4,0.5,1.6,0.81,0.38,11.89,1.89,-0.25,22.91
KOTA PADANGSIDIMPUAN,2.34,-1.2,0.51,1.34,-1.24,0.92,0.96,1.07,1.17,9.07,2.75,-0.24,18.47
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,2.37,-0.01,4.33,-0.14,-0.85,-0.33,1.12,0.41,1.2,10.74,2.11,-1.62,20.47
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,1.52,-0.2,1.41,0.5,-0.75,0.39,1.42,1.15,0.32,8.73,2.47,-0.74,17.1
KOTA DUMAI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,2.49,-1.38,1.5,0.1,0.05,0.2,1.53,-0.27,0.15,10.47,1.74,-0.7,16.5
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,2.21,-0.18,2.28,0.31,-0.16,-0.18,0.98,-0.34,1.26,12.11,1.17,-0.54,19.92
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,3.62,-0.42,2.7,-0.16,-0.41,1.21,1.47,0.93,0.51,12.5,2.24,-0.85,25.22
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,1.58,0.44,1.99,0.37,0.32,0.34,0.66,-0.05,0.64,12.87,0.73,0.12,21.17
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,4.3,-2.72,1.85,0.05,0.4,1.02,0.39,1.36,0.82,7.23,1.76,0.04,17.44
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,1.64,-0.68,1.69,0.17,-0.23,0.45,0.64,0.86,0.02,7.95,1.95,-0.3,14.79
KOTA TANJUNG PINANG,-,-,-,-,-,-,-,-,-,-,-,-,-
DKI JAKARTA,0.87,0.32,1.79,0.39,0.56,0.59,0.48,0.61,0.66,7.93,0.98,0.06,16.08
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SUKABUMI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDUNG,1.2,-0.27,2.24,-0.16,0.3,1.04,0.59,0.43,0.7,8.22,3.37,0.63,19.58
KOTA CIREBON,1.4,-0.36,1.94,0.17,0.03,0.83,0.87,0.17,0.7,9.3,1.39,-0.42,16.82
KOTA BEKASI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DEPOK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TASIKMALAYA,2.15,0.59,2.86,-0.33,1.36,0.54,-0.33,-0.03,2.33,9.44,0.24,0.63,20.83
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,1.55,-0.18,1.63,-0.19,0.09,0.71,0.91,0.26,1.2,7.31,0.86,-0.27,14.54
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,1.1,0.16,0.93,-0.14,0.31,0.67,0.55,0.4,1.09,8.08,0.35,-0.19,13.88
KOTA SEMARANG,0.82,-0.11,2.53,0.14,0.2,0.58,1.02,0.46,1.18,8.35,0.76,-0.32,16.46
KOTA TEGAL,1.41,0.44,1.8,0.25,0.43,0.39,0.62,0.4,1.17,8.05,1.68,0.6,18.39
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,1.2,0.14,0.95,0.3,0.47,0.66,1.09,0.87,1.06,6.53,1.4,-0.45,14.98
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,1.62,-0.09,1.41,0.09,0.45,0.57,1.47,0.75,1.01,8.22,0.52,-0.07,16.86
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KEDIRI,1.69,-0.75,2.11,0.11,-0.02,0.56,1.02,0.23,0.45,11.35,0.14,-0.68,16.84
KOTA MALANG,0.95,-0.43,1.83,1.19,-0.12,0.18,1.18,0.26,1.01,7.77,1.06,0.06,15.74
KOTA PROBOLINGGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MADIUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURABAYA,0.92,-0.07,1.77,0.38,-0.2,0.7,0.87,0.54,0.5,7.71,0.69,-0.28,14.12
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA CILEGON,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SERANG,1.67,-0.17,2.65,0.03,0.14,1.32,0.83,0.49,0.36,6.88,1,0.04,16.11
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,1.09,-0.16,2,-0.2,0.09,-0.07,0.84,0.92,0.07,6.86,0.42,-0.9,11.31
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,1.85,-0.26,1.6,0.62,-0.27,0.6,1.37,0.08,-0.06,10.8,0.99,-0.4,17.72
KOTA BIMA,-,-,-,-,-,-,-,-,-,-,-,-,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,2.35,-0.25,2.54,-1.06,-0.69,0.59,0.86,-0.09,0.17,7.81,1.43,0.85,15.16
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,1.29,-0.41,1.55,0.71,-0.24,0.9,0.44,0.55,0.33,7.17,0.46,1.01,14.43
KOTA SINGKAWANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SAMPIT,1.09,-0.15,0.76,0.58,0.32,-1.89,1.23,0.72,0.5,6.78,1.52,0.05,11.9
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.46,0.05,1,0.08,-0.61,-0.38,0.72,0.06,0.8,6.83,1.7,0.99,12.12
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,0.62,-1.23,1.51,-0.12,0.2,0.11,1.11,0.76,0.75,8.05,1.53,-0.78,12.94
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.79,-0.11,2.17,0.39,0.73,0.48,0.38,0.54,0.86,6.38,1.7,0.9,17.28
KOTA SAMARINDA,0.99,0.85,1.4,0.44,0.95,0.5,-0.08,0.28,0.92,7.38,2.07,-0.01,16.64
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,1.99,0.54,1.26,0.67,-0.63,0.1,0.58,1.53,0.74,8.66,1.59,0.54,18.73
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
