Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
KOTA KEDIRI,0.27,0.22,0.04,0.05,0.44,0.71,0.68,1.73,-0.02,0.01,0.05,0.37,4.63
KOTA MALANG,0.27,0.18,0.01,0.27,0.05,0.54,0.48,1.04,0.52,0.22,0.23,0.7,4.6
KOTA PROBOLINGGO,0.52,0.46,-0.35,0.3,0.54,0.88,0.82,2.01,-0.35,0.19,0.24,0.49,5.88
KOTA MADIUN,0.1,0.36,0.22,0.24,-0.16,0.5,0.72,1.13,-0.15,-0.01,0.17,0.34,3.51
KOTA SURABAYA,0.39,0.25,0.09,0.12,0.17,0.53,0.62,1.26,-0.04,0.14,0.25,0.52,4.39
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.83,0.03,-0.13,0.21,0.34,0.52,0.53,1.09,0.24,0.42,-0.01,0.29,4.44
KOTA CILEGON,0.5,0.1,0.1,0.18,0.27,0.5,0.29,1.42,-0.02,0.06,-0.07,0.52,3.91
KOTA SERANG,0.94,0.1,-0.33,0.36,0.19,0.82,0.7,0.64,0.07,0.1,0.07,0.67,4.41
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,0.9,0.63,0.46,0.25,-0.05,0.43,0.72,0.19,-0.04,0.41,0.13,0.58,4.71
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,1.29,1.73,-0.51,-0.12,-0.71,0.81,0.72,0.62,0.22,-0.46,-0.01,0.46,4.1
KOTA BIMA,1.03,0.54,-0.45,0.6,0.33,0.04,0.67,1.16,-0.26,-0.55,-0.08,0.54,3.61
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,0.82,0.09,-0.41,1.2,0.4,1.92,1.72,0.17,-0.21,0.66,-0.88,0.86,6.49
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.54,0.21,0.38,-0.3,0.7,0.88,1.45,0.72,-1.11,-0.44,0.45,1.54,5.1
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.94,1.7,-0.44,0.39,0.93,0.13,1.43,1.33,-0.43,-1.55,0.96,1.08,6.62
KOTA SINGKAWANG,1.39,1,-0.43,0.68,-0.23,0.85,1.53,1.49,-2.18,-0.49,-0.01,0.62,4.21
SAMPIT,1.96,0.16,0.46,0.1,-0.48,0.65,0.41,0.25,-0.05,-0.05,0.23,0.98,4.69
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,2.53,-0.21,-0.06,-0.28,0.25,0.72,1.06,0.81,-0.33,-0.08,0.57,1.61,6.73
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,2.92,-0.31,-0.14,-0.01,-0.29,0.59,0.87,0.7,-0.2,-0.03,0.91,0.85,5.96
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.94,-0.09,0.25,0.53,0.04,0.25,1.48,1.84,-0.51,-0.36,-0.08,0.96,6.41
KOTA SAMARINDA,1.33,0.4,0.38,-0.25,-0.26,0.62,0.58,2.29,-0.56,-0.58,0.37,0.42,4.81
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,1.44,0.92,-0.21,-0.51,-0.23,0.8,1.48,1.39,-0.26,0.16,-0.26,1.14,5.99
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,-0.13,0.6,1.12,1.63,-0.84,0.5,0.85,2.16,-1.58,0.52,1.01,0.1,6.04
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,0.45,-0.04,0.15,0.16,0.61,0.95,1.86,2.81,-2,-0.3,-0.52,1.69,5.87
BULUKUMBA,-,-,-,-,-,-,-,-,-,-,-,-,-
WATAMPONE,0.77,1.36,0.25,0.18,-0.28,0.14,0.9,1.31,-0.77,-0.4,-0.15,0.3,3.65
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,1.26,0.35,0.38,0.36,-0.58,0.64,0.6,1.17,-0.12,-0.1,-0.1,0.63,4.57
KOTA PARE-PARE,0.39,0.21,0.15,0.13,-0.16,0.37,1.09,1.93,-0.87,0.07,-0.27,0.4,3.49
KOTA PALOPO,0.6,0.84,0.17,0.52,-0.42,0.76,1,1.14,-0.26,-0.47,-0.27,0.44,4.11
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.77,1.34,0.21,0.44,0.05,0.66,0.62,1.82,-0.92,-0.21,0.28,0.02,5.25
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,1.65,0.7,-0.57,1.33,-0.59,0.32,0.96,1.54,-1.18,0.11,0.41,0.54,5.31
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,0.37,0.31,-0.14,0.1,-0.26,0.47,1.35,1.01,-0.45,-0.21,0.28,0.43,3.28
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,1.62,1.31,1.33,0.79,0.06,2.39,1.7,0.19,-1.87,-2.44,0.63,0.94,6.73
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,-0.14,0.78,-0.11,0.85,-0.34,0.64,1.36,0.47,-1.11,-0.84,0.95,0.77,3.29
MANOKWARI,-0.31,-0.75,-0.18,1.01,0.55,2.05,1.19,0.45,-1.09,0.97,-0.96,1.89,4.88
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,-0.38,-0.38,0.09,1.62,0.57,1.51,1.2,1.43,-0.27,-0.43,-0.53,0.61,5.12
KOTA JAYAPURA,0.06,0.93,-1.44,0.7,-0.94,0.96,0.63,0.65,0.12,0.15,0.1,2.57,4.52
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,0.76,0.05,0.07,0.21,0.07,0.62,0.7,0.95,0.01,0.16,0.07,0.54,4.3
