Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2017,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,1.34,0.41,-0.06,-0.52,0.06,0.48,0.01,0.24,0.37,0.28,0.88,1.18,4.76
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.28,0.19,-0.15,-0.1,0.86,0.81,0.32,0.42,0.62,0.17,0.3,1.06,4.86
KOTA LHOKSEUMAWE,0.26,-0.79,-1.4,-0.68,0.9,0.9,0.34,1.09,0.16,0.1,0.31,1.69,2.87
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,0.58,-1.34,-0.7,0.25,0.39,0.38,-0.23,1.01,0.93,0.31,1.11,0.38,3.08
KOTA PEMATANG SIANTAR,0.72,-0.17,0.17,-0.17,-0.01,-0.07,0.26,0.83,0.55,0.15,0.32,0.46,3.1
KOTA MEDAN,0.38,-0.64,-0.2,-0.53,0.08,0.24,0.31,1.06,1.08,0.24,0.4,0.73,3.18
KOTA PADANGSIDIMPUAN,1.08,-0.07,-0.43,0.21,-0.09,1.09,-0.5,0.43,0.4,0.16,0.64,0.87,3.82
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.57,-0.13,-0.01,-0.31,-0.04,0.34,0.54,-0.36,0.13,0.19,0.48,0.72,2.11
KOTA BUKITTINGGI,0.22,-0.45,0.25,-0.18,-0.44,0.2,0.09,0.28,0.31,0.41,0.32,0.37,1.37
TEMBILAHAN,1.19,-0.14,0.01,0.02,0.69,0.32,0.21,0.8,-0.01,0.09,0.51,0.5,4.27
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,1.46,-0.6,0.38,0.28,0.12,0.15,0.58,0.2,0.3,0.33,0.33,0.48,4.07
KOTA DUMAI,1.58,1.12,-0.19,-0.21,0.11,0.9,0.05,0.14,0.05,0.08,0.62,0.53,4.85
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,0.82,-0.02,0.71,0.36,0.16,0.86,0.47,-0.19,-0.28,0.55,0.42,0.32,4.25
KOTA JAMBI,0.25,-1.4,0.31,0.59,0.31,0.46,0.3,-0.19,-0.34,0.05,0.83,1.52,2.68
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.53,0.09,-0.1,-0.08,0.64,0.86,0.13,-0.2,-0.09,0.08,0.35,0.62,2.85
KOTA LUBUKLINGGAU,0.85,0.3,-0.07,0.2,0.54,1,-0.2,0.23,-0.45,0.06,0.7,0.73,3.94
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.98,0.21,0.23,-0.3,0.56,0.58,0.35,0.19,-0.04,-0.12,0.17,0.7,3.56
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.84,0.58,-0.06,-0.21,0.89,0.54,-0.09,-0.42,0.25,0.11,0.21,0.47,3.14
KOTA METRO,0.72,0.28,-0.3,-0.17,0.86,0.48,-0.07,-0.13,0.1,0.23,0.08,0.23,2.32
TANJUNG PANDAN,1.71,-0.29,-1.49,0.93,0.9,1.83,-0.12,-0.7,-0.87,0.29,0.26,1.5,3.97
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,1.72,-1.11,0.38,1.02,-0.93,1.16,-0.32,-0.78,0.15,-0.07,0.12,1.33,2.66
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.67,0.09,-0.83,0.48,0.56,1.14,-0.12,0.01,0.53,0.72,0.11,0.72,4.13
KOTA TANJUNG PINANG,0.97,0.59,-0.64,-0.26,0.41,0.46,0.41,0.2,0.33,-0.02,0.04,0.84,3.37
DKI JAKARTA,0.99,0.33,0.05,-0.02,0.49,0.46,0.4,0.13,0.05,0.06,0.08,0.65,3.72
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,1.34,0.34,0.09,0.07,0.57,0.63,0.14,-0.36,0.59,0.26,0.41,0.43,4.59
KOTA SUKABUMI,0.81,0.38,0.23,0.37,0.49,1.02,-0.17,0.09,-0.02,0.08,0.19,0.58,4.1
KOTA BANDUNG,0.49,0.38,-0.02,0.1,0.47,0.99,-0.27,0.06,0.11,-0.03,0.39,0.73,3.46
KOTA CIREBON,0.84,0.43,-0.12,0.4,0.64,0.78,0.94,-0.28,-0.14,0.07,0.16,0.56,4.36
KOTA BEKASI,0.8,0.17,0.23,0.08,0.27,0.9,-0.14,-0.1,0.26,0.07,0.02,0.42,3.01
KOTA DEPOK,0.86,0.57,0.05,0.22,0.51,0.97,0.38,-0.22,0.01,-0.19,0.12,0.61,3.93
KOTA TASIKMALAYA,0.7,0.31,0.03,0.55,0.62,0.53,0.03,0.23,0.24,-0.08,0.13,0.51,3.88
CILACAP,1.6,0.69,-0.11,0.01,0.59,0.99,-0.44,-0.23,0.25,0.02,0.39,0.6,4.41
PURWOKERTO,1.05,0.56,-0.01,-0.04,0.66,0.98,0.19,-0.54,-0.06,0.09,0.39,0.57,3.91
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,1.36,0.93,-0.05,0.05,0.8,0.55,-0.33,-0.16,0.1,-0.09,0.35,0.6,4.17
KOTA SURAKARTA,1.16,0.48,-0.15,0.12,0.33,0.87,0.1,-1.02,-0.06,0.01,0.15,1.1,3.1
KOTA SEMARANG,1.11,0.44,-0.14,0.22,0.59,0.37,0.31,-0.48,0.34,-0.15,0.3,0.68,3.64
KOTA TEGAL,0.98,0.32,-0.11,0.19,0.74,0.9,0.15,-0.3,0.12,0.21,0.28,0.49,4.03
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,1.24,0.36,-0.06,0.28,0.33,0.61,0.43,-0.45,0.13,0.16,0.2,0.9,4.2
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,1.46,0.22,-0.15,0.28,0.36,0.44,0.07,-0.09,0.06,-0.17,0.34,0.66,3.52
BANYUWANGI,0.66,0.35,-0.2,0.48,0.33,0.47,0.15,-0.11,-0.02,0.09,0.33,0.6,3.17
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.67,0.65,-0.15,0.14,0.66,0.4,0.17,-0.25,0.03,0.03,0.57,0.43,3.4
KOTA KEDIRI,0.94,0.7,-0.13,0.38,0.5,0.44,-0.11,-0.17,0.31,-0.12,0.23,0.43,3.44
KOTA MALANG,1.45,0.24,-0.09,0.35,0.82,0.37,0.3,-0.57,0.05,0.02,0.27,0.49,3.75
KOTA PROBOLINGGO,1.15,0.13,-0.29,0.44,0.37,0.7,-0.07,-0.19,0.11,-0.17,0.27,0.69,3.18
KOTA MADIUN,1.39,0.82,-0.06,0.45,0.58,0.68,0.18,-0.16,0.12,0.14,0.1,0.47,4.78
KOTA SURABAYA,1.76,0.16,-0.06,0.23,0.39,0.52,0.15,-0.19,0.26,0.05,0.18,0.85,4.37
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.65,0.48,-0.03,-0.04,0.5,0.69,-0.13,-0.07,0.32,-0.06,0.36,0.8,3.5
KOTA CILEGON,0.97,0.38,0.5,0.25,0.58,0.76,0.55,0.21,0.12,0.01,0.34,0.46,5.24
KOTA SERANG,0.78,0.5,0.29,0.41,0.62,0.84,0.6,0.12,0.04,0.15,0.29,0.42,5.17
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,1.79,0.79,-0.2,-1.08,0.37,-0.64,0.1,0.49,-0.78,-0.38,1.8,1.12,3.38
KOTA DENPASAR,1.39,0.42,0.02,0.07,0.11,-0.01,0.12,0.26,-0.33,-0.05,0.19,1.07,3.31
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,1.51,0.4,-0.62,-0.06,0.49,0.47,0.5,-0.38,0.2,0.08,0.26,0.7,3.59
KOTA BIMA,1.4,-0.4,-0.91,0.39,0.64,0.98,0.05,0.25,-0.57,0.02,0.81,1.38,4.08
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,0.4,-0.05,-0.23,-0.17,0.38,0.25,0.3,0.12,0.59,-0.39,0.1,0.38,1.7
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.79,0.18,-0.87,0.29,-0.06,0.55,-0.22,-0.61,0.33,-0.5,0.82,1.35,2.05
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,1.82,0.36,-0.26,0.28,0.3,1.28,-0.24,0.14,0.24,-0.34,-0.25,0.5,3.86
KOTA SINGKAWANG,1.76,0.19,-0.13,0.23,0.34,1.03,0.14,0.18,0.71,0.17,-0.36,0.86,5.23
SAMPIT,0.91,0.27,0.92,0.12,0.02,0.79,0.57,-1.09,-0.28,0.13,0.29,0.61,3.29
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,0.85,0.27,0.39,0.21,0.53,1.02,-0.39,0.12,-0.24,-0.46,0.11,0.67,3.11
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,0.77,0.32,0.21,-0.65,-0.19,1.33,0.28,-0.29,-0.62,-0.74,0.42,1.58,2.4
KOTA BANJARMASIN,0.94,0.2,0.01,0.33,0.33,0.93,0.48,0.03,0.11,-0.4,0.05,0.75,3.82
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.08,-0.26,-0.03,-0.08,0.32,1.38,-0.52,-0.62,0.2,-0.22,-0.2,1.41,2.45
KOTA SAMARINDA,1.02,0.13,0.28,0.29,0.38,0.68,0.6,-0.03,-0.17,-0.17,-0.12,0.73,3.69
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.69,0.04,0.4,0.27,0.51,1.89,-0.27,-0.8,-0.24,-0.4,-0.18,0.87,2.77
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,1.1,1.16,0.23,-0.02,-1.13,1.15,0.86,-0.21,-1.04,-0.06,-0.09,0.51,2.44
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,1.32,0.29,0.25,0.46,0.81,0.76,0.05,0.05,-0.13,-1.31,-0.14,1.87,4.33
BULUKUMBA,0.99,0.78,-0.16,0.63,0.02,1.23,0.75,0.39,-0.06,-0.49,0.19,0.3,4.66
WATAMPONE,1.52,0.79,-0.21,0.58,0.23,1.83,0.37,0.3,-0.14,-0.51,0.04,0.63,5.54
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,1.14,0.79,-0.16,0.33,-0.32,0.84,1.05,-0.34,-0.08,-0.28,0.33,1.09,4.48
KOTA PARE-PARE,0.93,0.14,-0.45,0.05,0.06,1.33,0.91,-0.33,0.1,-0.6,0.16,1.11,3.43
