Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2018,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-0.14,-0.25,0.21,-0.52,0.57,0.2,0.71,0.23,-0.41,-0.17,0.08,0.48,0.96
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,-0.33,-0.21,-0.08,-0.1,0.72,0.84,0.08,0.5,-0.75,0.32,0.92,0.02,1.93
KOTA LHOKSEUMAWE,0.32,-0.53,-0.25,-0.45,0.69,1.1,0.34,-0.17,-0.85,0.5,0.29,1.05,2.05
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,1.28,-0.5,0.79,-0.64,-0.07,0.29,0.62,-0.37,0.39,1.24,-0.28,0.1,2.86
KOTA PEMATANG SIANTAR,0.54,-0.58,0.17,0.56,-0.01,0.1,0.35,0.07,-0.24,0.8,-0.01,0.38,2.15
KOTA MEDAN,0.71,-0.96,0.61,-0.01,-0.86,0.01,0.49,0.01,0.09,1.44,-0.64,0.12,1
KOTA PADANGSIDIMPUAN,0.28,-0.58,0.33,0.76,-0.55,0.38,0.53,0.01,0.04,0.11,0.5,0.41,2.22
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.43,-0.09,0.31,0.01,0.46,0.39,0.62,-0.4,-0.35,0.8,0.19,0.16,2.55
KOTA BUKITTINGGI,0.75,-0.22,0.28,0.12,-0.39,0.2,0.09,-0.13,0.1,0.92,0.83,0.41,2.99
TEMBILAHAN,0.7,-0.37,1.38,0.17,0.23,0.11,0.22,-0.53,-0.75,-0.04,0.8,0.7,2.64
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.59,-0.27,0.56,0.2,-0.02,0.01,0.39,0.19,-0.21,0.46,0.42,0.18,2.54
KOTA DUMAI,0.36,-0.24,0.05,0.14,0.16,0.65,-0.1,-0.34,-0.26,0.5,0.7,0.22,1.85
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,0.25,-0.13,0.32,0.18,0.15,0.31,0.12,0.03,0.01,0.51,0.53,0.16,2.46
KOTA JAMBI,0.91,-0.83,0.63,0.21,-0.11,1.41,-0.76,0.08,-0.53,0.88,0.15,0.98,3.02
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.6,-0.06,0.39,0.29,0.15,0.65,-0.01,-0.17,-0.4,0.14,0.21,0.96,2.78
KOTA LUBUKLINGGAU,0.88,-0.02,0.3,0.29,0.07,0.19,0.28,0.07,-0.29,0.03,0.25,0.34,2.42
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,0.99,-0.3,0.37,0.26,0.32,0.81,0.87,-1.8,0.59,-0.74,0.2,0.79,2.35
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,1.42,0.06,0.11,-0.01,-0.05,0.98,-0.04,0.05,-0.2,0.02,0.25,0.31,2.92
KOTA METRO,0.48,0.19,0.17,-0.12,-0.33,0.52,-0.05,0.2,-0.19,0.22,0.27,0.27,1.64
TANJUNG PANDAN,0.44,-0.29,-0.05,-0.27,0.32,1.28,0.85,0.5,-1.12,0.6,-0.38,0.84,2.72
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,1.27,-0.83,0.28,1.01,-0.99,1.82,0.34,-1.03,0.05,-0.34,-0.01,1.88,3.45
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.99,-0.06,0.27,-0.32,0.1,1.29,0.24,-0.66,-0.09,0.13,0.51,1.2,3.65
KOTA TANJUNG PINANG,0.18,0.15,-0.18,-0.13,0.51,0.24,0.45,0.23,-0.13,0.29,-0.11,0.85,2.36
DKI JAKARTA,0.43,0.37,0.09,0.06,0.45,0.48,0.26,0.03,-0.13,0.28,0.3,0.6,3.27
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.67,0.35,0.2,0.19,0.04,0.65,0.48,-0.1,-0.26,0.24,0.39,0.78,3.69
KOTA SUKABUMI,0.79,0.21,0.13,0.03,0.19,0.45,0.54,-0.1,-0.3,0.12,0.32,0.52,2.95
KOTA BANDUNG,0.83,0.22,0.21,0.27,0.22,0.48,0.17,-0.02,-0.24,0.5,0.36,0.71,3.76
KOTA CIREBON,1.01,0.6,-0.29,-0.08,0.16,0.69,0.21,-0.32,-0.27,0.12,0.37,0.58,2.8
KOTA BEKASI,0.94,0.59,0.66,-0.36,0.55,0.17,0.86,-0.15,-0.07,0.16,0.21,0.59,4.23
KOTA DEPOK,0.68,0.29,0.14,-0.15,0.13,0.69,0.03,0.42,-0.14,0.33,0.2,0.22,2.86
KOTA TASIKMALAYA,1,0.21,0.1,-0.1,0.42,0.59,0.14,-0.37,-0.27,0.05,0.26,0.25,2.3
CILACAP,1.33,0.38,-0.11,-0.11,-0.08,0.76,0.09,-0.12,-0.13,0.41,0.31,0.45,3.21
PURWOKERTO,1.29,0.05,-0.44,0.06,0.01,0.97,0.08,-0.17,-0.08,0.35,0.32,0.53,2.98
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,1,0.57,0.06,0.01,0.14,0.32,0.11,-0.11,-0.07,0.29,0.29,0.48,3.11
KOTA SURAKARTA,0.55,0.49,0.18,-0.02,0.04,0.85,0.09,-0.58,-0.19,0.24,0.22,0.57,2.45
KOTA SEMARANG,0.81,0.37,0.05,0.02,-0.09,0.64,0.11,-0.11,0.09,0.28,0.21,0.36,2.76
KOTA TEGAL,1.15,0.05,-0.27,-0.01,0.24,0.97,0.06,-0.22,-0.01,0.35,0.26,0.47,3.08
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.55,-0.05,0.15,0.1,0.08,0.46,0.56,-0.26,-0.11,0.13,0.46,0.57,2.66
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,0.56,0.18,-0.08,0.4,0.25,0.74,-0.08,-0.01,-0.05,0.24,0.27,0.49,2.95
BANYUWANGI,0.7,0.17,0.12,0.04,0.13,0.5,0.03,-0.05,-0.49,0.09,0.26,0.55,2.04
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.64,0.08,0.01,-0.02,0.3,0.84,0.06,-0.19,0.02,0.3,0.24,0.51,2.82
KOTA KEDIRI,0.14,0.26,0.1,0.14,-0.17,0.43,0.09,-0.1,0.2,0.16,0.4,0.29,1.97
KOTA MALANG,0.69,0.17,0.12,0.14,0.29,0.25,0.21,0.05,-0.31,0.3,0.37,0.65,2.98
KOTA PROBOLINGGO,0.29,0.31,-0.13,0.21,0.09,0.73,0.06,-0.35,-0.32,0.2,0.35,0.72,2.18
KOTA MADIUN,0.62,0.25,0.02,0.22,0.12,0.73,0.17,-0.08,-0.12,0.18,0.34,0.25,2.71
