Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2014,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,2.67,-1.28,-0.73,-0.06,0.42,0.2,2.41,0.68,0.58,0.82,1.08,1.17,8.2
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,1.85,-0.45,-0.52,-0.15,0.86,0.4,1.23,0.06,0.47,0.38,1.28,2.19,7.83
KOTA LHOKSEUMAWE,2.42,-0.88,-0.77,-0.01,1.16,0.17,1.34,0.27,0.5,0.53,1.6,1.95,8.53
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,3.24,-2.43,-0.57,0.23,0.96,0.2,1.62,-0.3,0.37,0.69,2.45,1.72,8.36
KOTA PEMATANG SIANTAR,1.12,-0.76,0.59,-0.66,1.61,-0.09,0.29,0.13,0.57,0.28,1.95,2.69,7.94
KOTA MEDAN,1,-0.59,-0.34,0.34,0.3,0.6,0.8,0.67,0.23,0.71,1.75,2.53,8.24
KOTA PADANGSIDIMPUAN,1.34,-0.99,-0.05,0.08,-0.14,0.55,0.95,0.66,0.14,0.36,1.98,2.29,7.38
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,1.89,-0.64,-0.39,-0.09,0.05,0.31,0.81,1.83,0.33,1.18,3.44,2.66,11.9
KOTA BUKITTINGGI,1.95,-0.26,-0.2,-0.25,0.47,0.09,0.87,0.91,0.95,0.49,2.03,1.84,9.24
TEMBILAHAN,2.58,0.46,-0.09,0.77,-0.23,0.81,2.22,-0.05,-0.04,0.55,0.99,1.71,10.06
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.69,0.04,0.15,-0.05,0.2,0.54,0.86,1.04,0.43,0.56,2.1,1.69,8.53
KOTA DUMAI,0.43,0.3,0.24,0.4,0.14,0.66,0.83,0.65,0.64,0.42,1.86,1.66,8.53
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,1.11,0.51,-0.35,-0.28,-0.51,0.8,1.21,0.44,0.6,0.8,2.29,2.07,8.99
KOTA JAMBI,1.56,-0.78,0.22,0.14,0.23,0.14,1.33,0.16,0.13,0.51,2.18,2.61,8.72
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,1.07,-0.24,-0.2,-0.14,-0.03,0.54,0.89,0.1,0.47,0.8,2.1,2.75,8.38
KOTA LUBUKLINGGAU,1.36,-0.41,-0.13,-0.59,0.37,0.47,1.72,0.06,0.44,0.64,2.07,3.03,9.34
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.03,-0.24,0.04,-0.04,-0.59,0.38,2.92,0.67,0.73,0.39,2.11,3.03,10.85
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.74,0.02,-0.15,-0.05,0.04,0.78,1.1,0.78,0.22,0.83,1.04,2.72,8.36
KOTA METRO,2.79,0.09,-1.02,-0.82,0.34,0.45,0.95,0.12,-0.29,0.18,1,2.59,6.5
TANJUNG PANDAN,3.6,0.44,-1.03,-0.65,0.56,0.83,2.24,1.98,-0.12,-0.12,1.59,3.21,13.14
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,3.79,-2.11,-1.76,1.57,-1.27,0.24,1.85,0.18,1.29,-0.68,1.1,2.58,6.81
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.73,0.16,0.1,-0.53,0.07,0.27,1.15,0.5,0.48,0.29,1.49,2.69,7.61
KOTA TANJUNG PINANG,1.26,0.87,0.15,-0.87,-0.62,0.12,1.59,0.53,0.06,0.66,0.77,2.79,7.49
DKI JAKARTA,1.05,0.5,0.19,0.04,0.05,0.41,1.17,0.49,0.16,0.4,1.43,2.74,8.95
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.74,0.35,0.28,-0.43,0.11,0.46,0.69,0.34,0.36,0.4,1.49,1.86,6.83
KOTA SUKABUMI,1.07,0.62,0.24,-0.09,0.45,0.48,0.48,0.25,0.31,0.31,1.56,2.43,8.38
KOTA BANDUNG,1.09,0.39,0.11,0.05,0.19,0.2,0.74,0.41,0.57,0.14,1.27,2.34,7.76
KOTA CIREBON,0.68,0.37,0.42,0.26,0.02,0.33,0.53,0.91,0.39,0.18,1,1.78,7.08
KOTA BEKASI,1.15,0.43,0.32,-0.8,-0.14,0.47,1.05,0.51,0.12,0.36,1.99,1.99,7.68
KOTA DEPOK,0.77,0.54,-0.04,-0.39,0.16,0.43,0.99,0.34,0.04,0.5,1.81,2.13,7.49
KOTA TASIKMALAYA,0.91,0.71,0.25,0.03,0.29,0.43,0.86,0.66,-0.15,0.33,1.08,2.44,8.09
CILACAP,0.79,0.57,-0.16,-0.09,0.33,1.07,1.33,0.52,0.07,0.19,1.52,1.77,8.19
PURWOKERTO,0.82,0.51,0.29,-0.08,0.08,0.48,0.82,0.43,-0.24,0.41,1.38,2,7.09
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,1.67,0.11,0.42,-0.36,0.36,0.52,0.81,0.58,-0.03,0.43,1.31,2.47,8.59
KOTA SURAKARTA,1.22,0.28,0.27,-0.15,0.25,0.51,0.59,0.46,0.11,0.46,1.47,2.28,8.01
KOTA SEMARANG,0.9,0.24,0.27,-0.04,0.25,0.85,0.62,0.41,0.41,0.55,1.35,2.4,8.53
KOTA TEGAL,0.75,0.79,0.2,-0.37,0.01,0.6,0.79,0.57,0.18,0.95,1.05,1.66,7.4
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,1.05,0.07,0.14,0.07,0.05,0.43,0.85,0.09,0.49,0.28,1.13,1.76,6.59
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,1.24,0.05,0.03,0.01,0.43,0.12,0.41,-0.06,0.41,0.12,1.92,2.64,7.52
BANYUWANGI,0.59,1.02,0.2,-0.25,0.05,0.37,0.24,-0.12,0.11,0.51,1.22,2.5,6.59
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,0.78,0.76,0.08,-0.59,0.08,0.7,0.89,0.31,0.25,0.65,1.28,2.6,8.04
KOTA KEDIRI,1.28,0.05,0.02,-0.23,0.02,0.52,0.73,0.06,0.34,0.32,1.66,2.52,7.49
KOTA MALANG,0.76,0.31,0.43,-0.13,0.37,0.31,0.49,0.47,0.26,0.4,1.51,2.72,8.14
KOTA PROBOLINGGO,0.95,0.02,0.16,-0.14,0.12,0.47,0.99,0.07,0.04,0.46,1.31,2.15,6.79
KOTA MADIUN,0.85,0.6,0.25,-0.33,0.17,0.43,0.61,0.35,0.07,0.46,1.51,2.2,7.4
KOTA SURABAYA,1.18,0.23,0.23,0.17,0.17,0.37,0.42,0.5,0.41,0.49,1.27,2.23,7.9
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,1.33,0.86,-0.18,0.3,0.09,0.25,0.75,0.89,0.52,1.23,1.32,2.39,10.03
KOTA CILEGON,1.25,0.39,0.06,0.12,0.04,0.75,1.02,0.69,0.33,0.88,1.38,2.54,9.93
KOTA SERANG,1.22,0.82,0.41,-0.34,0.42,0.66,0.84,1.16,0.43,0.37,1.68,3.07,11.27
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,0.83,0.37,0.17,0.16,1.36,-0.61,0.39,0.77,0.92,0.66,2.08,2.8,10.32
KOTA DENPASAR,1.26,0.37,0.32,0.13,0.31,-0.2,0.49,0.66,0.21,0.63,1.62,1.99,8.03
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,1.48,0.3,-0.39,-0.49,-0.04,0.45,0.98,0.73,0.26,0.3,1.14,2.27,7.18
KOTA BIMA,1.27,0.28,-0.36,0.12,1.11,1.49,1.72,0.42,0.49,-0.47,0.34,1.93,7.37
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,-0.08,1.61,-0.46,0.99,0.58,-0.72,0.13,0.35,-0.55,-0.51,0.41,2.22,4
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,0.5,1.46,-0.1,-0.18,0.01,0.81,1.08,-0.87,-0.32,0.24,1.88,3.58,8.32
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.04,2.73,-0.78,0.08,0.72,0.9,1.49,-0.03,0.13,-0.42,1.41,2.82,9.38
KOTA SINGKAWANG,1.71,1.75,-0.34,-0.46,-0.54,1.03,1.2,1.43,0.62,-0.48,1.07,2.33,9.66
SAMPIT,1.19,0.75,-0.3,0.04,0.38,1.03,0.51,-0.06,0.37,0.41,1.33,2.01,7.9
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,1.21,-0.57,0.12,0.62,0.86,0.91,0.22,-0.36,0.51,0.33,0.92,1.69,6.63
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,2.35,-0.18,-0.21,0.37,0.66,0.98,0.4,-0.12,0.42,0.2,1.26,2.38,8.8
KOTA BANJARMASIN,0.64,-0.28,-0.36,0.55,1.07,0.79,0.69,0.02,0.18,0.56,1.47,1.63,7.16
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.32,-0.18,-0.1,0.79,0.32,0.49,0.62,0.59,0.51,-0.48,1.03,2.31,7.43
KOTA SAMARINDA,1.37,-0.32,0.17,0.01,0.15,0.24,0.66,-0.01,0.04,0.6,1.15,2.52,6.74
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,0.43,0.59,0.99,0.19,0.25,0.54,2.51,0.56,0.71,0.37,1.7,2.49,11.91
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,1.06,-0.23,0.31,0.3,-0.15,0.67,0.85,-0.26,-0.03,1.42,1.56,3.83,9.67
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,1.03,-0.72,0.6,0.21,0.81,0.94,1.53,0.14,-0.36,1.31,0.21,2.86,8.85
BULUKUMBA,1.13,0.97,0.03,0.59,-0.14,0.49,1.43,0.28,-0.28,0.29,1.6,2.73,9.45
WATAMPONE,-0.15,0.99,0.42,0.58,0.33,0.69,1.22,0.06,-0.18,0.13,1.43,2.43,8.22
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,1.2,0.25,0.02,0.33,-0.28,0.25,1.11,0.5,0.39,0.43,1.36,2.69,8.51
KOTA PARE-PARE,0.55,0.15,-0.07,0.24,0.33,0.39,1.02,0.37,0.04,0.43,1.87,3.75,9.38
KOTA PALOPO,1.77,0.13,-0.15,0.54,0.37,0.41,1.94,-0.36,-0.6,0.38,1.46,2.78,8.95
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,0.31,-0.97,-0.1,0.08,0.25,0.94,1.82,-0.11,-0.13,0.18,1.67,3.27,7.4
KOTA BAU-BAU,2.18,-1.43,-0.36,0.71,1.4,0.49,1.57,1.5,-0.77,0.66,1.62,3.34,11.37
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,0.36,-0.98,0.31,0.89,-0.34,0.45,0.77,-0.52,0.03,0.36,0.63,4.12,6.14
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,0.41,0.27,-0.11,0.1,0.49,0.66,0.84,0.49,0.71,0.06,1.29,2.45,7.88
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,0.81,0.85,0.64,0.92,0.4,0.18,0.14,0.12,-0.26,0.15,0.82,1.85,6.81
KOTA TUAL,1.1,1.46,-2.43,0.15,0.52,0.06,2.84,1.76,-0.89,2.18,2.86,1.43,11.48
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,0.45,-0.69,0.53,0.7,-0.11,1.29,2.55,-1.02,0.87,0.96,0.41,3.11,9.34
MANOKWARI,-0.07,0.29,-0.35,-0.09,0.69,0.36,0.91,1.82,-0.22,0.41,0.07,1.76,5.7
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,-0.17,0.63,-0.02,0.39,0.6,-0.26,2,1.92,0.85,-1.08,0.09,1.74,6.83
KOTA JAYAPURA,1.7,-0.26,0.68,-1.79,1.01,-0.44,0.36,-0.1,0.46,0.71,1.24,4.26,7.98
MERAUKE,2.16,-0.76,1.15,-0.05,0.5,0.09,0.99,0.58,1.08,0.25,1.24,4.53,12.31
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,1.07,0.26,0.08,-0.02,0.16,0.43,0.93,0.47,0.27,0.47,1.5,2.46,8.36
