Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2013,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,1.22,0.3,-0.12,0.29,-0.19,1.75,1.8,1.04,-0.6,0.17,-0.13,0.71,6.39
KOTA LHOKSEUMAWE,1.75,1.78,0.46,0.09,0.88,0.7,1.87,0.26,-0.95,0.64,0.65,-0.12,8.27
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,3.78,0.12,-0.18,0.74,-0.2,1.96,1.71,0.78,-0.99,1.25,0.03,0.75,10.08
KOTA PEMATANG SIANTAR,2.01,1.16,0.3,0.31,0.34,1.22,2.52,0.37,0.73,0.47,1.39,0.61,12.02
KOTA MEDAN,1.21,0.8,0.42,0.74,0.34,1.28,2.74,0.5,0.12,1,0.61,-0.07,10.09
KOTA PADANGSIDIMPUAN,1.29,0.3,-0.5,0.81,-0.44,0.86,3.7,0.97,-0.67,0.78,0.99,-0.44,7.82
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,1.34,0.63,0.34,0.56,0.64,1.4,2.75,0.91,0.05,0.68,0.39,0.7,10.87
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,2,0.56,0.04,0.34,-0.01,0.97,1.96,0.8,0.24,0.8,0.45,0.38,8.83
KOTA DUMAI,1.28,0.41,-0.01,0.17,0.4,1.39,1.91,0.61,0.32,1.17,0.45,0.19,8.6
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,1.46,0.52,0.1,-0.08,0.56,1.33,3.25,1.2,-0.92,0.87,-0.22,0.4,8.74
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.64,0.71,0.85,0.04,-0.41,1.18,2.92,0.58,-0.44,0.83,-0.05,0.04,7.04
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.17,0.69,0.72,0.25,-0.18,1.72,3.4,0.82,0.33,0.31,-0.02,0.35,9.94
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,1,0.73,0.97,-0.48,-0.4,0.79,2.75,1.27,0.23,0.49,-0.29,0.27,7.56
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,1.25,1.19,1.7,0.66,-0.47,1.11,3.25,0.15,-0.89,0.14,-0.88,1.25,8.71
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.94,0.54,-0.27,0.18,0.3,0.72,2.16,0.9,0.53,0.27,0.62,0.66,7.81
KOTA TANJUNG PINANG,1.89,0.82,-0.87,-0.01,0.27,0.71,3.68,1.1,1.7,-0.29,0.1,0.62,10.09
DKI JAKARTA,0.88,0.65,0.42,-0.24,-0.07,0.93,3.16,0.95,0.21,-0.03,0.14,0.78,8
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,0.58,0.57,1.5,-0.12,0.01,1.6,4.46,0.41,-0.71,0.13,-0.42,0.32,8.55
KOTA SUKABUMI,1.09,0.93,0.24,-0.24,-0.18,1.49,3.11,0.83,0.04,0.2,-0.17,0.46,8.03
KOTA BANDUNG,0.64,1.03,0.63,-0.21,0.34,1.29,3.1,1.38,-0.49,-0.06,-0.24,0.33,7.97
KOTA CIREBON,0.6,0.58,1.7,-0.58,-0.23,1.4,3.24,1.42,-0.56,-0.12,0.05,0.17,7.86
KOTA BEKASI,1.49,0.67,0.49,-0.04,0.48,1.48,4.06,1.73,-1.2,-0.15,-0.12,0.3,9.46
KOTA DEPOK,1.29,0.72,1.05,-0.05,-0.13,1.79,4.58,1.05,-0.57,0.12,0.1,0.6,10.97
KOTA TASIKMALAYA,1.15,1,0.24,-0.43,-0.01,0.85,2.84,0.89,-0.04,0.23,-0.12,0.11,6.89
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,1.63,0.4,0.44,-0.17,0.06,1.48,2.84,1.08,-0.71,0.88,0.04,0.29,8.5
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,1.33,1.03,1.43,-0.26,-0.63,1.16,3.91,0.45,-1.35,0.4,0.3,0.35,8.32
KOTA SEMARANG,0.99,0.9,0.95,-0.43,-0.17,0.86,3.5,1.25,-0.61,0.12,0.42,0.21,8.19
KOTA TEGAL,0.77,0.23,0.11,-0.04,-0.33,0.79,2.38,1.98,-0.15,-0.2,-0.15,0.28,5.8
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,0.96,0.93,0.79,-0.3,-0.29,0.84,2.58,0.87,-0.24,0.61,0.2,0.17,7.32
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,1.17,0.95,0.66,-0.34,-0.68,0.78,3.09,1.08,-0.24,-0.12,-0.23,0.92,7.21
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,1.54,1,0.69,-0.94,-0.46,0.88,3.84,0.96,-1.44,0.54,-0.38,0.31,6.62
KOTA KEDIRI,1.05,0.94,0.5,-0.09,-0.2,0.89,3.26,1.06,-0.28,-0.1,0.42,0.36,8.05
KOTA MALANG,0.94,0.88,0.93,-0.21,-0.35,0.91,3.49,0.77,-0.57,0.16,0.23,0.53,7.92
KOTA PROBOLINGGO,1.02,0.86,0.92,-0.82,-0.07,0.93,3.13,1.41,-0.5,-0.15,0.12,0.9,7.98
KOTA MADIUN,1.39,0.75,0.97,-0.37,-0.71,0.78,3.6,0.92,-0.75,0.2,-0.09,0.66,7.52
KOTA SURABAYA,0.89,1.03,0.95,-0.37,-0.07,0.55,2.67,0.99,-0.02,-0.16,0.25,0.6,7.52
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.74,1.02,1.07,-0.04,-0.13,1.59,4.45,0.84,-0.59,0.15,0.54,0.04,10.02
KOTA CILEGON,1.25,1.23,1.1,-0.07,0.15,0.72,2.96,0.67,-0.5,0.06,-0.16,0.34,7.98
KOTA SERANG,1.41,1.1,1.2,-0.4,-0.38,1.74,3.56,1.05,-0.39,0.16,-0.47,0.28,9.16
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,1.41,1.19,1.08,-0.13,-0.66,0.47,2.81,0.83,-0.45,-0.25,0.36,0.49,7.35
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,1.56,1.01,0.72,0.61,-1.03,0.91,4.55,0.78,-1.51,0.62,0.03,0.77,9.27
KOTA BIMA,1.42,1,1.19,-0.82,-0.18,1.42,3.83,2.77,-1.15,-0.25,0.89,-0.06,10.42
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,1.95,-0.92,0.31,-1.2,0.82,0.43,2.83,2.01,-1.57,-0.17,1.54,0.15,6.24
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,1.27,0.56,1.17,-0.8,-0.86,1.55,4.98,0.19,-0.92,-0.67,0.6,1.59,8.84
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,0.01,1.04,1.02,0.29,1.4,0.22,3.36,1.47,-0.75,0.73,-0.85,1.23,9.48
KOTA SINGKAWANG,1.04,0.87,0.23,0.64,-0.23,0.22,1.36,1.04,0.04,0.16,0.05,0.59,6.15
SAMPIT,2.91,-0.01,0.54,0.16,-0.8,1.15,2.66,1.41,-1.48,-0.33,-0.13,1.03,7.25
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,1.63,-0.1,0.44,0.12,-0.26,0.74,2.09,1.37,-1.3,-0.25,0.38,1.47,6.45
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,1.14,0.43,0.19,0.04,-0.64,0.41,2.24,1.99,-0.6,-0.22,0.62,1.23,6.98
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.09,0.54,0.87,0.11,0.16,0.74,3.75,1.3,-1.33,0.12,-0.34,1.31,8.56
KOTA SAMARINDA,2.09,0.68,0.12,0.21,-0.44,1.31,4.1,2.22,-0.67,0.04,0.11,0.24,10.37
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,2.16,0.28,0.66,0.41,0.81,1.46,2.91,1.64,-0.37,0.56,-1.18,0.63,10.35
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,-0.49,1.3,1.52,-0.56,-0.15,0.21,3.96,2.27,-2.1,-1.1,0.44,2.69,8.12
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
