Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2006,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,2.28,1.95,-2.91,-1.49,3.14,0.92,0.84,0.95,0.83,1.56,-0.93,2.19,9.54
KOTA LHOKSEUMAWE,1.94,1.71,0.32,-1.27,1.57,1.21,-3.05,0.55,3.7,1.86,0.64,1.89,11.47
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,-1.39,-1.43,0.65,-1.57,0.68,1.74,2.55,-2.49,1.9,1.2,-0.12,3.37,5.03
KOTA PEMATANG SIANTAR,-0.57,0.44,0.03,-0.87,0.58,0.69,0.18,0.76,0.73,1.49,1.11,1.36,6.06
KOTA MEDAN,-0.03,0.97,0.47,-0.38,0.65,0.02,0.64,-0.15,0.37,0.82,0.57,1.9,5.97
KOTA PADANGSIDIMPUAN,0.06,0.13,1.15,-0.58,0.18,1.11,1.11,0.21,1.39,2.24,0.21,2.41,10.02
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,-0.91,1.02,1.07,-0.19,0.24,0.65,0.93,-0.88,0.88,1.77,0.27,2.96,8.05
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.56,0.29,-0.11,-0.09,0.24,0.73,0.44,0.72,0.05,-0.37,1.45,2.27,6.32
KOTA DUMAI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,0.92,0.11,0.34,-0.77,0.7,1.28,0.27,-0.28,1.62,1.59,2.42,2.01,10.66
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,1.03,0.81,0.58,-0.4,0.45,0.52,0.58,0.07,0.31,2.41,0.48,1.33,8.44
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.3,-0.7,-0.5,-0.5,0.22,1.6,0.78,-0.17,0.62,1.15,0.98,1.59,6.52
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,3.05,-0.55,0.01,-0.1,0.23,0.3,-0.23,0.28,0.64,1.48,0.54,0.28,6.03
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,3.66,-0.57,0.31,-0.57,0.96,-0.54,0.84,0.52,0.79,0.91,0.16,-0.15,6.42
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
