Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2011,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,1.74,0.47,-1.92,-0.23,-0.39,0.47,1.16,1.89,-1.01,-0.28,0.52,0.91,3.32
KOTA LHOKSEUMAWE,1.79,0.07,-1.22,-0.27,-1.13,0.95,0.44,1.88,0.28,-0.17,0.77,0.15,3.55
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,2.66,0.09,-1.91,-1.31,-0.56,0.98,1.01,0.79,0.21,0.35,-0.39,1.82,3.71
KOTA PEMATANG SIANTAR,2.42,-0.02,-1.18,-1.47,0.31,0.79,0.78,0.68,1.27,0.36,-0.28,0.57,4.25
KOTA MEDAN,1.86,-0.58,-0.94,-0.72,-0.3,1.07,0.95,1.19,1.29,-0.84,0.11,0.46,3.54
KOTA PADANGSIDIMPUAN,2.4,-0.06,-1.43,-1.06,-0.06,0.04,0.9,1.12,1.43,-0.15,0.86,0.63,4.66
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,3.7,0.44,-2.59,-1.07,0.08,0.11,0.77,1.13,1.24,0.63,0.46,0.48,5.37
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,2.01,0.06,-0.55,-0.92,0.14,0.48,0.91,0.96,0.42,0.54,0.26,0.69,5.09
KOTA DUMAI,2.01,0.14,-2.34,-0.98,0.08,0.6,0.91,0.83,0.81,0.36,-0.31,1.03,3.09
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,1.82,-0.32,-2.26,-1.57,0.47,0.95,0.94,1.02,1.22,-0.18,0.04,0.66,2.76
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.82,-0.32,-0.77,-0.28,0.79,0.65,0.7,0.69,0.59,0.5,0.02,0.35,3.78
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.68,0.19,-1.64,-0.9,0.2,0.98,0.93,1.69,1,-0.04,-0.18,0.04,3.96
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.83,0.7,-0.41,-0.1,-0.03,0.29,0.82,0.71,0.75,0.62,-0.19,0.19,4.24
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
