Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2008,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,2.26,1.98,-0.76,-0.8,3.78,2.75,0.25,-0.56,1.67,-0.3,0.64,1.06,10.27
KOTA LHOKSEUMAWE,1.89,1.74,1.13,-0.91,0.98,4.38,0.46,1.14,1.29,0.35,1.12,1.47,13.78
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,2.51,0.46,1.6,-0.62,1.71,2.31,1.27,0.09,1.68,-0.04,0.89,1.35,12.36
KOTA PEMATANG SIANTAR,1.12,0.96,0.96,0.48,1.95,2.88,1.24,0.02,0.12,0.63,-0.03,0.73,10.16
KOTA MEDAN,1.08,0.2,0.9,0.21,1.57,2.07,1.36,-0.36,0.21,1.36,0.37,0.51,10.63
KOTA PADANGSIDIMPUAN,1.2,2.67,0.73,0.24,0.72,2.53,1.42,-0.33,0.18,0.34,0.52,0.7,12.34
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,0.87,1.99,1.43,0.09,0.54,4.09,1.51,0.15,0.37,0.99,0.85,0.21,12.68
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,1.76,1.3,1.03,-0.21,0.51,2.46,1.32,1.21,0.61,0.48,0.1,-0.03,9.02
KOTA DUMAI,1.08,0.7,1.19,0.55,1.93,3.8,1.68,0.19,1.15,0.83,-0.04,0.43,14.3
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,0.6,0.45,1.09,0.57,2.53,4.19,1.17,0.37,0.22,-0.03,-0.07,-0.1,11.57
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,0.91,0.35,1.83,2.38,1.56,3.41,1.32,0.79,1.05,-0.09,-0.4,0.19,11.15
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,1.58,0.51,1.96,0.22,2.19,4.14,2.63,0.03,0.92,0.84,-0.4,-0.09,13.44
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,0.68,1.42,1.15,0.07,2.48,2.93,2.2,1.04,1.64,0.65,0.06,0.03,14.82
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,4.31,2.07,0.05,1,2.41,4.2,1.01,2.91,0.3,0.43,-0.93,0.64,18.4
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,0.92,1.14,0.82,0.53,0.61,2.29,1.12,0.08,0.5,0.12,0.6,-0.14,8.39
KOTA TANJUNG PINANG,-0.69,0.99,1.49,0.89,1.71,2.45,0.71,2.39,0.21,-0.22,1.51,-0.1,11.9
DKI JAKARTA,2.37,0.29,0.82,0.79,1.51,1.94,1.26,0.24,1.02,0.42,0.34,0.11,11.11
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,3.31,2.02,1,0.17,2.95,1.15,0.71,0.26,1.4,0.51,0.21,-0.26,14.2
KOTA SUKABUMI,1.14,1,0.78,0.2,0.25,2.8,0.51,1.09,1.79,1.27,-0.17,0.22,11.39
KOTA BANDUNG,1.39,0.8,0.6,0.51,1.59,2.76,0.97,0.41,0.88,0.72,-0.2,-0.58,10.23
KOTA CIREBON,1.74,0.83,0.91,0.08,1.57,3.33,1.63,0.23,2.14,0.45,-0.2,-0.06,14.14
KOTA BEKASI,0.63,1.63,0.07,1.24,1.07,1.24,1.99,0.66,1.13,-0.17,1.02,-0.82,10.1
KOTA DEPOK,2.56,1.01,0.45,0.29,0.75,2.45,1.37,0.72,1.36,0.48,0.17,-0.46,11.7
KOTA TASIKMALAYA,1.4,0.95,0.21,0.5,1.25,2.54,1.67,0.7,1.23,1.2,-0.31,0.34,12.07
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,1.41,0.71,1.43,0.36,0.97,2.75,2.58,0.03,0.9,1.08,-0.09,0.17,12.06
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,1.48,0.89,0.36,0.12,1.41,2.13,1.53,0.04,0.17,0.66,0.12,-0.65,6.96
KOTA SEMARANG,1.21,1.44,1.47,0.46,1.19,2.4,1.21,0.61,0.99,0.53,0.06,-0.42,10.34
KOTA TEGAL,1.61,0.58,0.51,0.1,1.2,1.78,1.76,0.22,0.38,0.49,0.18,-0.22,8.52
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,1.25,1.01,0.56,0.21,1.08,2.51,1.31,0.67,1.15,0.62,0.07,-0.11,9.88
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,2.13,0.3,0.28,0.48,1.39,3.46,1.76,0.25,0.74,0.28,-0.6,-0.35,10.63
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,2.22,0.21,-0.36,0.42,1.82,1.62,0.72,0.61,1.48,0.95,-0.16,0.25,10.2
KOTA KEDIRI,1.66,0.3,0.95,0.89,1.46,2.04,1.76,0.81,0.51,0.6,-0.36,-0.58,9.52
KOTA MALANG,2.17,0.4,1.44,1.54,0.33,2.77,1.54,0.45,0.91,0.56,-0.11,-0.07,10.49
KOTA PROBOLINGGO,0.74,0.56,1.45,1.44,0.61,1.81,3.08,0.43,0.31,0.56,-0.58,0.02,10.89
KOTA MADIUN,2.32,1.03,1.3,0.64,1.33,4.05,1.2,0.05,1.01,0.32,-0.05,-0.59,13.27
KOTA SURABAYA,1.38,0.65,1.52,0.79,1.39,2,0.98,0.79,0.77,0.4,0.04,-0.3,8.73
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,0.2,1.32,0.44,0.1,2.01,3.04,0.41,1.13,1.64,0.45,-0.22,-0.22,10.75
KOTA CILEGON,2.3,0.86,0.5,0.51,3.58,2.11,0.48,0.29,0.11,0.73,0.99,-0.16,12.96
KOTA SERANG,1.87,1.72,0.88,0.22,0.91,2.21,1.76,1.14,1.53,0.84,0.22,0.39,13.91
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,2.5,0.47,0.36,0.11,1.15,1.78,1.63,1.09,0.39,0.32,0.44,0.28,9.25
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,1.7,1.09,0.41,0.13,1.79,3.21,1.72,0.56,0.92,0.28,-0.02,0.64,13.01
KOTA BIMA,2.98,0.16,-0.52,0.32,1.84,4.94,0.98,0.44,1.72,0.66,-0.28,0.39,14.36
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,3.56,-2.74,3.64,0.65,3.93,2.24,1.76,2.85,1.91,0.71,-1.63,-1.53,16.17
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,3.36,-0.37,0.34,0.43,1.99,2.31,1.13,-0.97,0.31,-0.05,0.88,1.11,10.9
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,1.6,0.77,1.78,0.26,1.65,2.27,1.44,0.15,1.59,0.24,-0.5,0.33,11.19
KOTA SINGKAWANG,1.56,1.59,0.93,0.15,2.14,2.94,0.61,1.27,0.83,0.2,-0.84,0.67,12.66
SAMPIT,3.96,-1.51,-0.77,0.08,1.29,2.87,1.47,0.05,0.19,0.78,-0.29,0.2,8.89
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,5.02,-0.25,-0.27,-0.09,0.19,2.22,1.56,0.93,1.09,1.71,0.66,-0.61,11.65
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,2.89,0.37,0.82,-0.18,0.59,2.48,1.12,-0.13,1.22,1.39,0.49,-0.03,11.62
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,1.13,1.06,1.51,0.72,0.45,2.88,1.67,0.89,0.43,0.96,-0.15,-0.41,11.3
KOTA SAMARINDA,2.51,0,1.43,0.55,2.08,3.32,1.23,0.52,1.18,1.03,-1.27,0.2,12.69
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,6.19,-0.06,1.65,0.38,1.5,2.48,2.14,0.52,2.8,-0.61,-0.23,1.68,19.85
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
