Kota Inflasi,,,,,,,,,,,,,
,Inflasi Bulanan (M-to-M) (Persen),,,,,,,,,,,,
,2010,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,0.54,0.07,-0.16,-0.56,-0.07,0.3,1.13,-0.03,0.37,0.08,1.73,1.18,4.64
KOTA LHOKSEUMAWE,0.22,-0.23,-0.08,-0.74,0.01,1.91,0.92,0.42,-1.28,0.28,2.64,2.97,7.19
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,1.75,0.43,-0.96,0.79,0.29,1.5,2.53,-0.02,0.16,-0.01,1.9,2.94,11.83
KOTA PEMATANG SIANTAR,0.9,0.38,-0.24,0.43,0.16,2.29,1.71,-0.75,0.13,0.02,1.7,2.6,9.68
KOTA MEDAN,1.44,0.29,-0.66,-0.08,0.29,1.91,2.05,-0.33,-0.2,0.45,0.81,1.48,7.65
KOTA PADANGSIDIMPUAN,1.6,-0.43,-0.77,0.58,0.27,1.27,1.32,-0.53,0.04,0.26,0.99,2.63,7.42
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,1.59,0.17,-0.73,0.27,0.54,1.58,1.49,-0.37,-0.37,0.06,1.38,2,7.84
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,0.93,0.2,-0.34,0.14,0.29,1.29,1.59,0.45,-0.22,-0.02,1.16,1.33,7
