Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,741980,557776,1299756
Sumatera Utara,765842,632045,1397887
Sumatera Barat,821552,720558,1542109
Riau,844678,765749,1610427
Jambi,775092,702013,1477104
Sumatera Selatan,691256,592283,1283538
Bengkulu,740786,757958,1498744
Lampung,663740,575873,1239613
Kepulauan Bangka Belitung,915697,849854,1765551
Kepulauan Riau,1063897,1404422,2468319
DKI Jakarta,1153404,1809008,2962412
Jawa Barat,832486,891881,1724367
Jawa Tengah,667536,669491,1337028
DI Yogyakarta,766284,1076928,1843212
Jawa Timur,715989,703152,1419140
Banten,870648,879898,1750546
Bali,827210,1137408,1964618
Nusa Tenggara Barat,762911,639207,1402118
Nusa Tenggara Timur,559895,468980,1028875
Kalimantan Barat,779641,690293,1469934
Kalimantan Tengah,849309,746856,1596165
Kalimantan Selatan,827593,775909,1603501
Kalimantan Timur,956141,1161212,2117354
Kalimantan Utara,838916,887535,1726451
Sulawesi Utara,718423,692081,1410504
Sulawesi Tengah,648896,607498,1256394
Sulawesi Selatan,664456,694365,1358821
Sulawesi Tenggara,650919,674166,1325085
Gorontalo,650308,665429,1315738
Sulawesi Barat,575436,493877,1069314
Maluku,679006,719492,1398498
Maluku Utara,749636,742896,1492532
Papua Barat,878045,827294,1705338
Papua Barat Daya,857182,959693,1816875
Papua,830864,979903,1810767
Papua Selatan,805371,712048,1517419
Papua Tengah,874847,584240,1459088
Papua Pegunungan,1256747,685250,1941997
Indonesia,775516,793572,1569088
