Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,595634.83,484536.41,1080171.23
Sumatera Utara,598244.67,526007.92,1124252.59
Sumatera Barat,644852.66,590197.45,1235050.11
Riau,668073.75,672372.58,1340446.33
Jambi,590173.34,536516.27,1126689.61
Sumatera Selatan,535136.35,486893.93,1022030.29
Bengkulu,573499.58,566575.09,1140074.67
Lampung,503976.2,470447.72,974423.91
Kepulauan Bangka Belitung,771121.02,730722.53,1501843.55
Kepulauan Riau,800424.35,973096.69,1773521.04
DKI Jakarta,944687.09,1313304.39,2257991.48
Jawa Barat,655838.24,669121.59,1324959.83
Jawa Tengah,496173.09,522314.29,1018487.38
DI Yogyakarta,579279.07,832692.77,1411971.84
Jawa Timur,521577.12,542804.78,1064381.9
Banten,756673.23,760370.87,1517044.1
Bali,675145.59,834520.05,1509665.64
Nusa Tenggara Barat,574202.21,515561.39,1089763.6
Nusa Tenggara Timur,442700.04,351661.11,794361.15
Kalimantan Barat,584259.49,540803.99,1125063.49
Kalimantan Tengah,675947.95,657370.07,1333318.03
Kalimantan Selatan,675978.56,659478.42,1335456.98
Kalimantan Timur,790469.29,963725.48,1754194.77
Kalimantan Utara,743893.54,801795.67,1545689.21
Sulawesi Utara,590061.88,621777.26,1211839.14
Sulawesi Tengah,516838.74,518938.32,1035777.06
Sulawesi Selatan,516183.11,541681.06,1057864.17
Sulawesi Tenggara,506739.57,531059.69,1037799.26
Gorontalo,476069.17,592212.63,1068281.8
Sulawesi Barat,457059.22,436701.42,893760.64
Maluku,532135.38,551786.07,1083921.45
Maluku Utara,537605.49,555218.26,1092823.75
Papua Barat,687943.88,707070.04,1395013.91
Papua,723821,585893.36,1309714.36
Indonesia,603235.72,622448.97,1225684.68
