Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,529161.55,373833.04,902994.59
Sumatera Utara,522766.38,387051.28,909817.66
Sumatera Barat,584045.24,469758.24,1053803.48
Riau,603401.3,517536.34,1120937.64
Jambi,538359.98,430864.64,969224.62
Sumatera Selatan,507673,417173.81,924846.81
Bengkulu,523328.71,467579.85,990908.56
Lampung,467939.94,381353.5,849293.44
Kepulauan Bangka Belitung,721045.3,639949.01,1360994.31
Kepulauan Riau,759543.86,805333.64,1564877.5
DKI Jakarta,797828.39,1199617.99,1997446.38
Jawa Barat,562766.74,540570.55,1103337.29
Jawa Tengah,421514.91,405708.55,827223.45
DI Yogyakarta,490248.61,649917.77,1140166.38
Jawa Timur,476861.4,461939.92,938801.32
Banten,623084.35,628887.44,1251971.79
Bali,569168.04,762916.85,1332084.88
Nusa Tenggara Barat,457616.36,363435.73,821052.09
Nusa Tenggara Timur,399251.2,282232.3,681483.51
Kalimantan Barat,519469.03,409666.38,929135.41
Kalimantan Tengah,621621.65,513357.71,1134979.36
Kalimantan Selatan,612237.07,545568.9,1157805.97
Kalimantan Timur,663534.51,780393.37,1443927.87
Kalimantan Utara,667279.7,636486.14,1303765.84
Sulawesi Utara,594832.56,511880.27,1106712.83
Sulawesi Tengah,480987.35,437362.07,918349.42
Sulawesi Selatan,450618.06,477290.33,927908.39
Sulawesi Tenggara,409856.81,443862.72,853719.53
Gorontalo,441998.96,456383.55,898382.51
Sulawesi Barat,393942.7,328683.05,722625.75
Maluku,485032.59,418826.72,903859.3
Maluku Utara,486734.45,440060.24,926794.69
Papua Barat,551032.1,570859.84,1121891.94
Papua,638353.51,441507.44,1079860.95
Indonesia,527955.82,508541.45,1036497.27
