Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,668480.98,511651.95,1180132.93
Sumatera Utara,663926.75,552569.9,1216496.65
Sumatera Barat,716261.97,626723.54,1342985.51
Riau,730825.57,694345.29,1425170.86
Jambi,663020.58,598816.2,1261836.78
Sumatera Selatan,620732.28,528080.19,1148812.47
Bengkulu,626208.94,570274.83,1196483.76
Lampung,575672.68,499314.76,1074987.43
Kepulauan Bangka Belitung,881622.45,772658.08,1654280.53
Kepulauan Riau,846221.75,985478.65,1831700.4
DKI Jakarta,953320.89,1572026.48,2525347.37
Jawa Barat,708389.69,729004.43,1437394.12
Jawa Tengah,572808.11,548985.75,1121793.86
DI Yogyakarta,628844.56,851529.72,1480374.28
Jawa Timur,600847.63,564290.28,1165137.91
Banten,830110.79,789460.92,1619571.71
Bali,609855.33,832754.43,1442609.77
Nusa Tenggara Barat,666966.05,493696.03,1160662.07
Nusa Tenggara Timur,480749.17,403352.91,884102.08
Kalimantan Barat,666065.89,566552.33,1232618.22
Kalimantan Tengah,762633.94,679661.3,1442295.24
Kalimantan Selatan,727960.88,679758.06,1407718.94
Kalimantan Timur,813447.68,984037.85,1797485.53
Kalimantan Utara,758431.1,811754.88,1570185.98
Sulawesi Utara,674114.08,562591.43,1236705.51
Sulawesi Tengah,561738.97,521939.99,1083678.96
Sulawesi Selatan,566223.75,576387.95,1142611.7
Sulawesi Tenggara,535048.46,576546.85,1111595.3
Gorontalo,534461.48,608535.25,1142996.73
Sulawesi Barat,491876.25,464029.03,955905.28
Maluku,589485.16,580343.17,1169828.33
Maluku Utara,585162.43,543423.92,1128586.35
Papua Barat,723854.71,724650.68,1448505.39
Papua,858106.47,596214.24,1454320.71
Indonesia,665756.94,662025.11,1327782.05
,,,
Catatan,,,
 ,,,
