Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,702547,523429,1225976
Sumatera Utara,707588,597752,1305339
Sumatera Barat,747469,664354,1411823
Riau,776145,751405,1527549
Jambi,720949,703176,1424125
Sumatera Selatan,647779,562206,1209986
Bengkulu,679166,653392,1332558
Lampung,627879,575138,1203017
Kepulauan Bangka Belitung,879797,847753,1727550
Kepulauan Riau,863530,1126172,1989703
DKI Jakarta,1055896,1735820,2791716
Jawa Barat,761832,805834,1567666
Jawa Tengah,601528,608378,1209906
DI Yogyakarta,722132,1009428,1731560
Jawa Timur,657408,666078,1323486
Banten,847452,896235,1743687
Bali,729755,1011768,1741523
Nusa Tenggara Barat,711180,549640,1260820
Nusa Tenggara Timur,516672,444700,961372
Kalimantan Barat,695043,650509,1345552
Kalimantan Tengah,787550,738235,1525785
Kalimantan Selatan,747955,709390,1457344
Kalimantan Timur,885069,1095206,1980275
Kalimantan Utara,801219,892358,1693577
Sulawesi Utara,670957,644219,1315176
Sulawesi Tengah,602468,571212,1173679
Sulawesi Selatan,597180,655371,1252551
Sulawesi Tenggara,561452,611288,1172739
Gorontalo,590966,637927,1228893
Sulawesi Barat,530104,506416,1036520
Maluku,595310,642860,1238170
Maluku Utara,660687,656472,1317159
Papua Barat,773831,824423,1598254
Papua Barat Daya,...,...,...
Papua,866059,643934,1509992
Papua Selatan,...,...,...
Papua Tengah,...,...,...
Papua Pegunungan,...,...,...
Indonesia,711282,740588,1451870
,,,
Catatan,,,
*Provinsi Papua Barat Daya masih mengikuti angka Provinsi Papua Barat/<i>Papua Barat Daya Province still follows Papua Barat Province figures.</i><i>,,,
"</i>*Provinsi Papua Selatan, Papua Tengah, dan Papua Pegunungan masih mengikuti angka Provinsi Papua/<i>The provinces of Papua Selatan, Papua Tengah, and Papua Pegunungan still follow Papua Province figures.</i>",,,
