Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,547668.08,426149.27,973817.35
Sumatera Utara,554754.23,446955.12,1001709.36
Sumatera Barat,604871.24,543759.42,1148630.67
Riau,599873.4,587899.36,1187772.76
Jambi,555989.05,496432.46,1052421.51
Sumatera Selatan,503297.45,466781.1,970078.55
Bengkulu,548879.18,558899.08,1107778.26
Lampung,478451.88,444185.79,922637.67
Kepulauan Bangka Belitung,710401.17,709094.02,1419495.19
Kepulauan Riau,747943.58,826447.94,1574391.51
DKI Jakarta,847846.53,1191309.83,2039156.36
Jawa Barat,600966.61,617111.56,1218078.17
Jawa Tengah,460891.08,477690.34,938581.42
DI Yogyakarta,529012.33,773648.73,1302661.06
Jawa Timur,502760.6,503316.92,1006077.52
Banten,672917.64,711628.08,1384545.72
Bali,599976.09,767056.4,1367032.49
Nusa Tenggara Barat,525091.4,393107.84,918199.24
Nusa Tenggara Timur,402921.78,301832.28,704754.06
Kalimantan Barat,535533.56,493138.29,1028671.85
Kalimantan Tengah,632492.71,591813.8,1224306.51
Kalimantan Selatan,626241.39,600227.61,1226469
Kalimantan Timur,702905.18,857449.31,1560354.49
Kalimantan Utara,671612.17,742960.64,1414572.81
Sulawesi Utara,560514.33,601014.13,1161528.46
Sulawesi Tengah,474810.78,465823.53,940634.31
Sulawesi Selatan,495464.54,520779.04,1016243.58
Sulawesi Tenggara,457496.66,512252.73,969749.39
Gorontalo,423925.99,475801.89,899727.88
Sulawesi Barat,433929.17,385717.2,819646.37
Maluku,491426.44,474411.17,965837.61
Maluku Utara,502810.2,503588.16,1006398.37
Papua Barat,614330.23,631186.81,1245517.04
Papua,623986.57,500709.37,1124695.95
Indonesia,556899.25,567817.6,1124716.85
