Provinsi,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Bukan Makanan,Rata-rata Pengeluaran per Kapita Sebulan di Perkotaan dan Perdesaan - Jumlah
Aceh,722434,542299,1264733
Sumatera Utara,734270,606687,1340957
Sumatera Barat,797728,683125,1480853
Riau,824229,738936,1563165
Jambi,773667,698833,1472501
Sumatera Selatan,711510,577490,1289001
Bengkulu,724415,691561,1415976
Lampung,656937,544537,1201473
Kepulauan Bangka Belitung,929142,863932,1793074
Kepulauan Riau,938634,1170437,2109071
DKI Jakarta,1108228,1686257,2794485
Jawa Barat,803842,829190,1633032
Jawa Tengah,647311,624368,1271678
DI Yogyakarta,748182,1010683,1758865
Jawa Timur,689148,667796,1356943
Banten,873268,898894,1772162
Bali,804982,1067778,1872760
Nusa Tenggara Barat,730071,547068,1277139
Nusa Tenggara Timur,541265,434589,975854
Kalimantan Barat,735785,652292,1388077
Kalimantan Tengah,835243,755448,1590691
Kalimantan Selatan,799948,734092,1534039
Kalimantan Timur,925954,1116838,2042791
Kalimantan Utara,833209,824833,1658042
Sulawesi Utara,717919,664510,1382429
Sulawesi Tengah,644418,587035,1231453
Sulawesi Selatan,636655,646426,1283081
Sulawesi Tenggara,604047,623116,1227163
Gorontalo,620823,641446,1262268
Sulawesi Barat,579734,529855,1109589
Maluku,640897,636672,1277569
Maluku Utara,726547,720763,1447310
Papua Barat,836642,806846,1643488
Papua Barat Daya,810863,831867,1642730
Papua,765393,813501,1578894
Papua Selatan,749474,677616,1427090
Papua Tengah,887039,600649,1487688
Papua Pegunungan,1157571,570904,1728475
Indonesia,751789,748767,1500556
