Provinsi,Tingkat Pengangguran Terbuka (TPT) - Februari,Tingkat Pengangguran Terbuka (TPT) - Agustus,Tingkat Partisipasi Angkatan Kerja (TPAK) - Februari,Tingkat Partisipasi Angkatan Kerja (TPAK) - Agustus
Aceh,5.5,5.64,65.63,65.32
Sumatera Utara,5.05,5.32,70.13,72.29
Sumatera Barat,5.69,5.62,70.95,71.34
Riau,4.12,4.16,64.68,66.55
Jambi,4.48,4.26,67.11,68.37
Sumatera Selatan,3.89,3.69,70.56,69.88
Bengkulu,3.24,3.41,71.5,71.78
Lampung,4.07,4.21,71.16,70.44
Kepulauan Bangka Belitung,4.17,4.45,67.67,69.38
Kepulauan Riau,6.89,6.45,66.84,68.23
DKI Jakarta,6.18,6.05,65.4,64.75
Jawa Barat,6.74,6.77,68.91,66.99
Jawa Tengah,4.33,4.66,73.17,74.36
DI Yogyakarta,3.18,3.46,73.73,74.74
Jawa Timur,3.61,3.88,74.25,73.98
Banten,6.64,6.69,65.82,64.66
Bali,1.58,1.49,77.4,77.31
Nusa Tenggara Barat,3.22,3.06,76.5,76.11
Nusa Tenggara Timur,3.23,3.31,75.81,75.55
Kalimantan Barat,4.23,4.82,67.64,70.9
Kalimantan Tengah,3.47,3.97,69.9,68.4
Kalimantan Selatan,3.94,4.16,70.41,69.93
Kalimantan Timur,5.33,5.18,66.4,66.58
Kalimantan Utara,3.9,3.85,69.19,69.55
Sulawesi Utara,6.03,5.99,65.3,67.21
Sulawesi Tengah,3.02,2.92,70.51,72.4
Sulawesi Selatan,4.96,4.21,65.99,67.65
Sulawesi Tenggara,3.27,3.31,69.77,71.67
Gorontalo,3.12,3.42,67.52,69.29
Sulawesi Barat,3.17,2.86,71.81,74.25
Maluku,5.95,6.27,67.56,66.66
Maluku Utara,4.26,4.55,68.99,69.57
Papua Barat,4.21,4.55,71.45,69.55
Papua Barat Daya,6.61,6.85,68.14,68.1
Papua,6.92,6.96,70.38,63.98
Papua Selatan,4.9,4.04,68.15,67.37
Papua Tengah,3.55,3.62,78.97,73.89
Papua Pegunungan,1.68,1.68,88.27,90.66
Indonesia,4.76,4.85,70.6,70.59
