38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sanitasi Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2014,2014,2014
ACEH,55.69,24.96,33.68
SUMATERA UTARA,80.49,54.31,66.92
SUMATERA BARAT,64.41,28.3,42.34
RIAU,74.66,32.06,48.74
JAMBI,80.99,49.31,58.58
SUMATERA SELATAN,84.98,46.7,59.79
BENGKULU,57.12,22.4,33.18
LAMPUNG,65.55,28.1,37.27
KEP. BANGKA BELITUNG,87.2,64.76,75.67
KEP. RIAU,69.69,28.48,63.45
DKI JAKARTA,87.05,-,87.05
JAWA BARAT,68.9,46.63,61
JAWA TENGAH,78.2,58.53,67.43
DI YOGYAKARTA,91.09,64.09,82.5
JAWA TIMUR,78.74,50.3,63.7
BANTEN,84.72,36.01,69.51
BALI,87.45,66.04,79.38
NUSA TENGGARA BARAT,68.23,53,59.41
NUSA TENGGARA TIMUR,37.18,10.98,16.12
KALIMANTAN BARAT,79.87,35.84,48.59
KALIMANTAN TENGAH,53.06,19.6,30.85
KALIMANTAN SELATAN,66.63,35.06,48.44
KALIMANTAN TIMUR,86.08,51.13,72.65
KALIMANTAN UTARA,-,-,-
SULAWESI UTARA,83.62,58.11,69.82
SULAWESI TENGAH,78.01,44.54,52.47
SULAWESI SELATAN,88.79,60.85,71.07
SULAWESI TENGGARA,85.96,51.71,61.26
GORONTALO,77.23,41.82,54.07
SULAWESI BARAT,80.44,44.61,52.45
MALUKU,85.06,48.34,62.87
MALUKU UTARA,83.09,44.77,55.75
PAPUA BARAT,79.66,53.88,61.85
PAPUA BARAT DAYA,-,-,-
PAPUA,61.81,8.77,21.66
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,76.66,45.6,61.08
