38 Provinsi,,,
,Persentase Rumah Tangga yang Memiliki Akses terhadap Sanitasi Layak Menurut Provinsi dan Klasifikasi Desa (Persen),,
,Perkotaan,Perdesaan,Perkotaan+Perdesaan
,2023,2023,2023
ACEH,87.98,73.79,78.85
SUMATERA UTARA,89.47,77.24,84.18
SUMATERA BARAT,75.35,66.58,70.97
RIAU,89.97,80.97,84.58
JAMBI,85.85,81.6,83.04
SUMATERA SELATAN,89.11,75.48,80.54
BENGKULU,71.19,85.01,80.28
LAMPUNG,76.34,88.68,84.58
KEP. BANGKA BELITUNG,93.92,92.16,93.21
KEP. RIAU,96.18,51.14,91.1
DKI JAKARTA,93.5,-,93.5
JAWA BARAT,73.78,78.8,74.88
JAWA TENGAH,84.04,86.49,85.2
DI YOGYAKARTA,95.93,97.91,96.42
JAWA TIMUR,86.22,80.55,83.72
BANTEN,89.56,75.25,86.41
BALI,97.07,92.6,95.7
NUSA TENGGARA BARAT,86.64,83.44,85.11
NUSA TENGGARA TIMUR,83.09,72.78,75.67
KALIMANTAN BARAT,81.71,78.79,79.89
KALIMANTAN TENGAH,82.2,71.75,76.31
KALIMANTAN SELATAN,84.06,81.74,82.89
KALIMANTAN TIMUR,93.98,84.96,91.21
KALIMANTAN UTARA,82.65,87.04,84.22
SULAWESI UTARA,88.07,83.18,85.91
SULAWESI TENGAH,83.34,72.07,75.8
SULAWESI SELATAN,92.93,94.33,93.69
SULAWESI TENGGARA,91.87,87.2,88.99
GORONTALO,91.96,73,81.72
SULAWESI BARAT,84.22,79.81,80.73
MALUKU,86.75,72.02,78.17
MALUKU UTARA,93.92,74.94,80.64
PAPUA BARAT,83.56,71.23,76.3
PAPUA BARAT DAYA,-,-,-
PAPUA,85.38,25.58,43
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
INDONESIA,84.15,79.85,82.36
