Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2007,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,184.38,187.29,188.75,189,185.08,185.6,192.7,194.34,196.46,193.37,193.02,200.28,-
KOTA LHOKSEUMAWE,152.23,152.24,154.74,153.4,152.02,151.39,152.33,154.4,159.47,159,157.44,157.8,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,150.91,150.93,153.81,150.84,150.58,153.37,154.29,154.37,155.13,156.43,157.33,159.31,-
KOTA PEMATANG SIANTAR,147.35,147.82,148.79,147.33,146.14,147.97,150.1,151.73,153.56,153.33,154.86,156.59,-
KOTA MEDAN,155.72,156.53,156.67,155,154.71,155.87,157.15,157.49,158.93,159.99,161.37,164.06,-
KOTA PADANGSIDIMPUAN,156.86,156.95,157.8,155.67,153.35,154.1,155.89,156.91,159.9,160.79,162.19,163.92,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,151.84,153.57,155.45,154.1,152.06,152.4,153.48,154.03,155.54,156.51,157.87,160.28,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,156.13,157.37,157.57,156.14,155.23,155.22,155.95,156.49,158.2,159.48,160.84,163.43,-
KOTA DUMAI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,155.42,156.93,158,155.05,155.03,156.08,157.49,158.35,160.09,159.82,161.52,164.5,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,157.63,158.64,158.33,157.3,158.46,159.67,161.4,163.18,164.83,167.15,167.55,170.24,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,151.26,151.23,153.14,150.07,149.26,151.79,154.11,154.31,156.5,158.71,157,158.64,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,149.93,149.48,149.84,149.48,149.19,150.02,152.19,153.62,155.12,157.39,157.47,158.57,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
