Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2009,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,113.26,113.21,114,113.46,114.18,114.16,115.07,116.74,118.86,117.32,117.85,117.58,-
KOTA LHOKSEUMAWE,114.2,115.21,114.63,114.6,114.7,114.21,115.32,116.54,119.2,118.18,118.28,119.83,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,115.33,116.19,114.95,114.41,114.81,114.94,116.05,116.62,118.91,118.66,118.23,117.39,-
KOTA PEMATANG SIANTAR,113.43,114.02,112.88,112.71,113.33,112.99,114.17,115.74,116.67,117.33,116.81,116.19,-
KOTA MEDAN,113.52,113.07,112.8,112.32,112.6,112.61,113.96,115,116.38,116.63,115.96,116.82,-
KOTA PADANGSIDIMPUAN,115.67,115.93,115.52,114.09,113.88,114.28,114.98,115.64,117.32,117.74,117.91,117.71,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,115.94,116.73,116.08,115.2,114.75,114.53,115.39,115.91,117.72,119.82,119.19,118.41,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,113.76,113.9,113.39,112.78,112.83,112.78,113.13,113.78,114.7,115.19,115.16,115.04,-
KOTA DUMAI,118.48,117.88,117.36,116.48,116.7,116.46,118.08,118.36,120.56,119.65,119.37,119.18,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,115.16,115.92,114.98,113.52,114.62,114.15,115.36,115.76,116.86,118.3,117.9,117.54,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,115.59,116.02,115.85,115.53,115.73,115.95,116.43,116.27,117.77,117.95,118.03,118.07,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,116.62,117.1,116.74,115.88,115.69,115.88,117.74,118.37,120.58,121.29,120.28,120,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,119.45,119.08,119.38,117.88,117.44,117.84,118.77,120.35,123.55,123.26,123.55,123.24,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
