Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2006,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,168.47,171.76,166.76,164.27,169.43,170.99,172.42,174.05,175.5,178.23,176.57,180.43,-
KOTA LHOKSEUMAWE,138.52,140.89,141.34,139.54,141.73,143.44,139.07,139.84,145.01,147.71,148.66,151.47,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,139.62,137.62,138.52,136.35,137.28,139.67,143.23,139.67,142.33,144.04,143.86,148.71,-
KOTA PEMATANG SIANTAR,135.46,136.05,136.09,134.91,135.69,136.63,136.87,137.91,138.92,140.99,142.55,144.49,-
KOTA MEDAN,145.43,146.84,147.53,146.97,147.93,147.96,148.9,148.67,149.22,150.44,151.29,154.16,-
KOTA PADANGSIDIMPUAN,140.81,140.99,142.61,141.78,142.04,143.62,145.22,145.53,147.56,150.87,151.19,154.83,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,137.5,138.9,140.39,140.13,140.47,141.38,142.7,141.45,142.7,145.23,145.62,149.93,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,143.76,144.17,144.01,143.88,144.23,145.29,145.93,146.98,147.05,146.5,148.62,151.99,-
KOTA DUMAI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,139.67,139.83,140.3,139.22,140.19,141.99,142.38,141.98,144.28,146.57,150.12,153.14,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,146.57,147.75,148.6,148.01,148.67,149.45,150.31,150.42,150.89,154.52,155.26,157.33,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,143.69,142.69,141.98,141.27,141.58,143.85,144.97,144.72,145.62,147.29,148.73,151.09,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,144.6,143.8,143.81,143.67,144,144.43,144.1,144.5,145.42,147.57,148.37,148.78,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,146.56,145.73,146.18,145.34,146.73,145.94,147.16,147.92,149.09,150.45,150.69,150.47,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,128.4,128.53,127.57,126.85,126.82,127.06,128.6,128.69,129.98,129.77,130.88,132.54,-
