Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2008,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,204.8,208.85,207.26,205.6,213.37,110.54,110.82,110.2,112.04,111.7,112.41,113.6,-
KOTA LHOKSEUMAWE,160.79,163.58,165.43,163.93,165.54,108.77,109.27,110.52,111.95,112.34,113.6,115.27,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,163.31,164.06,166.68,165.64,168.48,109.68,111.07,111.17,113.04,113,114.01,115.55,-
KOTA PEMATANG SIANTAR,158.34,159.86,161.4,162.18,165.34,110.11,111.47,111.49,111.62,112.32,112.29,113.11,-
KOTA MEDAN,165.84,166.17,167.66,168.02,170.65,109.92,111.42,111.02,111.25,112.76,113.18,113.76,-
KOTA PADANGSIDIMPUAN,165.88,170.31,171.55,171.97,173.2,112.34,113.94,113.56,113.77,114.16,114.75,115.55,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,161.68,164.9,167.25,167.4,168.3,111.41,113.09,113.26,113.68,114.81,115.79,116.03,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,106.92,107.29,109.48,109.6,111.1,114.17,116.74,117.84,118.98,119.62,119.01,119.49,-
KOTA DUMAI,104.56,105.29,106.54,107.13,109.2,113.35,115.25,115.47,116.8,117.77,117.72,118.23,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,165.49,166.24,168.06,169.01,173.29,112.91,114.23,114.65,114.9,114.87,114.79,114.68,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,171.79,172.39,175.54,179.71,182.52,112.66,114.15,115.05,116.26,116.16,115.7,115.92,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,161.14,161.96,165.13,165.49,169.11,112.19,115.14,115.18,116.24,117.22,116.75,116.64,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,159.65,161.92,163.78,163.9,167.96,111.88,114.34,115.53,117.42,118.18,118.25,118.29,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,161.1,164.44,164.52,166.17,170.18,114.05,115.2,118.55,118.91,119.42,118.31,119.07,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,140.24,141.84,143.01,143.77,144.64,107.86,109.07,109.16,109.71,109.84,110.5,110.35,-
KOTA TANJUNG PINANG,103.59,104.62,106.18,107.13,108.96,111.63,112.42,115.11,115.35,115.1,116.84,116.72,-
DKI JAKARTA,154.85,155.3,156.58,157.82,160.2,109.33,110.71,110.98,112.11,112.58,112.96,113.08,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,104.94,107.06,108.13,108.31,111.51,112.79,113.59,113.88,115.47,116.06,116.3,116,-
KOTA SUKABUMI,103.8,104.84,105.66,105.87,106.13,109.1,109.66,110.85,112.83,114.26,114.07,114.32,-
KOTA BANDUNG,160.15,161.43,162.4,163.23,165.83,110.27,111.34,111.8,112.78,113.59,113.36,112.7,-
KOTA CIREBON,151.86,153.12,154.52,154.64,157.07,112.42,114.25,114.51,116.96,117.49,117.25,117.18,-
KOTA BEKASI,103.02,104.7,104.77,106.07,107.2,108.53,110.69,111.42,112.68,112.49,113.64,112.71,-
KOTA DEPOK,104.59,105.65,106.13,106.44,107.24,109.87,111.37,112.17,113.7,114.25,114.44,113.91,-
KOTA TASIKMALAYA,167.4,168.99,169.34,170.19,172.31,109.69,111.52,112.3,113.68,115.04,114.68,115.07,-
CILACAP,-,-,-,-,-,-,-,-,-,-,-,-,-
PURWOKERTO,152.57,153.66,155.86,156.42,157.93,108.41,111.21,111.24,112.24,113.45,113.35,113.54,-
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SURAKARTA,142.35,143.61,144.13,144.31,146.35,106.45,108.08,108.12,108.3,109.02,109.15,108.44,-
KOTA SEMARANG,158.84,161.13,163.5,164.26,166.21,109.37,110.69,111.36,112.46,113.06,113.13,112.66,-
KOTA TEGAL,160.36,161.29,162.12,162.29,164.23,109.31,111.23,111.47,111.89,112.44,112.64,112.39,-
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,165.08,166.75,167.68,168.04,169.86,109.21,110.64,111.38,112.66,113.36,113.44,113.32,-
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,158.51,158.99,159.44,160.2,162.42,112.02,113.99,114.28,115.12,115.44,114.75,114.35,-
BANYUWANGI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,103.11,103.33,102.96,103.39,105.27,106.98,107.75,108.41,110.01,111.06,110.88,111.16,-
KOTA KEDIRI,154.66,155.13,156.61,158.01,160.31,109.21,111.13,112.03,112.6,113.27,112.86,112.21,-
KOTA MALANG,153.84,154.46,156.69,159.1,159.62,109.53,111.22,111.72,112.74,113.37,113.25,113.17,-
KOTA PROBOLINGGO,105.2,105.79,107.32,108.87,109.53,111.51,114.95,115.44,115.8,116.45,115.78,115.8,-
KOTA MADIUN,153.28,154.28,156.62,157.86,160.06,108.39,109.45,110.31,111.16,111.61,111.66,111.32,-
KOTA SURABAYA,153.28,154.28,156.62,157.86,160.06,108.39,109.45,110.31,111.16,111.61,111.66,111.32,-
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,104.62,106,106.47,106.58,108.72,112.03,112.49,113.76,115.63,116.15,115.89,115.63,-
KOTA CILEGON,104.2,105.1,105.63,106.17,109.97,112.29,112.83,113.16,113.28,114.11,115.24,115.06,-
KOTA SERANG,159.5,162.25,163.68,164.04,165.53,110.31,112.25,113.53,115.27,116.24,116.5,116.95,-
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA DENPASAR,148.59,149.29,149.83,150,151.73,106.95,108.69,109.88,110.31,110.66,111.15,111.46,-
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,153.61,155.28,155.92,156.12,158.92,111.24,113.15,113.78,114.83,115.15,115.13,115.87,-
KOTA BIMA,107.08,107.25,106.69,107.03,109,114.38,115.5,116.01,118,118.78,118.45,118.91,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,106.76,103.83,107.61,108.31,112.57,115.09,117.12,120.46,122.76,123.63,121.62,119.76,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,171.1,170.47,171.05,171.78,175.19,110.6,111.85,110.77,111.11,111.05,112.03,113.27,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,155.24,156.44,159.23,159.64,162.27,111.24,112.84,113.01,114.81,115.09,114.52,114.9,-
KOTA SINGKAWANG,105.06,106.73,107.72,107.88,110.19,113.43,114.12,115.57,116.53,116.76,115.78,116.55,-
SAMPIT,154.01,151.68,150.51,150.63,152.57,109.86,111.48,111.54,111.75,112.62,112.29,112.51,-
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,160.81,160.41,159.98,159.83,160.13,110.19,111.91,112.95,114.18,116.13,116.9,116.19,-
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANJARMASIN,166.94,167.56,168.93,168.63,169.62,110.41,111.65,111.51,112.87,114.44,115,114.96,-
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,163.52,165.26,167.76,168.96,169.72,110.64,112.49,113.49,113.98,115.07,114.9,114.43,-
KOTA SAMARINDA,163.65,163.65,165.99,166.91,170.38,113.57,114.97,115.57,116.93,118.13,116.63,116.86,-
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,108.58,108.51,110.3,110.72,112.38,115.17,117.63,118.24,121.55,120.81,120.53,122.55,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,156.07,155.62,157.53,158.02,159.33,111.64,114.24,114.98,115.01,115.11,114.68,115.21,-
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
