Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
KOTA MAKASSAR,136.52,137.51,137.86,137.72,137.39,138.15,142.33,144.43,144.29,143.22,142.13,143.33,-
KOTA PARE-PARE,136.32,137.24,137.33,137.2,136.83,137.57,142.91,146.07,144.44,142.36,142.16,143.26,-
KOTA PALOPO,142.95,143.95,144.84,144.06,143.6,144.26,148.56,151.47,150.25,149.76,148.91,149.68,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,141.24,141.1,141.41,141.43,142.47,144.16,151.15,152.57,151.32,149.52,149.58,149.5,-
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,140.21,140.12,141.62,141.39,140.79,140.95,144.86,147.6,142.53,143.29,145.22,147.46,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,138.62,138.97,140.21,139.54,140.17,140.78,144.19,146.01,145.62,146.15,146.03,146.41,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,143.29,140.01,141.12,141.5,144.68,144.46,150.28,157.48,156.03,150.07,150.86,153.14,-
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,136.59,137.81,138.49,138.67,138.38,138.68,147.05,152.43,148.78,149.44,149,150.25,-
MANOKWARI,148.97,149.81,151.4,151.99,152.73,154.27,157.52,159.98,155.23,154.92,156.58,157.05,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,152,153.65,156.31,157.07,157.53,159.38,167.49,178.32,170.68,166.1,163.95,165.68,-
KOTA JAYAPURA,133.24,137.44,133.82,133.02,134.31,135.01,139.66,141.77,140.15,140.79,141.58,143.68,-
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,136.88,137.91,138.78,138.64,138.6,140.03,144.63,146.25,145.74,145.87,146.04,146.84,-
