Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2010,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,118.21,118.29,118.1,117.44,117.36,117.71,119.04,119,119.44,119.53,121.6,123.03,-
KOTA LHOKSEUMAWE,120.09,119.81,119.72,118.84,118.85,121.12,122.24,122.75,121.18,121.52,124.73,128.44,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,119.45,119.96,118.81,119.75,120.1,121.9,124.98,124.96,125.16,125.15,127.53,131.28,-
KOTA PEMATANG SIANTAR,117.24,117.68,117.4,117.9,118.09,120.79,122.86,121.94,122.1,122.13,124.21,127.44,-
KOTA MEDAN,118.5,118.84,118.05,117.95,118.29,120.55,123.02,122.62,122.38,122.93,123.92,125.76,-
KOTA PADANGSIDIMPUAN,119.59,119.08,118.16,118.85,119.17,120.68,122.27,121.62,121.67,121.99,123.2,126.44,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,120.29,120.5,119.62,119.94,120.59,122.5,124.33,123.87,123.41,123.48,125.19,127.69,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,116.11,116.34,115.95,116.11,116.45,117.95,119.83,120.37,120.11,120.08,121.47,123.09,-
KOTA DUMAI,120.04,119.65,119.49,120.11,120.35,122.6,126.2,125.87,125.31,125.83,126.92,129.96,-
