Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2015,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,120.41,119.24,118.48,118.58,119.37,120.05,121.06,120.3,120.27,120.33,120.67,121.26,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,114.95,113.91,113.22,113.31,113.89,115.26,115.96,115.71,115.29,115.41,115.67,116.3,-
KOTA LHOKSEUMAWE,116,113.6,113.03,113.92,114.34,115.52,115.87,115.7,115.96,116.38,116.78,118.31,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,120.13,117.68,117.3,117.98,119.83,121.46,123.31,122.41,120.15,119.9,120.83,123.39,-
KOTA PEMATANG SIANTAR,121.23,119.56,119.76,120.43,121.77,123.52,123.59,123.34,123,123.53,123.87,126.07,-
KOTA MEDAN,120.27,118.64,118.63,119.77,120.98,121.91,122.91,123.63,122.77,122.37,123.02,124.7,-
KOTA PADANGSIDIMPUAN,117.9,116.25,116.24,116.82,117.55,118.12,119.42,119.03,118.05,118.04,118.52,120.22,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,123.54,120.98,120.99,121.67,122.46,123.48,124.97,125.44,124.83,124.28,124.87,127.1,-
KOTA BUKITTINGGI,117.76,114.99,114.79,115.67,116.62,117.15,119.09,119.74,118.87,118.39,119.37,121.52,-
TEMBILAHAN,123.83,122.65,122.58,123.34,124.41,124.94,125.93,126.25,125.77,125.46,125.65,126.62,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,118.73,118.02,117.98,118.93,119.42,120.31,120.99,121.53,121.04,120.81,121.3,122.8,-
KOTA DUMAI,119.16,118.35,118.5,118.95,120.12,120.83,121.77,122.44,122.16,122.3,122.27,122.75,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,118.43,116.86,116.06,116.17,116.57,117.29,119.17,119.45,119.2,118.82,118.9,120.6,-
KOTA JAMBI,118.97,117.19,116.95,117.3,118.69,119.33,121.17,121.47,119.94,120.02,120.59,121.69,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,115.61,115.05,115.41,115.96,116.61,117.06,118.29,118.61,118.16,118.38,119.19,120.53,-
KOTA LUBUKLINGGAU,115.17,113.88,113.91,115.04,115.62,116.62,118.84,119.42,119.23,118.57,118.84,120.51,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,123.53,121.73,121.96,122.63,123.09,124.19,125.91,128.41,128.13,127.47,127.59,128.6,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,117.65,117.31,117.87,118.77,119.55,120.39,121.69,122.19,122.22,122.33,122.47,123.9,-
KOTA METRO,126.67,125.45,125.76,125.9,126.93,128,129.69,129.26,129.45,129.49,129.16,130.28,-
TANJUNG PANDAN,128.58,126.08,123.59,123.99,125.05,125.91,125.3,128.17,129.71,127.18,126.38,127.94,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,119.38,118.32,117.77,118.79,118.06,117.9,121.65,122.35,123.38,123.12,121.87,123.77,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,116.53,115.94,116.23,116.76,117.66,118.68,120.82,121.67,121.52,120.71,121.34,122.54,-
KOTA TANJUNG PINANG,119.56,119.04,118.79,119.54,120.06,120.78,121.83,121.42,122.24,121.01,121.23,122.27,-
DKI JAKARTA,118.92,119.2,119.43,119.75,120.16,120.58,121.75,122.37,122.38,122.32,122.47,123.35,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,117.05,117.21,118.09,118.93,119.38,119.96,120.55,121.25,121.3,120.45,120.77,121.69,-
KOTA SUKABUMI,118.85,118.96,119.09,119.06,119.62,119.79,120.43,121.2,120.94,121,121.34,121.96,-
KOTA BANDUNG,117.05,116.62,117.33,117.84,118.17,119.02,120.03,120.62,120.61,120.54,120.77,121.71,-
KOTA CIREBON,116.96,116.45,116,116.46,117.25,117.61,118.69,118.62,118.3,118.42,118.62,118.94,-
KOTA BEKASI,117.29,117.22,116.79,116.91,117.38,117.89,118.84,119.82,119.37,118.99,119.02,120.1,-
KOTA DEPOK,118.13,117.49,117.8,117.56,118.32,118.75,119.88,120.47,120.15,119.91,120.19,121.2,-
KOTA TASIKMALAYA,116.62,116.39,116.74,117.08,117.33,118.18,118.79,119.23,119.13,119.83,120.32,121.1,-
