Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2011,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,125.17,125.76,123.35,123.07,122.59,123.17,124.6,126.95,125.67,125.32,125.97,127.12,-
KOTA LHOKSEUMAWE,130.74,130.83,129.24,128.89,127.43,128.64,129.2,131.63,132,131.78,132.8,133,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,134.77,134.89,132.32,130.59,129.86,131.13,132.45,133.5,133.78,134.25,133.72,136.15,-
KOTA PEMATANG SIANTAR,130.53,130.5,128.96,127.06,127.45,128.46,129.46,130.34,132,132.47,132.1,132.85,-
KOTA MEDAN,128.1,127.36,126.16,125.25,124.88,126.21,127.41,128.92,130.58,129.48,129.62,130.21,-
KOTA PADANGSIDIMPUAN,129.47,129.39,127.54,126.19,126.12,126.17,127.3,128.73,130.57,130.38,131.5,132.33,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,132.42,133,129.55,128.16,128.26,128.4,129.39,130.85,132.47,133.3,133.91,134.55,-
KOTA BUKITTINGGI,-,-,-,-,-,-,-,-,-,-,-,-,-
TEMBILAHAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,125.56,125.64,124.95,123.8,123.97,124.57,125.7,126.91,127.44,128.13,128.46,129.35,-
KOTA DUMAI,132.57,132.75,129.64,128.37,128.47,129.24,130.41,131.49,132.55,133.03,132.62,133.98,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAMBI,132.27,131.85,128.87,126.85,127.45,128.66,129.87,131.2,132.8,132.56,132.61,133.49,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,126.21,125.81,124.84,124.49,125.47,126.28,127.16,128.04,128.8,129.44,129.46,129.91,-
KOTA LUBUKLINGGAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,133.1,133.35,131.16,129.98,130.24,131.51,132.73,134.97,136.32,136.26,136.02,136.08,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,136.62,137.57,137,136.86,136.82,137.21,138.34,139.32,140.37,141.24,140.97,141.24,-
KOTA METRO,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG PANDAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,136.26,137.79,135.59,134.58,134.96,136.2,136.33,140.49,141.73,140.81,139.13,139.69,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
