Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,116.04,114.85,116.97,117.06,117.47,117.67,118.51,119.05,119.87,131.19,132.08,131.13,-
KOTA PARE-PARE,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALOPO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,121.27,120.28,123.64,124.77,125.89,126.7,125.78,125.23,126.66,141.73,142.56,142.44,-
KOTA BAU-BAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,114.8,115.45,117.95,118.49,119.04,117.97,118.63,119.56,118.61,130.66,133.87,135.45,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,112.23,112.08,113.06,114.55,115.35,114.27,114.94,116.93,116.47,126.89,127.54,129.7,-
KOTA TUAL,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,117.04,117.64,122.62,119.63,117.72,119.37,121.52,121.78,124.5,136.1,135.72,138.03,-
MANOKWARI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA JAYAPURA,126.93,126.34,128.3,129.58,130.35,131.28,131.19,131.69,132.76,141.78,143.02,144.04,-
MERAUKE,-,-,-,-,-,-,-,-,-,-,-,-,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,118.53,118.33,120.59,121,121.25,121.86,122.81,123.48,124.33,135.15,136.92,136.86,-
