Kota Inflasi,,,,,,,,,,,,,
,Indeks Harga Konsumen (Umum),,,,,,,,,,,,
,2014,,,,,,,,,,,,
,Januari,Februari,Maret,April,Mei,Juni,Juli,Agustus,September,Oktober,November,Desember,Tahunan
KAB ACEH TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MEULABOH,114.4,112.94,112.12,112.05,112.52,112.75,115.47,116.26,116.93,117.89,119.16,120.56,-
KAB ACEH TAMIANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDA ACEH,108.47,107.98,107.42,107.26,108.18,108.61,109.95,110.02,110.54,110.96,112.38,114.84,-
KOTA LHOKSEUMAWE,108.99,108.03,107.2,107.19,108.43,108.61,110.06,110.36,110.91,111.5,113.28,115.49,-
KAB LABUHANBATU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KARO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DELI SERDANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SIBOLGA,113.76,111,110.37,110.62,111.68,111.9,113.71,113.37,113.79,114.57,117.38,119.4,-
KOTA PEMATANG SIANTAR,114.27,113.4,114.07,113.32,115.14,115.04,115.37,115.52,116.18,116.51,118.78,121.97,-
KOTA MEDAN,112.62,111.95,111.57,111.95,112.29,112.96,113.86,114.62,114.88,115.69,117.71,120.69,-
KOTA PADANGSIDIMPUAN,111.61,110.5,110.45,110.54,110.39,111,112.05,112.79,112.95,113.36,115.61,118.26,-
KOTA GUNUNGSITOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB DHARMASRAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PASAMAN BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PADANG,114.76,114.03,113.58,113.48,113.54,113.89,114.81,116.91,117.3,118.68,122.76,126.03,-
KOTA BUKITTINGGI,110.33,110.04,109.82,109.55,110.07,110.17,111.13,112.14,113.21,113.77,116.08,118.22,-
TEMBILAHAN,115.63,116.16,116.05,116.94,116.67,117.61,120.22,120.16,120.11,120.77,121.97,124.06,-
KAB KAMPAR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PEKANBARU,110.92,110.96,111.13,111.07,111.29,111.89,112.85,114.02,114.51,115.15,117.57,119.56,-
KOTA DUMAI,110.67,111,111.27,111.72,111.88,112.62,113.55,114.29,115.02,115.5,117.65,119.6,-
KAB KERINCI,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGO,110.45,111.01,110.62,110.31,109.75,110.63,111.97,112.46,113.13,114.03,116.64,119.06,-
KOTA JAMBI,112.13,111.26,111.51,111.67,111.93,112.09,113.58,113.76,113.91,114.49,116.99,120.04,-
KAB OGAN KOMERING ILIR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MUARA ENIM,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALEMBANG,109.07,108.81,108.59,108.44,108.41,109,109.97,110.08,110.6,111.49,113.83,116.96,-
KOTA LUBUKLINGGAU,107.97,107.53,107.39,106.76,107.16,107.66,109.51,109.58,110.06,110.76,113.05,116.47,-
KAB MUKO MUKO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BENGKULU,113.52,113.25,113.29,113.24,112.57,113,116.3,117.08,117.93,118.39,120.89,124.55,-
KAB LAMPUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MESUJI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BANDAR LAMPUNG,110.08,110.1,109.94,109.89,109.93,110.79,112.01,112.88,113.13,114.07,115.26,118.4,-
KOTA METRO,122.47,122.58,121.33,120.34,120.75,121.29,122.44,122.59,122.24,122.46,123.69,126.89,-
TANJUNG PANDAN,116.12,116.63,115.43,114.68,115.32,116.28,118.89,121.24,121.1,120.95,122.87,126.82,-
KAB BANGKA BARAT,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BELITUNG TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PANGKAL PINANG,114.92,112.5,110.52,112.25,110.83,111.1,113.16,113.36,114.82,114.04,115.29,118.26,-
KAB KARIMUN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BATAM,109.53,109.71,109.82,109.24,109.32,109.61,110.87,111.42,111.95,112.28,113.95,117.01,-
KOTA TANJUNG PINANG,112.41,113.39,113.56,112.57,111.87,112,113.78,114.38,114.45,115.2,116.09,119.33,-
DKI JAKARTA,110.75,111.3,111.51,111.55,111.61,112.07,113.38,113.94,114.12,114.58,116.22,119.41,-
KAB BANDUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MAJALENGKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BOGOR,111.73,112.12,112.43,111.95,112.07,112.59,113.37,113.75,114.16,114.62,116.33,118.49,-
KOTA SUKABUMI,111.29,111.98,112.25,112.15,112.65,113.19,113.73,114.02,114.37,114.72,116.51,119.34,-
KOTA BANDUNG,109.87,110.3,110.42,110.48,110.69,110.91,111.73,112.19,112.83,112.99,114.43,117.11,-
KOTA CIREBON,110.11,110.52,110.98,111.27,111.29,111.66,112.25,113.27,113.71,113.92,115.06,117.11,-
KOTA BEKASI,110.36,110.84,111.19,110.3,110.15,110.67,111.83,112.4,112.54,112.95,115.2,117.49,-
KOTA DEPOK,111.53,112.13,112.09,111.65,111.83,112.31,113.42,113.81,113.85,114.42,116.49,118.97,-
KOTA TASIKMALAYA,109.2,109.97,110.24,110.27,110.59,111.07,112.02,112.76,112.59,112.96,114.18,116.97,-
CILACAP,112.9,113.54,113.36,113.26,113.63,114.85,116.38,116.99,117.07,117.29,119.07,121.18,-
PURWOKERTO,110.49,111.05,111.37,111.28,111.37,111.9,112.82,113.3,113.03,113.49,115.06,117.36,-
KAB WONOSOBO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB WONOGIRI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB REMBANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KUDUS,116.25,116.38,116.87,116.45,116.87,117.48,118.43,119.12,119.09,119.6,121.17,124.16,-
KOTA SURAKARTA,109.5,109.81,110.11,109.94,110.22,110.78,111.43,111.94,112.06,112.57,114.23,116.84,-
KOTA SEMARANG,110.39,110.66,110.96,110.92,111.2,112.15,112.85,113.31,113.77,114.4,115.95,118.73,-
KOTA TEGAL,107.62,108.47,108.69,108.29,108.3,108.95,109.81,110.44,110.64,111.69,112.86,114.73,-
KAB GUNUNGKIDUL,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA YOGYAKARTA,110.77,110.85,111,111.08,111.14,111.62,112.57,112.67,113.22,113.54,114.82,116.84,-
KAB TULUNGAGUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
JEMBER,110.65,110.7,110.73,110.74,111.22,111.35,111.81,111.74,112.2,112.34,114.5,117.52,-
BANYUWANGI,111.04,112.17,112.39,112.11,112.17,112.59,112.86,112.72,112.84,113.42,114.8,117.67,-
KAB BOJONEGORO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB GRESIK,-,-,-,-,-,-,-,-,-,-,-,-,-
SUMENEP,109.42,110.25,110.34,109.69,109.78,110.55,111.53,111.88,112.16,112.89,114.33,117.3,-
KOTA KEDIRI,112.09,112.15,112.17,111.91,111.93,112.51,113.33,113.4,113.79,114.15,116.04,118.96,-
KOTA MALANG,111.03,111.37,111.85,111.7,112.11,112.46,113.01,113.54,113.83,114.28,116.01,119.16,-
KOTA PROBOLINGGO,112.23,112.25,112.43,112.27,112.41,112.94,114.06,114.14,114.19,114.72,116.22,118.72,-
KOTA MADIUN,109.71,110.37,110.65,110.28,110.47,110.95,111.63,112.02,112.1,112.62,114.32,116.83,-
KOTA SURABAYA,110.47,110.72,110.97,111.16,111.35,111.76,112.23,112.79,113.25,113.8,115.24,117.81,-
KAB PANDEGLANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LEBAK,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TANGERANG,111.46,115.81,115.6,115.95,116.05,116.34,117.21,118.25,118.86,120.32,121.91,124.82,-
KOTA CILEGON,111.98,111.89,111.96,112.09,112.13,112.97,114.12,114.91,115.29,116.31,117.92,120.92,-
KOTA SERANG,114.82,112.9,113.36,112.98,113.45,114.2,115.16,116.5,117,117.43,119.4,123.07,-
KAB TABANAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB BADUNG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINGARAJA,114.67,115.1,115.3,115.49,117.06,116.35,116.8,117.7,118.78,119.56,122.05,125.47,-
KOTA DENPASAR,109.14,109.54,109.89,110.03,110.37,110.15,110.69,111.42,111.65,112.35,114.17,116.44,-
KAB SUMBAWA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MATARAM,111.22,111.55,111.12,110.57,110.53,111.03,112.12,112.94,113.23,113.57,114.86,117.47,-
KOTA BIMA,113.44,113.76,113.35,113.49,114.75,116.46,117.08,117.57,118.15,117.6,118,120.28,-
WAINGAPU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TIMOR TENGAH SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
MAUMERE,108.76,110.51,110,111.09,111.73,110.93,111.07,111.46,110.85,110.29,110.74,113.2,-
KAB NGADA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KUPANG,111.39,113.02,112.91,112.71,112.72,113.63,114.86,113.86,113.5,113.77,115.91,120.06,-
DILI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KETAPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
SINTANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KAYONG UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PONTIANAK,111.78,114.83,113.94,114.03,114.85,115.88,117.61,117.57,117.72,117.22,118.87,122.22,-
KOTA SINGKAWANG,109.14,111.05,110.67,110.16,109.56,110.69,112.02,113.62,114.32,113.77,114.99,117.67,-
SAMPIT,109.94,110.76,110.43,110.47,110.89,112.03,112.6,112.53,112.95,113.41,114.92,117.23,-
KAB KAPUAS,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SUKAMARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALANGKA RAYA,110.26,109.63,109.76,110.44,111.39,112.4,112.65,112.25,112.82,113.19,114.23,116.16,-
KAB TANAH LAUT,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTABARU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB HULU SUNGAI TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
TANJUNG,110,109.8,109.57,109.98,110.71,111.79,112.24,112.1,112.57,112.79,114.21,116.93,-
KOTA BANJARMASIN,108.91,108.61,108.22,108.81,109.97,110.84,111.61,111.63,111.83,112.46,114.11,115.97,-
KAB BERAU,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB PENAJAM PASER UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA BALIKPAPAN,112.16,111.96,111.85,112.73,113.09,113.64,114.34,115.02,115.61,115.05,116.23,118.92,-
KOTA SAMARINDA,114.14,113.78,113.97,113.98,114.15,114.42,115.18,115.17,115.22,115.91,117.24,120.19,-
TANJUNG SELOR,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NUNUKAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TARAKAN,113.64,114.31,115.44,115.66,115.95,116.58,119.51,120.18,121.03,121.48,123.55,126.63,-
KAB MINAHASA SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MINAHASA UTARA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MANADO,109.3,109.05,109.39,109.72,109.55,110.28,111.22,110.93,110.9,112.47,114.23,118.61,-
KOTA KOTAMOBAGU,-,-,-,-,-,-,-,-,-,-,-,-,-
LUWUK,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB MOROWALI,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB TOLI TOLI,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA PALU,111.58,110.78,111.45,111.68,112.58,113.64,115.38,115.54,115.12,116.63,116.87,120.21,-
BULUKUMBA,116.06,117.18,117.21,117.9,117.73,118.31,120,120.33,119.99,120.34,122.27,125.61,-
WATAMPONE,108.28,109.35,109.81,110.45,110.82,111.58,112.94,113.01,112.81,112.96,114.57,117.35,-
KAB WAJO,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SIDENRENG RAPPANG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB LUWU TIMUR,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA MAKASSAR,108.65,108.92,108.94,109.3,108.99,109.26,110.47,111.02,111.45,111.93,113.45,116.5,-
KOTA PARE-PARE,108.21,108.37,108.29,108.55,108.91,109.33,110.44,110.85,110.89,111.37,113.45,117.71,-
KOTA PALOPO,108.86,109,108.84,109.43,109.83,110.28,112.42,112.01,111.34,111.76,113.39,116.54,-
KAB KONAWE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB KOLAKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA KENDARI,108.5,107.45,107.34,107.43,107.7,108.71,110.69,110.57,110.43,110.63,112.48,116.16,-
KOTA BAU-BAU,111.84,110.24,109.84,110.62,112.17,112.72,114.49,116.21,115.31,116.07,117.95,121.89,-
KAB GORONTALO,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA GORONTALO,108.98,107.91,108.24,109.2,108.83,109.32,110.16,109.59,109.62,110.01,110.7,115.26,-
KAB MAJENE,-,-,-,-,-,-,-,-,-,-,-,-,-
MAMUJU,108.75,109.04,108.92,109.03,109.56,110.28,111.21,111.75,112.54,112.61,114.06,116.85,-
KAB MALUKU TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA AMBON,108.58,109.5,110.2,111.21,111.65,111.85,112.01,112.15,111.86,112.03,112.95,115.04,-
KOTA TUAL,113.67,115.33,112.53,112.7,113.29,113.36,116.58,118.63,117.57,120.13,123.57,125.34,-
KAB HALMAHERA TENGAH,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA TERNATE,112.35,111.57,112.16,112.95,112.83,114.28,117.19,116,117.01,118.13,118.61,122.3,-
MANOKWARI,106.44,106.75,106.38,106.28,107.01,107.39,108.37,110.34,110.1,110.55,110.63,112.58,-
KAB SORONG,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB SORONG SELATAN,-,-,-,-,-,-,-,-,-,-,-,-,-
KOTA SORONG,108.43,109.11,109.09,109.51,110.17,109.88,112.08,114.23,115.2,113.96,114.06,116.04,-
KOTA JAYAPURA,113.21,112.91,113.68,111.64,112.77,112.27,112.67,112.56,113.08,113.88,115.29,120.2,-
MERAUKE,112.7,111.84,113.13,113.07,113.64,113.74,114.87,115.54,116.79,117.08,118.53,123.9,-
TIMIKA,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB NABIRE,-,-,-,-,-,-,-,-,-,-,-,-,-
KAB JAYAWIJAYA,-,-,-,-,-,-,-,-,-,-,-,-,-
INDONESIA,110.99,111.28,111.37,111.35,111.53,112.01,113.05,113.58,113.89,114.42,116.14,119,-
