38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2023,2023
ACEH,41407.6,26800.14
SUMATERA UTARA,68305.71,39140.19
SUMATERA BARAT,54333.83,33187.86
RIAU,154522.28,83070.74
JAMBI,79873.36,46004.69
SUMATERA SELATAN,71958.27,41283.99
BENGKULU,46300.51,24952.76
LAMPUNG,48187.64,28907.12
KEP. BANGKA BELITUNG,67812.94,39907.63
KEP. RIAU,154065.16,92869.32
DKI JAKARTA,322650.58,192134.11
JAWA BARAT,52651.05,33481.65
JAWA TENGAH,45162.08,29366.26
DI YOGYAKARTA,48373.32,31747.86
JAWA TIMUR,71121.93,44423.32
BANTEN,66147.2,41228.21
BALI,62299.21,36206.81
NUSA TENGGARA BARAT,29925.69,18687.2
NUSA TENGGARA TIMUR,23078.51,13511.53
KALIMANTAN BARAT,48808.92,27560.34
KALIMANTAN TENGAH,75271.23,40959.59
KALIMANTAN SELATAN,63754.33,35342.1
KALIMANTAN TIMUR,215804.04,137510.39
KALIMANTAN UTARA,201788.63,95658.26
SULAWESI UTARA,64130.96,38064.2
SULAWESI TENGAH,112461.01,62584.06
SULAWESI SELATAN,69710.31,40290.12
SULAWESI TENGGARA,64088.4,39342.46
GORONTALO,42340.5,26083.3
SULAWESI BARAT,39546.78,23903.2
MALUKU,30455.06,18392.92
MALUKU UTARA,64269.75,36592.38
PAPUA BARAT,108110.28,71924.23
PAPUA BARAT DAYA,58450.28,38868.79
PAPUA,78055.48,47321.1
PAPUA SELATAN,58580.68,33939.51
PAPUA TENGAH,103508.09,69566.13
PAPUA PEGUNUNGAN,16869.97,9094.7
INDONESIA,74964.47,44139.29
