38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2025,2025
ACEH,45770.4,28144.6
SUMATERA UTARA,78310.29,41885.91
SUMATERA BARAT,59548.83,34854.17
RIAU,176384.66,87886.74
JAMBI,92786.06,49245.88
SUMATERA SELATAN,80663.49,44731.49
BENGKULU,52304.54,26691.13
LAMPUNG,55009.07,31127.1
KEP. BANGKA BELITUNG,75322.53,40811.39
KEP. RIAU,172458.76,101427.23
DKI JAKARTA,367687.07,211953.77
JAWA BARAT,59864.61,36354.47
JAWA TENGAH,50823.64,31886.56
DI YOGYAKARTA,55039.3,34757.17
JAWA TIMUR,80855.92,48443.74
BANTEN,74672.68,44687.83
BALI,72658.49,39897.4
NUSA TENGGARA BARAT,33667.41,19706.32
NUSA TENGGARA TIMUR,25837.48,14310.07
KALIMANTAN BARAT,56983.66,29713.8
KALIMANTAN TENGAH,84729.84,43718.51
KALIMANTAN SELATAN,70576.83,38155.38
KALIMANTAN TIMUR,208330.9,139811.82
KALIMANTAN UTARA,208210.06,102044.64
SULAWESI UTARA,75234.91,41764.48
SULAWESI TENGAH,131642.52,72958.74
SULAWESI SELATAN,78748,43671.27
SULAWESI TENGGARA,72031.18,42510.17
GORONTALO,47476.82,28041.7
SULAWESI BARAT,46653.64,25617.79
MALUKU,33651.87,19743.62
MALUKU UTARA,97261.6,54439.49
PAPUA BARAT,139212.56,89651.73
PAPUA BARAT DAYA,61624.05,40656.59
PAPUA,84305.2,49956.04
PAPUA SELATAN,64928.23,35853.22
PAPUA TENGAH,107565.94,55267.77
PAPUA PEGUNUNGAN,19111.44,9641.04
INDONESIA,83747.73,47744.98
