38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2021,2021
ACEH,34673.56,25356.45
SUMATERA UTARA,57441.93,36582.07
SUMATERA BARAT,45218.16,31264.98
RIAU,129740.71,78319.23
JAMBI,64770.93,42898.41
SUMATERA SELATAN,57744.67,38182.24
BENGKULU,39167.13,23545.64
LAMPUNG,40806.71,27149.57
KEP. BANGKA BELITUNG,58406.07,37620.69
KEP. RIAU,131883.84,86584.63
DKI JAKARTA,274659.62,175004.64
JAWA BARAT,45234.18,30935.23
JAWA TENGAH,38568.08,27092.91
DI YOGYAKARTA,40516,29115.86
JAWA TIMUR,59988.44,40779.82
BANTEN,55383.29,38339.42
BALI,50758.32,33123.79
NUSA TENGGARA BARAT,26009.17,17715.84
NUSA TENGGARA TIMUR,20554.99,13076.68
KALIMANTAN BARAT,42252.66,25793.51
KALIMANTAN TENGAH,62833.77,37955.03
KALIMANTAN SELATAN,48065.95,32894.85
KALIMANTAN TIMUR,183157.52,127368.07
KALIMANTAN UTARA,157091.68,88973.51
SULAWESI UTARA,54034.12,34776.43
SULAWESI TENGAH,82016.81,49690.23
SULAWESI SELATAN,59502.64,37501.45
SULAWESI TENGGARA,52436.02,36570.47
GORONTALO,37086.76,24594.17
SULAWESI BARAT,35195.14,22898.21
MALUKU,26153.05,17053.15
MALUKU UTARA,40381.06,25190.72
PAPUA BARAT,74021.65,53324.2
PAPUA BARAT DAYA,-,-
PAPUA,54050.61,36420.15
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,62259.1,40780.75
