38 Provinsi,,
,[Seri 2010] Produk Domestik Regional Bruto Per Kapita (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2018,2018
ACEH,29521.25,24013.79
SUMATERA UTARA,51427.49,35570.5
SUMATERA BARAT,42802.66,30470.8
RIAU,110384.9,70736.77
JAMBI,58224.89,40025.52
SUMATERA SELATAN,50104.67,35659.82
BENGKULU,33822.13,22494.84
LAMPUNG,39716.46,27736.26
KEP. BANGKA BELITUNG,50081.95,35762.04
KEP. RIAU,116461.4,81206.2
DKI JAKARTA,247678.49,165768.99
JAWA BARAT,40272.64,29160.06
JAWA TENGAH,36770.96,27285.25
DI YOGYAKARTA,34136.93,25776.31
JAWA TIMUR,55410.61,39579.95
BANTEN,48370.15,34183.75
BALI,54433.46,35896.35
NUSA TENGGARA BARAT,24705.97,18020.5
NUSA TENGGARA TIMUR,18417.54,12273.85
KALIMANTAN BARAT,38814.73,26110.57
KALIMANTAN TENGAH,52107.23,35548.43
KALIMANTAN SELATAN,41046.28,30614.85
KALIMANTAN TIMUR,174164.82,127354.19
KALIMANTAN UTARA,119413.88,80204.84
SULAWESI UTARA,48105.41,33911.61
SULAWESI TENGAH,55518.66,39049.35
SULAWESI SELATAN,52642.08,35243.64
SULAWESI TENGGARA,44492.09,33278.66
GORONTALO,31827.62,22538.55
SULAWESI BARAT,32059.09,22953.08
MALUKU,24268.62,16607.02
MALUKU UTARA,29586.12,20309.45
PAPUA BARAT,84958.03,64499.45
PAPUA BARAT DAYA,-,-
PAPUA,63385.68,48069.41
PAPUA SELATAN,-,-
PAPUA TENGAH,-,-
PAPUA PEGUNUNGAN,-,-
INDONESIA,55992.07,39340.56
